Subfolder,Child Folder,Longest delay (ns),Longest path,Total logic gates,Total delay
10_half_adder,,,,,
,0,6,0 -> OUT,6,6
,10,6,0 -> OUT,6,6
,11,6,0 -> OUT,6,6
,12,6,0 -> OUT,6,6
,13,6,0 -> OUT,6,6
,14,6,0 -> OUT,6,6
,15,6,0 -> OUT,6,6
,16,6,0 -> OUT,6,6
,19,6,0 -> OUT,6,6
,2,6,0 -> OUT,6,6
,20,6,0 -> OUT,6,6
,21,6,0 -> OUT,6,6
,22,6,0 -> OUT,6,6
,23,6,0 -> OUT,6,6
,24,6,0 -> OUT,6,6
,3,6,0 -> OUT,6,6
,4,6,0 -> OUT,6,6
,6,6,0 -> 2 -> 4 -> OUT,6,6
,8,6,0 -> OUT,6,6
,9,6,0 -> OUT,6,6
,,,,,
11_full_adder,,,,,
,0,12,0 -> 1 -> OUT,13,12
,1,12,0 -> 1 -> OUT,15,12
,10,12,0 -> 2 -> OUT,15,12
,11,12,0 -> 2 -> OUT,13,12
,12,12,0 -> 1 -> OUT,15,12
,13,12,0 -> 1 -> OUT,13,12
,14,12,0 -> 1 -> OUT,15,12
,17,12,0 -> 1 -> OUT,15,12
,2,12,0 -> 1 -> OUT,13,12
,22,12,0 -> 1 -> OUT,13,12
,23,12,0 -> 1 -> OUT,13,12
,24,12,0 -> 1 -> OUT,13,12
,3,12,0 -> 1 -> OUT,13,12
,5,12,0 -> 1 -> OUT,13,12
,6,12,0 -> 1 -> OUT,13,12
,7,12,0 -> 1 -> OUT,13,12
,8,12,0 -> 1 -> OUT,15,12
,9,12,0 -> 1 -> OUT,13,12
,,,,,
12_odd_change,,,,,
,10,0,OUT,16,0
,11,0,OUT,18,0
,12,0,OUT,20,0
,13,2,0 -> OUT,16,2
,16,0,OUT,20,0
,17,4,4 -> 1 -> OUT,8,4
,19,0,OUT,19,0
,2,0,OUT,21,0
,20,0,OUT,15,0
,21,0,OUT,19,0
,5,4,5 -> 3 -> OUT,13,4
,6,0,OUT,18,0
,7,0,OUT,16,0
,8,4,7 -> 1 -> OUT,19,4
,,,,,
13_inverter_1bit,,,,,
,1,6,0 -> OUT,5,6
,10,6,0 -> 2 -> 4 -> OUT,5,6
,11,6,1 -> 3 -> 4 -> OUT,5,6
,12,6,0 -> 2 -> 4 -> OUT,5,6
,14,6,1 -> 2 -> 4 -> OUT,5,6
,15,6,1 -> 2 -> 4 -> OUT,5,6
,16,6,1 -> 2 -> 4 -> OUT,5,6
,17,6,1 -> 2 -> 4 -> OUT,5,6
,18,6,1 -> 2 -> 4 -> OUT,5,6
,19,6,0 -> 2 -> 4 -> OUT,5,6
,20,6,0 -> OUT,5,6
,21,6,0 -> 2 -> 4 -> OUT,5,6
,22,8,2 -> 3 -> OUT,8,8
,3,6,0 -> 3 -> 4 -> OUT,5,6
,4,6,0 -> 2 -> 4 -> OUT,5,6
,6,6,1 -> 3 -> 4 -> OUT,5,6
,7,6,0 -> 3 -> 4 -> OUT,5,6
,8,6,0 -> 2 -> 4 -> OUT,5,6
,9,6,0 -> 2 -> 4 -> OUT,5,6
,,,,,
14_or_8bit,,,,,
,1,2,0 -> OUT,8,2
,10,2,1 -> OUT,8,2
,12,2,4 -> OUT,8,2
,14,2,2 -> OUT,8,2
,15,2,7 -> OUT,8,2
,16,2,6 -> OUT,8,2
,18,2,3 -> OUT,8,2
,19,2,3 -> OUT,8,2
,2,2,5 -> OUT,8,2
,20,2,0 -> OUT,8,2
,21,2,3 -> OUT,8,2
,22,2,6 -> OUT,8,2
,23,2,3 -> OUT,8,2
,24,2,1 -> OUT,8,2
,3,2,0 -> OUT,8,2
,5,2,3 -> OUT,8,2
,6,2,4 -> OUT,8,2
,7,2,3 -> OUT,8,2
,8,2,2 -> OUT,8,2
,9,2,1 -> OUT,8,2
,,,,,
15_not_8bit,,,,,
,0,2,2 -> OUT,8,2
,10,2,5 -> OUT,8,2
,12,2,7 -> OUT,8,2
,13,2,1 -> OUT,8,2
,14,2,6 -> OUT,8,2
,16,2,3 -> OUT,8,2
,17,2,6 -> OUT,8,2
,18,2,6 -> OUT,8,2
,19,2,4 -> OUT,8,2
,20,2,2 -> OUT,8,2
,21,2,2 -> OUT,8,2
,22,2,6 -> OUT,8,2
,23,2,7 -> OUT,8,2
,24,2,3 -> OUT,8,2
,4,2,3 -> OUT,8,2
,5,2,6 -> OUT,8,2
,6,2,0 -> OUT,8,2
,7,2,7 -> OUT,8,2
,8,2,2 -> OUT,8,2
,9,2,6 -> OUT,8,2
,,,,,
16_adder_8bit,,,,,
,10,12,4 -> 0 -> OUT,13,12
,15,12,0 -> 1 -> OUT,13,12
,16,12,0 -> 1 -> OUT,15,12
