RANK,USER,TOTAL,GATE,DELAY,TICK
1,seconddifferential,3,1,2,
2,cringemaster420,3,1,2,
3,stellartux,3,1,2,
4,Endershadow,3,1,2,
5,danielrab,3,1,2,
6,*****.com.trace,3,1,2,
7,Runac,3,1,2,
8,FakeNeo,3,1,2,
9,agrimes,3,1,2,
10,Pinkii,3,1,2,
11,Nari,3,1,2,
12,san_skylak,3,1,2,
13,Dermenslof,3,1,2,
14,senshi\_01,3,1,2,
15,ã¯ã£ã™ãƒ,3,1,2,
16,noob7,3,1,2,
17,æˆ‘æ°¸è¿œå–œæ¬¢æ¸šè–°,3,1,2,
18,UnsignedRobin,3,1,2,
19,4294967296,3,1,2,
20,Mortalitor,3,1,2,
21,PotatoLoRD,3,1,2,
22,The_Dark_Jumper,3,1,2,
23,hirosem,3,1,2,
24,SomeGuy,3,1,2,
25,CurryField,3,1,2,
26,ó ‡°,3,1,2,
27,120x1n,3,1,2,
28,Samusbot,3,1,2,
29,Thunderbolt1029,3,1,2,
30,KillinIdol,3,1,2,
31,koryngs,3,1,2,
32,erwan574,3,1,2,
33,Prenzelberger,3,1,2,
34,ryuponn,3,1,2,
35,Tobaka,3,1,2,
36,Ry'ion,3,1,2,
37,Freddy,3,1,2,
38,Heistenberg99,3,1,2,
39,Tsukina_7mochi,3,1,2,
40,Eterm,3,1,2,
41,Bram1999999,3,1,2,
42,botondmester,3,1,2,
43,iota,3,1,2,
44,Amrei,3,1,2,
45,SendU2Hell,3,1,2,
46,Meraque,3,1,2,
47,hb_wales,3,1,2,
48,AbelianGrape,3,1,2,
49,banzif,3,1,2,
50,BrinksNo1,3,1,2,
51,MegaIng,3,1,2,
52,Jay,3,1,2,
53,WaYnE #ulow,3,1,2,
54,Lebster,3,1,2,
55,ocCa Setos78,3,1,2,
56,modderan,3,1,2,
57,9punkt,3,1,2,
58,Teruko,3,1,2,
59,fomenta.,3,1,2,
60,luzia.cosi,3,1,2,
61,Banzify,3,1,2,
62,Sicnus,3,1,2,
63,Mikey Danger Roberts,3,1,2,
64,Foxie_Fox,3,1,2,
65,US Marine Hyde,3,1,2,
66,Generalfire,3,1,2,
67,ierdna100,3,1,2,
68,Astoron,3,1,2,
69,HoelShare,3,1,2,
70,alexanderpas,3,1,2,
71,A13xund3r,3,1,2,
72,sailerboy98,3,1,2,
73,Amega,3,1,2,
74,nichtmeineschulz,3,1,2,
75,rasmuse00,3,1,2,
76,tali713,3,1,2,
77,NAMEhzj,3,1,2,
78,spencer.wyman7,3,1,2,
79,NuclearPhoenix,3,1,2,
80,Feyd,3,1,2,
81,Biscuits,3,1,2,
82,Giygas,3,1,2,
83,altrag,3,1,2,
84,Gamerboy166,3,1,2,
85,Outer Cloud Studio,3,1,2,
86,White_Rabbit,3,1,2,
87,mpklink,3,1,2,
88,tahgtahv,3,1,2,
89,TheZouave,3,1,2,
90,CesiumHorizon,3,1,2,
91,Agent Maine,3,1,2,
92,Internet Explorer,3,1,2,
93,Kuldrtorix,3,1,2,
94,Pine,3,1,2,
95,Pigslyer,3,1,2,
96,UMD,3,1,2,
97,Belias Phyre,3,1,2,
98,Epsilon,3,1,2,
99,Chriiiis,3,1,2,
100,Honkler,3,1,2,
101,Vivlo,3,1,2,
102,nuko274,3,1,2,
103,CitrusMarmelade,3,1,2,
104,Carl-ified,3,1,2,
105,Gort,3,1,2,
106,expendablejim,3,1,2,
107,jemand2001,3,1,2,
