RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,73,57,16,
6,Yunfeng,75,57,18,
7,Nari,83,63,20,
75,alexanderpas,84,64,20,
153,Heistenberg99,85,63,22,
154,Pine,85,65,20,
191,tyryi,86,64,22,
260,estratega,87,67,20,
261,cyndifusic,88,56,32,
262,orangesnowfox,90,58,32,
264,HK\_Koutan,90,72,18,
265,Dermenslof,91,57,34,
273,petermax,91,67,24,
277,agrimes,92,56,36,
297,PythonPlusPlus,92,58,34,
311,ente,92,72,20,
514,Zeltix,93,77,16,
515,Slim Pickens,93,59,34,
516,TonyQ,93,73,20,
517,Alex_523,94,72,22,
600,abovv3576,94,70,24,
610,Thism2,94,74,20,
825,roran,94,76,18,
843,Toaster,94,58,36,
915,SamsonTheCat81,95,75,20,
923,palz01pa,95,73,22,
956,Dave,96,72,24,
957,Auto Lose,96,64,32,
959,huwahuwa,98,64,34,
970,你急什么？,98,66,32,
973,chessmaster42,99,71,28,
974,ã‹ã‚ã‚ï½¥ã¡ãŸçŒ«,99,77,22,
975,No. 4,99,79,20,
977,cringemaster420,100,64,36,
978,Nulano,100,76,24,
979,Bllum,100,80,20,
985,Blu,100,66,34,
987,你好我是马文的弟弟马枪,100,78,22,
996,(2^5)*41,101,77,24,
997,Subonaut,102,72,30,
998,UhhMazing,102,90,12,
