RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,73,57,16,
2,G0rger,73,57,16,
3,Beesman,73,57,16,
4,Xilu,73,57,16,
5,BlockOG,73,57,16,
6,Yunfeng,75,57,18,
7,Nari,83,63,20,
8,Carl-ified,83,63,20,
9,altrag,83,63,20,
10,YukiYasai,83,63,20,
11,Rartrin,83,63,20,
12,SunCat,83,63,20,
13,[CrAzY]WC,83,63,20,
14,Alter,83,63,20,
15,Arnavion,83,63,20,
16,RealOfficialTurf,83,63,20,
17,GinjaNinja32,83,63,20,
18,Gelthor,83,63,20,
19,Mayge,83,63,20,
20,The Moon Itself,83,63,20,
21,Zarchonia,83,63,20,
22,Nick2oo2,83,63,20,
23,Pannoni,83,63,20,
24,micha_i,83,63,20,
25,梦想,83,63,20,
26,HowToCantaloupe,83,63,20,
27,OneOfTheChips,83,63,20,
28,yut23,83,63,20,
29,EPRORA,83,63,20,
30,erinsc,83,63,20,
31,schadocalex,83,63,20,
32,Khorne Sanguine,83,63,20,
33,RyuTurtle,83,63,20,
34,沈逍遥(Q群746497406),83,63,20,
35,FoxSlyme,83,63,20,
36,1547938354,83,63,20,
37,Volatility,83,63,20,
38,PotatoInTheBox,83,63,20,
39,c\_user,83,63,20,
40,chloe,83,63,20,
41,orangebird,83,63,20,
42,MasterJason9637,83,63,20,
43,Alcyr,83,63,20,
44,Wanglemink Fannycourt,83,63,20,
45,Namseeb,83,63,20,
46,getItemFromBlock,83,63,20,
47,ButterSus,83,63,20,
48,babycakesmittens,83,63,20,
49,Diggsey,83,63,20,
50,loganhodgson,83,63,20,
51,Välling,83,63,20,
52,Deadly Dodo,83,63,20,
53,Fungi,83,63,20,
54,sammyhawk,83,63,20,
55,hannah,83,63,20,
56,toke,83,63,20,
57,ranger\_e\_p,83,63,20,
58,LanzaJ,83,63,20,
59,tctianchi,83,63,20,
60,MengLei,83,63,20,
61,maedas,83,63,20,
62,Jasper1749,83,63,20,
63,柴,83,63,20,
64,tan((x^2) (y^2))=0,83,63,20,
65,zhangsiwei1951,83,63,20,
66,Braxbro,83,63,20,
67,UwU,83,63,20,
68,Quantic Mage,83,63,20,
69,Egginator,83,63,20,
70,Tarzy,83,63,20,
71,Oreo,83,63,20,
72,カエル軍団,83,63,20,
73,Theflyingdutchman,83,63,20,
74,O2,83,63,20,
75,alexanderpas,84,64,20,
76,Endershadow,84,64,20,
77,san_skylak,84,64,20,
78,UnsignedRobin,84,64,20,
79,PotatoLoRD,84,64,20,
80,danielrab,84,64,20,
81,MegaIng,84,64,20,
82,WhIrLwinD356,84,64,20,
83,VaporGame,84,64,20,
84,Whisper,84,64,20,
85,naitchal,84,64,20,
86,thompsotd,84,64,20,
87,Brawndo,84,64,20,
