RANK,USER,TOTAL,GATE,DELAY,TICK
1,Beesman,112,102,10,
2,Namseeb,125,113,12,
3,梦想,133,111,22,
4,沈逍遥(Q群746497406),133,111,22,
5,1547938354,133,111,22,
6,altrag,135,113,22,
7,SunCat,135,113,22,
8,overcomplexification,135,113,22,
9,Volatility,135,113,22,
10,thompsotd,138,116,22,
11,Diggsey,138,114,24,
12,Xilu,142,130,12,
13,Nick2oo2,145,117,28,
14,Wanglemink Fannycourt,145,119,26,
15,kzotn,145,119,26,
16,danielrab,148,118,30,
17,MicroBuilder,149,123,26,
18,Gelthor,150,122,28,
19,YukiYasai,151,121,30,
20,tctianchi,153,129,24,
21,[CrAzY]WC,156,128,28,
22,OneOfTheChips,156,128,28,
23,bmerry,160,132,28,
24,EPRORA,161,135,26,
25,yut23,161,135,26,
26,AJ,161,135,26,
27,toke,161,135,26,
28,Brawndo,162,134,28,
29,GinjaNinja32,162,134,28,
30,Zarchonia,162,134,28,
31,Mayge,162,134,28,
32,schadocalex,163,135,28,
33,Mr Pebble,163,133,30,
34,babycakesmittens,163,141,22,
35,BlockOG,163,143,20,
36,Fungi,163,133,30,
37,hannah,164,134,30,
38,Weesplat,165,133,32,
39,kmcguffi,165,135,30,
40,zuev93,166,138,28,
41,Oreo,166,134,32,
42,san_skylak,167,139,28,
43,MasterJason9637,167,141,26,
44,worstedmoon8,167,137,30,
45,Zarsatha,168,136,32,
46,G0rger,170,146,24,
47,ranger\_e\_p,171,143,28,
48,Yunfeng,172,148,24,
49,ZeroFarad,174,140,34,
50,iota,175,143,32,
51,al13n,175,133,42,
52,EmmaTheGiant,175,145,30,
53,Boomshroom,175,145,30,
54,O2,175,147,28,
55,Heistenberg99,177,145,32,
56,PatitoPatozo,177,141,36,
57,CitrusMarmelade,179,153,26,
58,HowToCantaloupe,179,153,26,
59,grkt125,180,154,26,
60,RealOfficialTurf,181,155,26,
61,Kisse Mjolk,181,155,26,
62,petermax,181,155,26,
63,Nari,182,138,44,
64,mhkw,182,154,28,
65,Mizar,182,156,26,
66,4xel,182,154,28,
67,micha_i,183,139,44,
68,ardeej,183,155,28,
69,Martin,183,155,28,
70,Arnavion,184,154,30,
71,pleegwat,184,138,46,
72,Krang,184,150,34,
73,GusPwouet,184,138,46,
74,The Moon Itself,186,160,26,
75,c\_user,186,158,28,
76,simonsays095,186,158,28,
77,Quent,186,158,28,
78,UwU,186,158,28,
79,Stabhole,186,158,28,
80,alexanderpas,187,161,26,
81,sdk,187,159,28,
82,pichutarius,187,159,28,
83,white-gandalf,187,157,30,
84,Endershadow,188,162,26,
85,WhIrLwinD356,188,162,26,
86,agrimes,188,146,42,
87,VaporGame,188,162,26,
88,erinsc,188,162,26,
89,reklrekl,188,162,26,
90,Havenvik,188,162,26,
91,skyhgzsh,188,160,28,
92,Rartrin,189,161,28,
93,Carl-ified,189,161,28,
94,Yanni128,189,161,28,
95,V A P E Jr.,189,161,28,
96,Jay,190,142,48,
97,Pine,190,164,26,
98,Legy,190,156,34,
99,PinkyWinky,190,148,42,
100,Niels,190,164,26,
101,olorin3125,190,148,42,
102,dont b mad cuz im bad,190,148,42,
103,SubCine,190,158,32,
104,Alex,191,163,28,
105,Vincent Cardley,191,163,28,
106,mm,191,149,42,
107,Thism2,191,165,26,
108,The Wind,191,147,44,
109,Random\_Magus,191,163,28,
110,LPKoyara,192,164,28,
111,D,192,164,28,
112,SamsonTheCat81,193,167,26,
113,Välling,193,163,30,
114,柴,193,163,30,
115,wangperiagoge,193,165,28,
116,seconddifferential,194,146,48,
117,MegaIng,194,164,30,
118,orangesnowfox,194,156,38,
119,Whisper,194,164,30,
120,Auto(Dada)Didact,194,164,30,
121,%,194,168,26,
122,dragmine149,194,164,30,
123,naitchal,194,162,32,
124,nqpk,194,164,30,
125,RayRay26,195,155,40,
126,Teun2408,195,163,32,
127,kiseru,195,169,26,
128,Dim_ov,195,163,32,
129,Nottingphile,195,163,32,
130,liuhang10,195,167,28,
131,McModknower,196,154,42,
132,Khorne Sanguine,196,164,32,
133,krangelang,196,164,32,
134,RyuTurtle,196,170,26,
135,kenpeter,196,164,32,
136,ramuDotZip,196,164,32,
137,HURGMCGURG,196,162,34,
138,alex\_strel,196,164,32,
139,=^・^=,196,164,32,
140,cswvna,197,153,44,
141,LeeFun,197,155,42,
142,Wylentar,197,153,44,
143,joflo,197,155,42,
144,GasInfinity,197,155,42,
145,ABIGplayer,197,165,32,
146,Zhooka,197,155,42,
147,Nulano,198,168,30,
148,2e19728,198,158,40,
149,tobotrieb,198,166,32,
150,pahlke,198,156,42,
151,Dark,198,156,42,
152,Reyquiem,198,154,44,
153,mediosthenes,199,153,46,
154,NicolaeHC,199,171,28,
155,Codegen42,199,149,50,
156,PythonPlusPlus,200,158,42,
157,LittleDemon2,200,172,28,
158,RoyalBlue,200,172,28,
159,Glen Runciter,200,156,44,
160,HapyD,201,157,44,
161,Quantic Mage,201,165,36,
162,tahgtahv,202,156,46,
163,hungcat,202,156,46,
164,Oshisaure,202,156,46,
165,hb_wales,202,156,46,
166,Renji,202,156,46,
167,UltraPeeks,202,156,46,
168,m_ornj,202,162,40,
169,couch_lizzard,202,156,46,
170,NO_NAME,202,156,46,
171,PhiliPdB,202,176,26,
172,guy-732,202,156,46,
173,NarcissusGray,202,156,46,
174,bearb,202,156,46,
175,nabla,202,156,46,
176,masato,202,156,46,
177,botondmester,202,156,46,
178,rossc719,202,156,46,
179,toms11235,202,156,46,
180,bisc,202,156,46,
181,hzxsncz,202,156,46,
182,mccoyn,202,156,46,
183,璐明,202,156,46,
184,9527,202,156,46,
185,theodor.hayden,202,156,46,
186,Pakanaateisti,203,157,46,
187,没有用,203,173,30,
188,gerritvanroekel,203,175,28,
189,#TSwagg,204,162,42,
190,LMD|Cavy,204,172,32,
191,The Solar Admiral,204,158,46,
192,Dennyout65,204,172,32,
193,Threemanager996,204,172,32,
194,stockholm,204,172,32,
195,愣橙子,204,172,32,
196,fifthman6377,204,172,32,
197,StupidCAI,204,170,34,
198,teseting,204,172,32,
199,ZayDekX,204,172,32,
200,[NrdZ] Saboteiro,204,172,32,
201,Gaming,204,172,32,
202,天境回廊,204,172,32,
203,Joker\_vD,204,172,32,
204,Dial-up King,204,172,32,
205,theAmazingJunkman,205,159,46,
206,dbxl,205,177,28,
207,Chuck,206,180,26,
208,Marqho,206,158,48,
209,HK\_Koutan,206,172,34,
210,WW,206,158,48,
211,Zebadiah,207,165,42,
212,Zenoxide,207,175,32,
213,tyryi,208,176,32,
214,thanis80,208,164,44,
215,Broncos5894,208,174,34,
216,Ukilop,208,178,30,
217,,208,180,28,
218,Cygwin231,208,166,42,
219,fort,208,182,26,
220,DarthOrdo,209,175,34,
221,ã‹ã‚ã‚ï½¥ã¡ãŸçŒ«,209,177,32,
222,Kertox662,209,165,44,
223,Fififionek,209,173,36,
224,Itehnological,210,168,42,
225,Supersonic Pixel Junkie,210,166,44,
226,Arok,210,176,34,
227,Errs Anyway,211,159,52,
228,Pannoni,211,177,34,
229,martyn1842,211,169,42,
230,MrFixxiT,211,187,24,
231,Chech,212,180,32,
232,tooro,212,174,38,
233,ylide,212,190,22,
234,sadovnikovss,212,180,32,
235,decesare,213,165,48,
236,Hayt,213,173,40,
237,benlingan,213,171,42,
238,meyn,213,171,42,
239,oinkymomo,213,171,42,
240,eagle0600,213,169,44,
241,srjek,213,169,44,
242,78715859,213,191,22,
243,cringemaster420,214,170,44,
244,Txoka,214,184,30,
245,cleantted,214,170,44,
246,Etoplay,215,187,28,
247,taio,215,175,40,
248,LeviDuncan,215,171,44,
249,Dzwho,215,183,32,
250,Deadly Usagi,216,172,44,
251,Strubbelkopp,216,170,46,
252,dudfo0629,216,188,28,
253,egerke,216,172,44,
254,unknown\_err,216,182,34,
255,krsnik,216,172,44,
256,Dante,216,186,30,
257,VeliTomaatti,216,186,30,
258,PomPong,216,172,44,
259,El Presidente,217,167,50,
260,Metricor,217,175,42,
261,ArcticCopper,218,172,46,
262,wbradley1372,218,184,34,
263,tcz717,218,172,46,
264,Dravyk,218,172,46,
265,the,218,188,30,
266,Sonullx Liu,218,172,46,
267,albanboissard,218,176,42,
268,white woman gaming,218,196,22,
269,old\_one\_15,218,174,44,
270,kamkubad,218,172,46,
271,Egginator,218,188,30,
272,三风,218,172,46,
273,Sebastian Sokolova,218,172,46,
274,Hesulan,219,173,46,
275,blackthorn,219,187,32,
276,Soul,219,179,40,
277,Soso,220,168,52,
278,Sapphire,220,188,32,
279,TriM,220,184,36,
280,Leek Amadeus,220,188,32,
281,rexgene,220,190,30,
282,sohusi,220,188,32,
283,TonyQ,220,190,30,
284,iwikal,221,175,46,
285,Y e v v i.,221,175,46,
286,Kedesiklem,221,171,50,
287,Moonj64,221,171,50,
288,ネット・イメージ,221,191,30,
289,asafonnikov,221,191,30,
290,Wish,221,171,50,
291,jlntlln7,221,171,50,
292,Hl 13,221,167,54,
293,eryk500,221,189,32,
294,moccam,221,177,44,
295,19857180048,221,173,48,
296,jamatt0443,222,174,48,
297,Captain\_Scraptin,222,188,34,
298,kaerim.frempong,222,192,30,
299,Chegg,222,186,36,
300,DarthSack,222,188,34,
301,Swan,223,183,40,
302,牛百叶,224,152,72,
303,Xi ^ Xi,224,172,52,
304,tdog21,224,184,40,
305,elgecko,225,155,70,
306,rphsw,225,181,44,
307,Nefarious Zhen,225,171,54,
308,Ryan,225,155,70,
309,qianyinjun2009,225,155,70,
310,Pr0st,226,172,54,
311,Jeutian,226,176,50,
312,PotatoInTheBox,226,192,34,
313,Ravenspear,226,196,30,
314,SeWZC,226,180,46,
315,Jimmy Russell,227,181,46,
316,OggyWan71,227,181,46,
317,CatMan62101,227,181,46,
318,Slim Pickens,227,177,50,
319,10usb,228,186,42,
320,vanilkovy.puding *****,228,180,48,
321,Das Keifer,228,184,44,
322,\_4Z\_,228,174,54,
323,wobs,228,174,54,
324,Iliou,228,176,52,
325,*****,229,155,74,
326,克里斯托夫古兰马克索特,229,185,44,
327,roran,229,201,28,
328,崂山小妖怪,229,191,38,
329,Louis,229,197,32,
330,stellartux,230,156,74,
331,BierLiebHaber,230,156,74,
332,FireStorm,230,156,74,
333,Skepfyr,230,156,74,
334,Niet,230,156,74,
335,Sagoot,230,156,74,
336,Fri3dNstuff,230,156,74,
337,slowwalker,230,156,74,
338,Apithia,230,156,74,
339,Jist,230,156,74,
340,CyberCat,230,156,74,
341,Venusaur,230,156,74,
342,minekpo1,230,156,74,
343,xborg0,230,156,74,
344,Moriibund,230,194,36,
345,semmaz,230,198,32,
346,S!mon,230,158,72,
347,Chri5p,230,156,74,
348,123,230,200,30,
349,Erunion,230,156,74,
350,Pants,230,198,32,
351,The Great Detective,230,204,26,
352,Cooyon,230,156,74,
353,358580794,230,158,72,
354,King,230,158,72,
355,JSXDH,230,188,42,
356,Manilock,230,156,74,
357,四维汉堡包,230,156,74,
358,jshintaro1018,230,156,74,
359,Ugly Fat Jerk,231,195,36,
360,JOHNF,231,197,34,
361,ElectroMagneticCyclone,231,197,34,
362,Peadge,232,162,70,
363,robbe.vsb,232,194,38,
364,zagadka M,232,180,52,
365,bill.ruddock,232,180,52,
366,NotAnAaardvark,232,186,46,
367,MTReis86,233,173,60,
368,startskate974,233,199,34,
369,BekfastStealer,233,191,42,
370,nathancrazy5,233,191,42,
371,getItemFromBlock,233,189,44,
372,wuxiaofu2004,233,205,28,
373,Pinekiller,233,209,24,
374,AlphaDaddy,233,205,28,
375,prphet,234,186,48,
376,kamikater,234,164,70,
377,almafa64,234,174,60,
378,wanicca,234,190,44,
379,0xDEADC0DE,234,202,32,
380,White Rice,234,190,44,
381,radu124,234,196,38,
382,LanzaJ,234,196,38,
383,nicholas.sommer,235,203,32,
384,ryani,235,159,76,
385,Bronze,235,175,60,
386,LocumRandomBot,235,189,46,
387,Celforyon,235,183,52,
388,mabretor,235,165,70,
389,gomidame,236,166,70,
390,TheDalekDoctor,236,188,48,
391,shigawire,236,208,28,
392,diaoyf,236,198,38,
393,simon.goldsmith,236,186,50,
394,Jao,236,198,38,
395,PotatoLoRD,237,193,44,
396,tali713,237,191,46,
397,Trixi,237,195,42,
398,koutianyi,237,165,72,
399,macho,237,195,42,
400,sleepprogger,238,166,72,
401,Huginn,238,188,50,
402,(2^5)*41,238,190,48,
403,alya94,238,188,50,
404,yuriks,238,188,50,
405,璜珀,238,188,50,
406,danie59823,238,192,46,
407,AllPlayars,238,190,48,
408,Alef Burzmali,238,164,74,
409,Riviera,238,180,58,
410,joachim,238,194,44,
411,flederohr,239,193,46,
412,Fieloxx,239,197,42,
413,lothar243,239,189,50,
414,0xmeow,239,177,62,
415,西伯利亚的猫猫,239,191,48,
416,杜诗,239,203,36,
417,Jubskleiton,240,204,36,
418,gary,240,200,40,
419,Luedga,240,196,44,
420,Soup Girl,240,204,36,
421,Aart Bluestoke,240,204,36,
422,yiqiao369,240,190,50,
423,hirosem,241,181,60,
424,FreeBird,241,211,30,
425,Schyrsivochter,241,201,40,
426,Strange2018,241,199,42,
427,tienchai,241,167,74,
428,Torisumi\_horou,241,213,28,
429,Alcyr,241,207,34,
430,adderd,241,171,70,
431,ThatWasADemo,241,171,70,
432,flemmingvonessen,242,166,76,
433,ThePanicDev,242,196,46,
434,Lillie,242,196,46,
435,FoxSlyme,242,204,38,
436,MetalMutton,242,194,48,
437,Qubic,242,170,72,
438,chloe,242,204,38,
439,yyyy,242,208,34,
440,bahman362,243,205,38,
441,Sloane,243,171,72,
442,Esrome the Strange,243,203,40,
443,zamadatix,243,185,58,
444,Yltw,243,171,72,
445,Orochimarufan,243,197,46,
446,Sigmanificient,243,203,40,
447,Cosmia,243,173,70,
448,qq11123334,243,179,64,
449,nick,244,196,48,
450,ferrisfox,244,208,36,
451,peterpeladon,244,172,72,
452,カエル軍団,244,176,68,
453,Gamerboy166,245,187,58,
454,TheenivU,245,203,42,
455,The Almighty Pegasus Epsilon,245,185,60,
456,Chrisfox,245,187,58,
457,Bax,245,169,76,
458,Connor Kenway,245,171,74,
459,Tomnar,245,205,40,
460,Space Monkey,245,189,56,
461,alexey007gold,245,197,48,
462,Ryan,245,173,72,
463,ierdna100,246,172,74,
464,ggg1psyyy,246,172,74,
465,Derwall,246,172,74,
466,GuyWithLag,246,172,74,
467,nathanmb41,246,172,74,
468,Threadzless,246,172,74,
469,Yoann,246,172,74,
470,wogget,246,206,40,
471,å¤§é’Š,246,172,74,
472,tobias.bodewig,246,172,74,
473,cat2002,246,172,74,
474,SlashLife,246,172,74,
475,ErefeWinter,246,172,74,
476,ilikelogicdesign,246,172,74,
477,Suibeom,246,172,74,
478,kremnev8,246,172,74,
479,oeniehead,246,172,74,
480,RoflCopter,246,210,36,
481,eiowlta,246,172,74,
482,imagineaclevernamehere,246,172,74,
483,,246,172,74,
484,早起失败重启中,246,212,34,
485,RoiboschT,246,172,74,
486,Pyr0Spr1t3,246,172,74,
487,digit777,246,172,74,
488,Bohbas,246,172,74,
489,corncob22,246,172,74,
490,NaniteL,246,172,74,
491,Asmodayys,246,172,74,
492,Rolnadlo,246,172,74,
493,Fluteboy123,246,172,74,
494,milo,246,172,74,
495,orbspiral,246,172,74,
496,iceypoi,246,172,74,
497,xris,246,172,74,
498,Damjes,246,172,74,
499,Porter,246,172,74,
500,Ravenslofty,246,172,74,
501,The C.I.A. (F7FF),246,212,34,
