RANK,USER,TOTAL,GATE,DELAY,TICK
1,G0rger,3,3,0,
2,Beesman,3,3,0,
3,Xilu,3,3,0,
4,BlockOG,3,3,0,
5,Yunfeng,3,3,0,
6,overcomplexification,4,2,2,
7,Banzify,6,2,4,
8,stellartux,6,2,4,
9,noob7,6,2,4,
10,cringemaster420,6,2,4,
11,tahgtahv,6,2,4,
12,san_skylak,6,2,4,
13,blackj,6,2,4,
14,banzif,6,2,4,
15,kentex8484,6,2,4,
16,I am gravemind,6,2,4,
17,Endershadow,6,2,4,
18,Wolfheartrising,6,2,4,
19,danielrab,6,2,4,
20,arar,6,2,4,
21,Cookies369,6,2,4,
22,Nari,6,2,4,
23,[Vas Corp Por]Syntax,6,2,4,
24,agrimes,6,2,4,
25,Pinkii,6,2,4,
26,Samusbot,6,2,4,
27,Dermenslof,6,2,4,
28,senshi\_01,6,2,4,
29,CesiumHorizon,6,2,4,
30,The_Dark_Jumper,6,2,4,
31,WingedWhite,6,2,4,
32,UnsignedRobin,6,2,4,
33,Mortalitor,6,2,4,
34,PotatoLoRD,6,2,4,
35,SomeGuy,6,2,4,
36,Eldolfin,6,2,4,
37,ovonlogstarn,6,2,4,
38,shift,6,2,4,
39,phil,6,2,4,
40,juadri,6,2,4,
41,120x1n,6,2,4,
42,hirosem,6,2,4,
43,Ry'ion,6,2,4,
44,ó ‡°,6,2,4,
45,Limeray,6,2,4,
46,koryngs,6,2,4,
47,Irea,6,2,4,
48,Turrex0100,6,2,4,
49,Tobaka,6,2,4,
50,Thunderbolt1029,6,2,4,
51,Pogge,6,2,4,
52,DasWird,6,2,4,
53,Sarah,6,2,4,
54,Emixeras,6,2,4,
55,nichtmeineschulz,6,2,4,
56,blDraX,6,2,4,
57,erwan574,6,2,4,
58,erik.ertler,6,2,4,
59,Birgobert,6,2,4,
60,Freddy,6,2,4,
61,thomas,6,2,4,
62,maxifeld,6,2,4,
63,BOT Paul,6,2,4,
64,yannik.kayser,6,2,4,
65,Heistenberg99,6,2,4,
66,Tsukina_7mochi,6,2,4,
67,iota,6,2,4,
68,Eterm,6,2,4,
69,CurryField,6,2,4,
70,seconddifferential,6,2,4,
71,ocCa Setos78,6,2,4,
72,Solomyr,6,2,4,
73,baijii,6,2,4,
74,KillinIdol,6,2,4,
75,DoctorFrog,6,2,4,
76,BrinksNo1,6,2,4,
77,Lebster,6,2,4,
78,Sicnus,6,2,4,
79,luzia.cosi,6,2,4,
80,ArsMoriendi,6,2,4,
81,The Warden Unit,6,2,4,
82,Blade,6,2,4,
83,Hemeroc,6,2,4,
84,Lufia,6,2,4,
85,Pigslyer,6,2,4,
86,Walz,6,2,4,
87,louis,6,2,4,
88,nuko274,6,2,4,
89,Mash,6,2,4,
90,Elgareth,6,2,4,
91,Meraque,6,2,4,
92,DerBuut,6,2,4,
93,reh,6,2,4,
94,litl snek,6,2,4,
95,AbelianGrape,6,2,4,
96,Generalfire,6,2,4,
97,Mallthak,6,2,4,
98,hb_wales,6,2,4,
99,Foxie_Fox,6,2,4,
100,fomenta.,6,2,4,
101,sailerboy98,6,2,4,
102,Mirutz,6,2,4,
103,Agent Maine,6,2,4,
104,takaro,6,2,4,
105,MegaIng,6,2,4,
106,Jay,6,2,4,
107,Goldi2204,6,2,4,
108,Goldgeckoguy,6,2,4,
109,Baschdi,6,2,4,
110,JackFou,6,2,4,
111,General Imaginaer,6,2,4,
112,fugsii,6,2,4,
113,Carni111,6,2,4,
114,ToastyJoJo,6,2,4,
115,US Marine Hyde,6,2,4,
116,Medic,6,2,4,
117,AtoM,6,2,4,
118,expendablejim,6,2,4,
119,Mikey Danger Roberts,6,2,4,
120,AmpliFire,6,2,4,
121,Carl-ified,6,2,4,
122,sebingel,6,2,4,
123,Aravir,6,2,4,
124,lewingston,6,2,4,
125,pascal.marcou,6,2,4,
126,Takeyan,6,2,4,
127,Arkadiusz XIII,6,2,4,
128,alexanderpas,6,2,4,
129,Ori the Kitty,6,2,4,
130,metayrox,6,2,4,
131,Vivlo,6,2,4,
132,dr.lum,6,2,4,
133,Mettphysik,6,2,4,
134,A13xund3r,6,2,4,
135,Moh,6,2,4,
136,Otoma,6,2,4,
137,NAMEhzj,6,2,4,
138,Pavlo,6,2,4,
139,AllyRoman,6,2,4,
140,rasmuse00,6,2,4,
141,cjdabeast,6,2,4,
142,flederohr,6,2,4,
143,Ingo Montana,6,2,4,
144,tali713,6,2,4,
145,K\_JockeR\_S,6,2,4,
146,Biscuits,6,2,4,
147,Levain,6,2,4,
148,SparkKVRA',6,2,4,
149,Kirre,6,2,4,
150,altrag,6,2,4,
151,Gamerboy166,6,2,4,
152,Epsilon,6,2,4,
153,mpklink,6,2,4,
154,Reikling,6,2,4,
155,TheZouave,6,2,4,
156,x Soul L3gend,6,2,4,
157,surebet15,6,2,4,
158,AlexF (Master of the Rice Field),6,2,4,
159,Kuldrtorix,6,2,4,
160,Nova,6,2,4,
161,Pine,6,2,4,
162,Gort,6,2,4,
163,Belias Phyre,6,2,4,
164,khoyobegenn,6,2,4,
165,DorAnalExplorer,6,2,4,
166,.FaibleTropFaible,6,2,4,
167,josh,6,2,4,
168,Chriiiis,6,2,4,
169,Oshikuru,6,2,4,
170,Honkler,6,2,4,
171,Pheema,6,2,4,
172,jochen.stoerzer,6,2,4,
173,7~mon,6,2,4,
174,Dano90,6,2,4,
175,aggressiveCAMPER,6,2,4,
176,Captain Planet,6,2,4,
177,CitrusMarmelade,6,2,4,
178,JMKain,6,2,4,
179,Luigi,6,2,4,
180,Phoenix,6,2,4,
181,arild.haugstad,6,2,4,
182,jemand2001,6,2,4,
183,killingfield,6,2,4,
184,ImpedingGroom,6,2,4,
185,ç™ºé›»æ©Ÿå›žã—ã¦ãã‚Œ,6,2,4,
186,DaDaimon,6,2,4,
187,rainyday,6,2,4,
188,Vandar501,6,2,4,
189,êœ·Snowman,6,2,4,
190,Dendrog,6,2,4,
191,morebeat,6,2,4,
192,Benedict Rubwa Noff,6,2,4,
193,t8_now,6,2,4,
194,bijjoo!,6,2,4,
195,jia,6,2,4,
196,Uwe,6,2,4,
197,SeaDDeaD,6,2,4,
198,kkap1,6,2,4,
199,Hetorus NL,6,2,4,
200,Itehnological,6,2,4,
201,Bademeister,6,2,4,
202,Alex_523,6,2,4,
203,Trase,6,2,4,
204,anonymus,6,2,4,
205,-=DawN=- hero93,6,2,4,
206,Patricia,6,2,4,
207,Dinner93,6,2,4,
208,mikenyannyan128,6,2,4,
209,Vylybb,6,2,4,
210,king-crash,6,2,4,
211,PrediGER,6,2,4,
212,reddog,6,2,4,
213,Vivi,6,2,4,
214,BurntBeard,6,2,4,
215,PeriBooty (Shad),6,2,4,
216,YukiYasai,6,2,4,
217,ordertagtea,6,2,4,
218,Artelas,6,2,4,
219,Acze,6,2,4,
220,Busterblader,6,2,4,
221,BaronWurst,6,2,4,
222,fimasu,6,2,4,
223,Gl0ckflÃ¶te,6,2,4,
224,Eigentor,6,2,4,
225,Aokama,6,2,4,
226,KlauZ,6,2,4,
227,Fudi,6,2,4,
228,glocker,6,2,4,
229,apfelmusChaney,6,2,4,
230,robotguy189,6,2,4,
231,jowler,6,2,4,
232,Cpt. Bread,6,2,4,
233,the protagonist.,6,2,4,
234,S,6,2,4,
235,KajÃ¼ten-Klausi,6,2,4,
236,Rartrin,6,2,4,
237,Red Penguin,6,2,4,
238,secondshadow,6,2,4,
239,Astoron,6,2,4,
240,fizdev,6,2,4,
241,Hackepeter,6,2,4,
242,EuroXx,6,2,4,
243,winnie.ma.12,6,2,4,
244,Very Tired,6,2,4,
245,flash,6,2,4,
246,mvs.Mazzader,6,2,4,
247,levii,6,2,4,
248,dorianignee,6,2,4,
249,Awesomeness211i,6,2,4,
250,WhIrLwinD356,6,2,4,
251,RayRay26,6,2,4,
252,Raiden-Powerâš¡,6,2,4,
253,Fuecy,6,2,4,
254,Alter,6,2,4,
255,nfgrawker,6,2,4,
256,Crux,6,2,4,
257,Blockinator,6,2,4,
258,Naughty Naughty,6,2,4,
259,Groodion,6,2,4,
260,Shaluin,6,2,4,
261,Bettelmage,6,2,4,
262,mehmet19,6,2,4,
263,thrash,6,2,4,
264,yamadayuuki0818,6,2,4,
265,StiÃ±os,6,2,4,
266,papercrane,6,2,4,
267,updog,6,2,4,
268,Ï€,6,2,4,
269,Y e v v i.,6,2,4,
270,nichtwitzig228,6,2,4,
271,Deimos,6,2,4,
272,jabba,6,2,4,
273,jacques.bicker,6,2,4,
274,linnet,6,2,4,
275,lusidity,6,2,4,
276,hungcat,6,2,4,
277,pinkertona,6,2,4,
278,ShadF0x,6,2,4,
279,sylt_g,6,2,4,
280,Hui Geng Hao,6,2,4,
281,AWOL,6,2,4,
282,FrixioN,6,2,4,
283,Critty,6,2,4,
284,#TSwagg,6,2,4,
285,kai_190,6,2,4,
286,Rutir,6,2,4,
287,sq5researcher,6,2,4,
288,dgftio,6,2,4,
289,Kargaros,6,2,4,
290,yuichielectric,6,2,4,
291,VolaSyVy,6,2,4,
292,houzw2001,6,2,4,
293,Foxxen,6,2,4,
294,Asthmatiker,6,2,4,
295,HappyDomba,6,2,4,
296,KnockaHomer,6,2,4,
297,Ashyaa,6,2,4,
298,lander03xd,6,2,4,
299,Oshisaure,6,2,4,
300,Xenogenesis,6,2,4,
301,CrusaderDeleters,6,2,4,
302,prphet,6,2,4,
303,Nodon,6,2,4,
304,ã¿ã‹ã‚“,6,2,4,
305,Hyperlocke,6,2,4,
306,Der mediterane Pfirsichmann,6,2,4,
307,pepe,6,2,4,
308,Emrys,6,2,4,
309,Feramos,6,2,4,
310,tofu-online,6,2,4,
311,RasaRasa,6,2,4,
312,bug,6,2,4,
313,zogga007,6,2,4,
314,Byzantine General Store,6,2,4,
315,lukeplechaty,6,2,4,
316,ã‚¹ãƒˆãƒ¬ãƒ¼ãƒˆã‚¸ãƒ§ãƒ³,6,2,4,
317,Benjo11,6,2,4,
318,ccdrom,6,2,4,
319,PMan,6,2,4,
320,psychater,6,2,4,
321,butros10 games,6,2,4,
322,you,6,2,4,
323,D0ttySc0tty,6,2,4,
324,zirus,6,2,4,
325,KeDouJia,6,2,4,
326,Rominos2,6,2,4,
327,domix,6,2,4,
328,Ezy,6,2,4,
329,coucou76,6,2,4,
330,Quixx,6,2,4,
331,thomas.krieger,6,2,4,
332,Gugorrex,6,2,4,
333,khallep2001,6,2,4,
334,ZKlack,6,2,4,
335,Serpenz,6,2,4,
336,rob.sperling,6,2,4,
337,Merlin The Happy Pig,6,2,4,
338,tyryi,6,2,4,
339,Mr. A,6,2,4,
340,Art Vandelay,6,2,4,
341,JerryPlayz,6,2,4,
342,Marveck,6,2,4,
343,Sanchez,6,2,4,
344,LMD|Cavy,6,2,4,
345,Enigmatic,6,2,4,
346,Donut,6,2,4,
347,zkmb,6,2,4,
348,MonkeysRCool,6,2,4,
349,dasKitz,6,2,4,
350,tofik,6,2,4,
351,Habbecik,6,2,4,
352,VaporGame,6,2,4,
353,Comm,6,2,4,
354,SunCat,6,2,4,
355,Karamba,6,2,4,
356,Bruh,6,2,4,
357,Quadruplay,6,2,4,
358,Whisper,6,2,4,
359,Tzeval,6,2,4,
360,FresnoBob,6,2,4,
361,Puppy Puncher,6,2,4,
362,SirLestat,6,2,4,
363,matt.thomson,6,2,4,
364,asdf56,6,2,4,
365,tpet,6,2,4,
366,Bandie,6,2,4,
367,evik,6,2,4,
368,edggy,6,2,4,
369,Atropos,6,2,4,
370,Re4lSlow,6,2,4,
371,pppolly,6,2,4,
372,cadaei,6,2,4,
373,EwokPunter,6,2,4,
374,Ali_der_Weise,6,2,4,
375,lavavrik,6,2,4,
376,fifiinart,6,2,4,
377,lasmite,6,2,4,
378,al13n,6,2,4,
379,Notch,6,2,4,
380,moep,6,2,4,
381,Thunder,6,2,4,
382,onceupon2635,6,2,4,
383,Hashtax,6,2,4,
384,Omnipact,6,2,4,
385,The Solar Admiral,6,2,4,
386,a1ph4,6,2,4,
387,landru729,6,2,4,
388,MertyPants,6,2,4,
389,bambooin8,6,2,4,
390,DarthSack,6,2,4,
391,Psychotic_DAN,6,2,4,
392,Dumbl3dore,6,2,4,
393,decesare,6,2,4,
394,joshua.pgordon,6,2,4,
395,Swek,6,2,4,
396,Postrophilas,6,2,4,
397,H_kY,6,2,4,
398,ggg1psyyy,6,2,4,
399,magill,6,2,4,
400,speedreaper0,6,2,4,
401,milkjuengling,6,2,4,
402,aj_webdesign,6,2,4,
403,krokofant,6,2,4,
404,Logxen,6,2,4,
405,i3ym,6,2,4,
406,Killproc,6,2,4,
407,Deadwire,6,2,4,
408,Jeff,6,2,4,
409,41m7355,6,2,4,
410,BigMango,6,2,4,
411,Puanschej,6,2,4,
412,Stevi the Stain,6,2,4,
413,prj\_st\_xxx,6,2,4,
414,Klausmitmaus,6,2,4,
415,Vortex83,6,2,4,
416,leon_stue,6,2,4,
417,StephanRq,6,2,4,
418,Kuro,6,2,4,
419,Dubbe,6,2,4,
420,uoÄ±XÉá´šÇâŠ¥,6,2,4,
421,destroytheevidence,6,2,4,
422,pedal_fast,6,2,4,
423,bmerry,6,2,4,
424,cfgCarl,6,2,4,
425,Cymble,6,2,4,
426,#lcng^DirKules,6,2,4,
427,martinschmidt91,6,2,4,
428,Prof. Dr. Krampus,6,2,4,
429,Soda,6,2,4,
430,[CrAzY]WC,6,2,4,
431,Gunslinger,6,2,4,
432,wuthi,6,2,4,
433,Highchiller,6,2,4,
434,Crumb,6,2,4,
435,Stequorg,6,2,4,
436,DirtyH91,6,2,4,
437,jooker,6,2,4,
438,WolfmanJack,6,2,4,
439,alexei2511,6,2,4,
440,10usb,6,2,4,
441,knupper,6,2,4,
442,jOle,6,2,4,
443,DarthKarnage,6,2,4,
444,tomfii,6,2,4,
445,Jenny7172,6,2,4,
446,Spawn,6,2,4,
447,Asharas,6,2,4,
448,tactica.gg | Lordih9999,6,2,4,
449,Mikhalych73,6,2,4,
450,Spodermeister3000,6,2,4,
451,Trixi,6,2,4,
452,Manu,6,2,4,
453,NM,6,2,4,
454,dimak,6,2,4,
455,silvan.fehlmann,6,2,4,
456,Tantalus,6,2,4,
457,naitchal,6,2,4,
458,drsmile_1001,6,2,4,
459,Nthh,6,2,4,
460,willpoll,6,2,4,
461,Table Flipper,6,2,4,
462,Spooks,6,2,4,
463,sbtaku11,6,2,4,
