RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,1,1,0,
2,G0rger,1,1,0,
3,Beesman,1,1,0,
4,Xilu,1,1,0,
5,BlockOG,1,1,0,
6,Yunfeng,1,1,0,
7,stellartux,6,2,4,
8,noob7,6,2,4,
9,tahgtahv,6,2,4,
10,blackj,6,2,4,
11,kentex8484,6,2,4,
12,greb_cmd,6,2,4,
13,I am gravemind,6,2,4,
14,Endershadow,6,2,4,
15,Wolfheartrising,6,2,4,
16,danielrab,6,2,4,
17,Cookies369,6,2,4,
18,Nari,6,2,4,
19,[Vas Corp Por]Syntax,6,2,4,
20,agrimes,6,2,4,
21,Pinkii,6,2,4,
22,Samusbot,6,2,4,
23,san_skylak,6,2,4,
24,senshi\_01,6,2,4,
25,Dermenslof,6,2,4,
26,CesiumHorizon,6,2,4,
27,The_Dark_Jumper,6,2,4,
28,WingedWhite,6,2,4,
29,UnsignedRobin,6,2,4,
30,Mortalitor,6,2,4,
31,PotatoLoRD,6,2,4,
32,hirosem,6,2,4,
33,Eldolfin,6,2,4,
34,shift,6,2,4,
35,phil,6,2,4,
36,CurryField,6,2,4,
37,120x1n,6,2,4,
38,Ry'ion,6,2,4,
39,ó ‡°,6,2,4,
40,Limeray,6,2,4,
41,koryngs,6,2,4,
42,Irea,6,2,4,
43,Tobaka,6,2,4,
44,Thunderbolt1029,6,2,4,
45,Pogge,6,2,4,
46,DasWird,6,2,4,
47,Sarah,6,2,4,
48,Emixeras,6,2,4,
49,nichtmeineschulz,6,2,4,
50,blDraX,6,2,4,
51,erwan574,6,2,4,
52,erik.ertler,6,2,4,
53,Birgobert,6,2,4,
54,Freddy,6,2,4,
55,thomas,6,2,4,
56,maxifeld,6,2,4,
57,BOT Paul,6,2,4,
58,yannik.kayser,6,2,4,
59,Heistenberg99,6,2,4,
60,Tsukina_7mochi,6,2,4,
61,iota,6,2,4,
62,Eterm,6,2,4,
63,Bram1999999,6,2,4,
64,ocCa Setos78,6,2,4,
65,seconddifferential,6,2,4,
66,Solomyr,6,2,4,
67,botondmester,6,2,4,
68,Peppw_,6,2,4,
69,DoctorFrog,6,2,4,
70,BrinksNo1,6,2,4,
71,Lebster,6,2,4,
72,Sicnus,6,2,4,
73,ArsMoriendi,6,2,4,
74,The Warden Unit,6,2,4,
75,Lufia,6,2,4,
76,Pigslyer,6,2,4,
77,Walz,6,2,4,
78,louis,6,2,4,
79,nuko274,6,2,4,
80,Mash,6,2,4,
81,Elgareth,6,2,4,
82,Meraque,6,2,4,
83,reh,6,2,4,
84,litl snek,6,2,4,
85,AbelianGrape,6,2,4,
86,Generalfire,6,2,4,
87,Mallthak,6,2,4,
88,Foxie_Fox,6,2,4,
89,hb_wales,6,2,4,
90,fomenta.,6,2,4,
91,banzif,6,2,4,
92,sailerboy98,6,2,4,
93,Mirutz,6,2,4,
94,takaro,6,2,4,
95,Agent Maine,6,2,4,
96,MegaIng,6,2,4,
97,Jay,6,2,4,
98,Goldi2204,6,2,4,
99,Goldgeckoguy,6,2,4,
100,Baschdi,6,2,4,
101,cringemaster420,6,2,4,
102,JackFou,6,2,4,
103,General Imaginaer,6,2,4,
104,fugsii,6,2,4,
105,Carni111,6,2,4,
106,US Marine Hyde,6,2,4,
107,Medic,6,2,4,
108,AtoM,6,2,4,
109,expendablejim,6,2,4,
110,Mikey Danger Roberts,6,2,4,
111,AmpliFire,6,2,4,
112,Carl-ified,6,2,4,
113,sebingel,6,2,4,
114,Aravir,6,2,4,
115,lewingston,6,2,4,
116,pascal.marcou,6,2,4,
117,arar,6,2,4,
118,Takeyan,6,2,4,
119,ierdna100,6,2,4,
