RANK,USER,TOTAL,GATE,DELAY,TICK
1,cringemaster420,4,2,2,
2,Endershadow,4,2,2,
3,danielrab,4,2,2,
4,Nari,4,2,2,
5,FakeNeo,4,2,2,
6,san_skylak,4,2,2,
7,Dermenslof,4,2,2,
8,UnsignedRobin,4,2,2,
9,PotatoLoRD,4,2,2,
10,ó ‡°,4,2,2,
11,Heistenberg99,4,2,2,
12,iota,4,2,2,
13,botondmester,4,2,2,
14,seconddifferential,4,2,2,
15,AbelianGrape,4,2,2,
16,banzif,4,2,2,
17,MegaIng,4,2,2,
18,Jay,4,2,2,
19,alexanderpas,4,2,2,
20,Carl-ified,4,2,2,
21,tali713,4,2,2,
22,Biscuits,4,2,2,
23,altrag,4,2,2,
24,tahgtahv,4,2,2,
25,Pine,4,2,2,
26,CitrusMarmelade,4,2,2,
27,Itehnological,4,2,2,
28,YukiYasai,4,2,2,
29,Rartrin,4,2,2,
30,WhIrLwinD356,4,2,2,
31,RayRay26,4,2,2,
32,Stuffe,4,2,2,
33,Zaxabock,4,2,2,
34,Rominos2,4,2,2,
35,tyryi,4,2,2,
36,VaporGame,4,2,2,
37,SunCat,4,2,2,
38,al13n,4,2,2,
39,decesare,4,2,2,
40,Oshisaure,4,2,2,
41,bmerry,4,2,2,
42,[CrAzY]WC,4,2,2,
43,Whisper,4,2,2,
44,Zargony,4,2,2,
45,BierLiebHaber,4,2,2,
46,Kargaros,4,2,2,
47,Awesomeness211i,4,2,2,
48,r00000t,4,2,2,
49,CodeZ,4,2,2,
50,thompsotd,4,2,2,
51,Silentsouls,4,2,2,
52,cerealandsandwiches,4,2,2,
53,Arnavion,4,2,2,
54,FireStorm,4,2,2,
55,overcomplexification,4,2,2,
56,Brawndo,4,2,2,
57,gary,4,2,2,
58,awa,4,2,2,
59,Moonj64,4,2,2,
60,Dim_ov,4,2,2,
61,Hr.Novu,4,2,2,
62,Arinek,4,2,2,
63,sleepprogger,4,2,2,
64,ovonlogstarn,4,2,2,
65,WicketTVCDj2,4,2,2,
66,didsbert,4,2,2,
67,Sagoot,4,2,2,
68,Fri3dNstuff,4,2,2,
69,PoustouFlan,4,2,2,
70,Legy,4,2,2,
71,slowwalker,4,2,2,
72,Alex,4,2,2,
73,thanis80,4,2,2,
74,MTReis86,4,2,2,
75,UltraPeeks,4,2,2,
76,sunnyssk,4,2,2,
77,almafa64,4,2,2,
78,super_craft_alex,4,2,2,
79,Auto(Dada)Didact,4,2,2,
80,Jist,4,2,2,
81,RealOfficialTurf,4,2,2,
82,Mockingbird,4,2,2,
83,DarthOrdo,4,2,2,
84,simonsays095,4,2,2,
85,Vincent Cardley,4,2,2,
86,AONE,4,2,2,
87,gigglingCaduceus,4,2,2,
88,Segal,4,2,2,
89,m_ornj,4,2,2,
90,GinjaNinja32,4,2,2,
91,Alphiries,4,2,2,
92,ArcticCopper,4,2,2,
93,Ethan,4,2,2,
94,Raptor-Eins-Null,4,2,2,
95,Gelthor,4,2,2,
96,EloTime,4,2,2,
97,SimpleGopnik,4,2,2,
98,Alex,4,2,2,
99,vanilkovy.puding *****,4,2,2,
100,Niels,4,2,2,
101,Kisse Mjolk,4,2,2,
102,Kedesiklem,4,2,2,
103,Arcus,4,2,2,
104,NicePotato,4,2,2,
105,Shadow Spade,4,2,2,
106,Mellohi1,4,2,2,
107,Mayge,4,2,2,
108,reklrekl,4,2,2,
109,Nulano,4,2,2,
110,Nick2oo2,4,2,2,
111,von_moltke,4,2,2,
112,Wylentar,4,2,2,
113,Magnymbus,4,2,2,
114,cswvna,4,2,2,
115,Txoka,4,2,2,
116,micha_i,4,2,2,
117,Zeltix,4,2,2,
118,Isaiah,4,2,2,
119,McModknower,4,2,2,
120,梦想,4,2,2,
121,DemiurgE,4,2,2,
122,[AUT]Hegrid,4,2,2,
123,Lily,4,2,2,
124,Yanni128,4,2,2,
125,HowToCantaloupe,4,2,2,
126,Strubbelkopp,4,2,2,
127,Teun2408,4,2,2,
128,EPRORA,4,2,2,
129,martyn1842,4,2,2,
130,yut23,4,2,2,
131,kiseru,4,2,2,
132,erinsc,4,2,2,
133,GasInfinity,4,2,2,
134,leviandus,4,2,2,
135,SoundingBites,4,2,2,
136,RaumSchnee / KuhlJager,4,2,2,
137,PhiliPdB,4,2,2,
138,OneOfTheChips,4,2,2,
139,ScorpionGreen,4,2,2,
140,Kel,4,2,2,
141,Hinara,4,2,2,
142,Khorne Sanguine,4,2,2,
143,Croustit\_Bat,4,2,2,
144,guy-732,4,2,2,
145,Spivee,4,2,2,
146,minekpo1,4,2,2,
147,G0rger,4,2,2,
148,LPKoyara,4,2,2,
149,zuev93,4,2,2,
150,clock,4,2,2,
151,Pannoni,4,2,2,
