RANK,USER,TOTAL,GATE,DELAY,TICK
1,chxnnug,10,8,2,
2,aeruru,10,8,2,
3,stellartux,10,8,2,
4,tahgtahv,10,8,2,
5,Endershadow,10,8,2,
6,Epsilon,10,8,2,
7,*****.com.trace,10,8,2,
8,Cookies369,10,8,2,
9,Runac,10,8,2,
10,Nari,10,8,2,
11,FakeNeo,10,8,2,
12,agrimes,10,8,2,
13,Pinkii,10,8,2,
14,san_skylak,10,8,2,
15,Dermenslof,10,8,2,
16,senshi\_01,10,8,2,
17,Esrome the Strange,10,8,2,
18,noob7,10,8,2,
19,hirosem,10,8,2,
20,Misaka,10,8,2,
21,Samusbot,10,8,2,
22,UnsignedRobin,10,8,2,
23,Mortalitor,10,8,2,
24,The_Dark_Jumper,10,8,2,
25,CesiumHorizon,10,8,2,
26,SomeGuy,10,8,2,
27,CurryField,10,8,2,
28,PotatoLoRD,10,8,2,
29,shift,10,8,2,
30,juadri,10,8,2,
31,uks_japan_7077,10,8,2,
32,ó ‡°,10,8,2,
33,120x1n,10,8,2,
34,Prenzelberger,10,8,2,
35,Amega,10,8,2,
36,Ry'ion,10,8,2,
37,Thunderbolt1029,10,8,2,
38,koryngs,10,8,2,
39,Tobaka,10,8,2,
40,erwan574,10,8,2,
41,DasWird,10,8,2,
42,Teruko,10,8,2,
43,Freddy,10,8,2,
44,Sarah,10,8,2,
45,Heistenberg99,10,8,2,
46,Tsukina_7mochi,10,8,2,
47,Eterm,10,8,2,
48,seconddifferential,10,8,2,
49,Bram1999999,10,8,2,
50,iota,10,8,2,
51,Amrei,10,8,2,
52,SendU2Hell,10,8,2,
53,Peppw_,10,8,2,
54,Lebster,10,8,2,
55,anan,10,8,2,
56,Coach Schulze,10,8,2,
57,ocCa Setos78,10,8,2,
58,Lufia,10,8,2,
59,Meraque,10,8,2,
60,BrinksNo1,10,8,2,
61,DoctorFrog,10,8,2,
62,hb_wales,10,8,2,
63,AbelianGrape,10,8,2,
64,Atlas,10,8,2,
65,The Warden Unit,10,8,2,
66,banzif,10,8,2,
67,Sicnus,10,8,2,
68,litl snek,10,8,2,
69,luzia.cosi,10,8,2,
70,thomas,10,8,2,
71,MegaIng,10,8,2,
72,Jay,10,8,2,
73,Generalfire,10,8,2,
74,fomenta.,10,8,2,
75,nuko274,10,8,2,
76,Foxie_Fox,10,8,2,
77,Giygas,10,8,2,
78,nichtmeineschulz,10,8,2,
79,fabian247,10,8,2,
80,cringemaster420,10,8,2,
81,Lenny,10,8,2,
82,sailerboy98,10,8,2,
83,Banzify,10,8,2,
84,Mallthak,10,8,2,
85,Mikey Danger Roberts,10,8,2,
86,Carni111,10,8,2,
87,HoelShare,10,8,2,
88,Waffles,10,8,2,
89,AtoM,10,8,2,
90,US Marine Hyde,10,8,2,
91,expendablejim,10,8,2,
92,monKey_DizZle,10,8,2,
93,Irea,10,8,2,
94,BinAktivDuPassiv,10,8,2,
95,alexanderpas,10,8,2,
96,pascal.marcou,10,8,2,
97,A13xund3r,10,8,2,
98,Carl-ified,10,8,2,
99,Baschdi,10,8,2,
100,shnoogy,10,8,2,
101,JackFou,10,8,2,
102,blDraX,10,8,2,
103,Birgobert,10,8,2,
104,deadlleg,10,8,2,
105,rasmuse00,10,8,2,
106,NAMEhzj,10,8,2,
107,TheB,10,8,2,
108,Vivlo,10,8,2,
109,CitrusPunk,10,8,2,
110,Takeyan,10,8,2,
111,tali713,10,8,2,
112,NuclearPhoenix,10,8,2,
113,morybu,10,8,2,
114,Biscuits,10,8,2,
115,altrag,10,8,2,
116,White_Rabbit,10,8,2,
117,Gamerboy166,10,8,2,
118,mpklink,10,8,2,
119,TheZouave,10,8,2,
120,blank_paper66,10,8,2,
121,danielrab,10,8,2,
122,Internet Explorer,10,8,2,
123,Kuldrtorix,10,8,2,
124,Levain,10,8,2,
125,Pine,10,8,2,
126,UMD,10,8,2,
127,Pigslyer,10,8,2,
128,Reikling,10,8,2,
129,Belias Phyre,10,8,2,
