RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,8,8,0,
2,G0rger,8,8,0,
3,Beesman,8,8,0,
4,Xilu,8,8,0,
5,BlockOG,8,8,0,
6,aeruru,10,8,2,
7,chxnnug,10,8,2,
8,stellartux,10,8,2,
9,tahgtahv,10,8,2,
10,Endershadow,10,8,2,
11,*****.com.trace,10,8,2,
12,Ranzer,10,8,2,
13,Cookies369,10,8,2,
14,Runac,10,8,2,
15,Nari,10,8,2,
16,agrimes,10,8,2,
17,Pinkii,10,8,2,
18,simonsays095,10,8,2,
19,san_skylak,10,8,2,
20,Dermenslof,10,8,2,
21,senshi\_01,10,8,2,
22,Esrome the Strange,10,8,2,
23,noob7,10,8,2,
24,Misaka,10,8,2,
25,Samusbot,10,8,2,
26,UnsignedRobin,10,8,2,
27,The_Dark_Jumper,10,8,2,
28,Mortalitor,10,8,2,
29,PotatoLoRD,10,8,2,
30,CesiumHorizon,10,8,2,
31,SomeGuy,10,8,2,
32,hirosem,10,8,2,
33,phil,10,8,2,
34,CurryField,10,8,2,
35,shift,10,8,2,
36,uks_japan_7077,10,8,2,
37,ó ‡°,10,8,2,
38,120x1n,10,8,2,
39,Prenzelberger,10,8,2,
40,Amega,10,8,2,
41,Ry'ion,10,8,2,
42,Thunderbolt1029,10,8,2,
43,koryngs,10,8,2,
44,Tobaka,10,8,2,
45,DasWird,10,8,2,
46,erwan574,10,8,2,
47,Teruko,10,8,2,
48,Freddy,10,8,2,
49,Heistenberg99,10,8,2,
50,Tsukina_7mochi,10,8,2,
51,Sarah,10,8,2,
52,Eterm,10,8,2,
53,seconddifferential,10,8,2,
54,Bram1999999,10,8,2,
55,iota,10,8,2,
56,Amrei,10,8,2,
57,SendU2Hell,10,8,2,
58,Peppw_,10,8,2,
59,Lebster,10,8,2,
60,anan,10,8,2,
61,Coach Schulze,10,8,2,
62,ocCa Setos78,10,8,2,
63,Lufia,10,8,2,
64,Meraque,10,8,2,
65,BrinksNo1,10,8,2,
66,DoctorFrog,10,8,2,
67,AbelianGrape,10,8,2,
68,hb_wales,10,8,2,
69,Atlas,10,8,2,
70,The Warden Unit,10,8,2,
71,banzif,10,8,2,
72,Sicnus,10,8,2,
73,litl snek,10,8,2,
74,luzia.cosi,10,8,2,
75,thomas,10,8,2,
76,MegaIng,10,8,2,
77,Jay,10,8,2,
78,Generalfire,10,8,2,
79,fomenta.,10,8,2,
80,nuko274,10,8,2,
81,Foxie_Fox,10,8,2,
82,Giygas,10,8,2,
83,nichtmeineschulz,10,8,2,
84,fabian247,10,8,2,
85,cringemaster420,10,8,2,
86,Lenny,10,8,2,
87,Banzify,10,8,2,
88,sailerboy98,10,8,2,
89,Panra,10,8,2,
90,Mallthak,10,8,2,
91,Mikey Danger Roberts,10,8,2,
92,Carni111,10,8,2,
93,HoelShare,10,8,2,
94,Waffles,10,8,2,
95,AtoM,10,8,2,
96,US Marine Hyde,10,8,2,
97,expendablejim,10,8,2,
98,monKey_DizZle,10,8,2,
99,Irea,10,8,2,
100,BinAktivDuPassiv,10,8,2,
101,alexanderpas,10,8,2,
102,pascal.marcou,10,8,2,
103,A13xund3r,10,8,2,
104,Baschdi,10,8,2,
105,Carl-ified,10,8,2,
106,aminoacidcarbon,10,8,2,
107,shnoogy,10,8,2,
108,JackFou,10,8,2,
109,blDraX,10,8,2,
110,Birgobert,10,8,2,
111,deadlleg,10,8,2,
112,NAMEhzj,10,8,2,
113,rasmuse00,10,8,2,
114,Vivlo,10,8,2,
115,TheB,10,8,2,
116,CitrusPunk,10,8,2,
117,Takeyan,10,8,2,
118,tali713,10,8,2,
119,NuclearPhoenix,10,8,2,
120,morybu,10,8,2,
121,Biscuits,10,8,2,
122,altrag,10,8,2,
123,Kirre,10,8,2,
124,mpklink,10,8,2,
125,TheZouave,10,8,2,
126,blank_paper66,10,8,2,
127,danielrab,10,8,2,
128,Internet Explorer,10,8,2,
129,Levain,10,8,2,
130,Kuldrtorix,10,8,2,
131,Pine,10,8,2,
132,UMD,10,8,2,
133,Pigslyer,10,8,2,
134,Reikling,10,8,2,
135,Belias Phyre,10,8,2,
136,Gort,10,8,2,
137,Goldi2204,10,8,2,
138,luap-sommer,10,8,2,
139,khoyobegenn,10,8,2,
140,Chriiiis,10,8,2,
141,lewingston,10,8,2,
142,Honkler,10,8,2,
143,BOT Paul,10,8,2,
144,CitrusMarmelade,10,8,2,
145,jemand2001,10,8,2,
146,arild.haugstad,10,8,2,
147,maxifeld,10,8,2,
148,Blade,10,8,2,
149,dr.lum,10,8,2,
150,eclair318,10,8,2,
151,ç™ºé›»æ©Ÿå›žã—ã¦ãã‚Œ,10,8,2,
152,7~mon,10,8,2,
153,JMKain,10,8,2,
154,FrostbittenKL,10,8,2,
155,Momotron23,10,8,2,
156,rainyday,10,8,2,
157,DaDaimon,10,8,2,
158,Neumiindehouse,10,8,2,
159,obi.knobi,10,8,2,
160,Mirutz,10,8,2,
161,Hetorus NL,10,8,2,
162,Itehnological,10,8,2,
163,Alex_523,10,8,2,
164,t8_now,10,8,2,
165,Moh,10,8,2,
166,mikenyannyan128,10,8,2,
167,Elgareth,10,8,2,
168,Vandar501,10,8,2,
169,jia,10,8,2,
170,Xioc84,10,8,2,
171,Oshikuru,10,8,2,
172,.FaibleTropFaible,10,8,2,
173,YukiYasai,10,8,2,
174,reddog,10,8,2,
175,willpoll,10,8,2,
176,Philipp,10,8,2,
177,Patricia,10,8,2,
178,fimasu,10,8,2,
179,king-crash,10,8,2,
180,AmpliFire,10,8,2,
181,stem,10,8,2,
182,BurntBeard,10,8,2,
183,Dinner93,10,8,2,
184,Vivi,10,8,2,
185,Clepto,10,8,2,
186,Vylybb,10,8,2,
187,Uwe,10,8,2,
188,-=DawN=- hero93,10,8,2,
189,jowler,10,8,2,
190,Cpt. Bread,10,8,2,
191,flederohr,10,8,2,
192,Gl0ckflÃ¶te,10,8,2,
193,Rartrin,10,8,2,
194,OngaTonga,10,8,2,
195,robotguy189,10,8,2,
196,General Imaginaer,10,8,2,
197,ZizZl,10,8,2,
198,Rundy,10,8,2,
199,flemmingvonessen,10,8,2,
200,S,10,8,2,
201,Glymph,10,8,2,
202,morebeat,10,8,2,
203,glocker,10,8,2,
204,DarklinkFighter,10,8,2,
205,Fudi,10,8,2,
206,Solomyr,10,8,2,
207,HC-Skovhus,10,8,2,
208,Hackepeter,10,8,2,
209,Medic,10,8,2,
210,kkap1,10,8,2,
211,dorianignee,10,8,2,
212,Awesomeness211i,10,8,2,
213,WhIrLwinD356,10,8,2,
214,RayRay26,10,8,2,
215,EuroXx,10,8,2,
216,K\_JockeR\_S,10,8,2,
217,Pogge,10,8,2,
218,levii,10,8,2,
219,thebigdebowski,10,8,2,
220,Mash,10,8,2,
221,Naughty Naughty,10,8,2,
222,AffablePanda,10,8,2,
223,obstsalat8,10,8,2,
224,thrash,10,8,2,
225,flash,10,8,2,
226,lembcumn,10,8,2,
227,Groodion,10,8,2,
228,Hedgehog,10,8,2,
229,StiÃ±os,10,8,2,
230,KlauZ,10,8,2,
231,Shaluin,10,8,2,
232,Bettelmage,10,8,2,
233,Raiden-Powerâš¡,10,8,2,
234,yamadayuuki0818,10,8,2,
235,oGEN,10,8,2,
236,Ingo Montana,10,8,2,
237,CharGamerYT,10,8,2,
238,pinkertona,10,8,2,
239,the protagonist.,10,8,2,
240,linnet,10,8,2,
241,lusidity,10,8,2,
242,isaac.wass (allegedly),10,8,2,
243,AWOL,10,8,2,
244,strawwedberries,10,8,2,
245,updog,10,8,2,
246,#TSwagg,10,8,2,
247,sq5researcher,10,8,2,
248,sylt_g,10,8,2,
249,Harmonis,10,8,2,
250,Rutir,10,8,2,
251,Hui Geng Hao,10,8,2,
252,52005,10,8,2,
253,killingfield,10,8,2,
254,VolaSyVy,10,8,2,
255,houzw2001,10,8,2,
256,josh,10,8,2,
257,Captain Planet,10,8,2,
258,HappyDomba,10,8,2,
259,michi-windsurfing,10,8,2,
260,Ashyaa,10,8,2,
261,Alter,10,8,2,
262,PrediGER,10,8,2,
263,Oshisaure,10,8,2,
264,Hyperlocke,10,8,2,
265,Nodon,10,8,2,
266,Asthmatiker,10,8,2,
267,mvs.Mazzader,10,8,2,
268,bijjoo!,10,8,2,
269,RedPhoenix777,10,8,2,
270,ã¿ã‹ã‚“,10,8,2,
271,prphet,10,8,2,
272,Der mediterane Pfirsichmann,10,8,2,
273,Byzantine General Store,10,8,2,
274,Bademeister,10,8,2,
275,tofu-online,10,8,2,
276,The_real_Trolf,10,8,2,
277,segelohren,10,8,2,
278,RasaRasa,10,8,2,
279,ShadF0x,10,8,2,
280,hering,10,8,2,
281,Puppy Puncher,10,8,2,
282,Rominos2,10,8,2,
283,Rofgar,10,8,2,
284,Labergurke,10,8,2,
285,pepe,10,8,2,
286,Dalmali,10,8,2,
287,butros10 games,10,8,2,
288,rolexa2010,10,8,2,
289,you,10,8,2,
290,KeDouJia,10,8,2,
291,khallep2001,10,8,2,
292,tyryi,10,8,2,
293,DarkiiiS,10,8,2,
294,hungcat,10,8,2,
295,Acze,10,8,2,
296,Serpenz,10,8,2,
297,Buddhabrot,10,8,2,
298,LMD|Cavy,10,8,2,
299,boyjerrykuo,10,8,2,
300,EnerGMrSmith,10,8,2,
301,VaporGame,10,8,2,
302,ZKlack,10,8,2,
303,my_agony,10,8,2,
304,abandoned,10,8,2,
305,knorke_ofen,10,8,2,
306,Donut,10,8,2,
307,Vinegret,10,8,2,
308,Comm,10,8,2,
309,SunCat,10,8,2,
310,ccdrom,10,8,2,
311,matt.thomson,10,8,2,
312,asdf56,10,8,2,
313,edggy,10,8,2,
314,evik,10,8,2,
315,JMG [JMadGamer],10,8,2,
316,EwokPunter,10,8,2,
317,pppolly,10,8,2,
318,Nyx Eternal,10,8,2,
319,Atropos,10,8,2,
320,Cheese,10,8,2,
321,Notch,10,8,2,
322,al13n,10,8,2,
323,FrixioN,10,8,2,
324,cadaei,10,8,2,
325,Thunder,10,8,2,
