RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,14,8,6,
2,G0rger,14,8,6,
3,Beesman,14,8,6,
4,Xilu,14,8,6,
5,BlockOG,14,8,6,
6,沈逍遥(Q群746497406),19,11,8,
7,Yunfeng,20,12,8,
8,altrag,22,14,8,
9,Pine,22,14,8,
10,YukiYasai,22,14,8,
11,[CrAzY]WC,22,12,10,
12,Gelthor,22,12,10,
13,Mayge,22,12,10,
14,Nick2oo2,22,12,10,
15,EPRORA,22,12,10,
16,yut23,22,12,10,
17,Khorne Sanguine,22,12,10,
18,梦想,22,12,10,
19,Wanglemink Fannycourt,22,12,10,
20,Namseeb,22,12,10,
21,wangperiagoge,22,12,10,
22,Arok,22,12,10,
23,Oreo,22,12,10,
24,747909799,22,12,10,
25,alexanderpas,23,13,10,
26,Nari,23,13,10,
27,MegaIng,23,13,10,
28,iota,23,13,10,
29,danielrab,23,13,10,
30,WhIrLwinD356,23,13,10,
31,Heistenberg99,23,13,10,
32,VaporGame,23,11,12,
33,SunCat,23,13,10,
34,bmerry,23,13,10,
35,thompsotd,23,13,10,
36,Arnavion,23,13,10,
37,Carl-ified,23,13,10,
38,UnsignedRobin,23,13,10,
39,Sagoot,23,13,10,
40,GinjaNinja32,23,13,10,
41,Raptor-Eins-Null,23,13,10,
42,EloTime,23,13,10,
43,Zarchonia,23,13,10,
44,zuev93,23,11,12,
45,HowToCantaloupe,23,13,10,
46,OneOfTheChips,23,13,10,
47,kiseru,23,13,10,
48,erinsc,23,13,10,
49,reklrekl,23,13,10,
50,FoxSlyme,23,13,10,
51,1547938354,23,13,10,
52,Volatility,23,13,10,
53,c\_user,23,13,10,
54,Alcyr,23,13,10,
55,ButterSus,23,13,10,
56,Havenvik,23,13,10,
57,Diggsey,23,13,10,
58,Välling,23,13,10,
59,ardeej,23,13,10,
60,toke,23,13,10,
61,kzotn,23,13,10,
62,tctianchi,23,13,10,
63,没有用,23,13,10,
64,柴,23,13,10,
65,pichutarius,23,13,10,
66,Braxbro,23,13,10,
67,UwU,23,11,12,
68,white-gandalf,23,17,6,
69,ABIGplayer,23,13,10,
70,Endershadow,24,16,8,
71,san_skylak,24,16,8,
72,Oshisaure,24,12,12,
73,khoyobegenn,24,12,12,
74,al13n,24,12,12,
75,CitrusMarmelade,24,16,8,
76,Brawndo,24,16,8,
77,hungcat,24,12,12,
78,BierLiebHaber,24,16,8,
79,PythonPlusPlus,24,12,12,
80,ovonlogstarn,24,12,12,
81,Gamerboy166,24,18,6,
82,RayRay26,24,16,8,
83,Jist,24,12,12,
84,heizusan,24,14,10,
85,Vetinari,24,12,12,
86,The Moon Itself,24,14,10,
87,Nulano,24,16,8,
88,Moonj64,24,12,12,
89,Wylentar,24,12,12,
90,PhiliPdB,24,12,12,
