RANK,USER,TOTAL,GATE,DELAY,TICK
1,altrag,58,48,10,
4,Beesman,58,52,6,
9,Nari,61,51,10,
22,Zarchonia,61,49,12,
52,Endershadow,62,50,12,
122,seconddifferential,63,49,14,
128,mhkw,63,51,12,
134,Awesomeness211i,64,52,12,
135,Pr0st,64,50,14,
136,Niels,64,48,16,
160,agrimes,65,49,16,
161,Dermenslof,65,47,18,
169,tyryi,65,53,12,
231,skyhgzsh,65,51,14,
247,Alex,66,54,12,
248,Auto(Dada)Didact,66,52,14,
254,StarDuster,66,48,18,
256,Jay,67,47,20,
259,al13n,67,55,12,
273,gigglingCaduceus,67,51,16,
302,nabla,67,53,14,
354,fort,67,49,18,
358,ó ‡°,68,56,12,
376,Salix,68,48,20,
400,Hyperlocke,69,49,20,
403,Vetinari,69,55,14,
409,Alcyr,69,59,10,
413,Furan867,69,53,16,
423,m_ornj,70,52,18,
424,Dave,70,56,14,
430,西伯利亚的猫猫,70,58,12,
431,Tioxti,70,50,20,
435,albanboissard,70,48,22,
445,Samusbot,71,49,22,
446,isaac.wass (allegedly),71,55,16,
448,10usb,71,53,18,
585,Rando-cal,72,50,22,
586,Revenantus,72,58,14,
588,dratini0,72,52,20,
591,tallent\_joe,72,54,18,
601,SomeGuy,73,53,20,
637,iwikal,73,57,16,
707,Beemer,73,51,22,
733,Ivan,73,55,18,
786,wcr1996,73,59,14,
