RANK,USER,TOTAL,GATE,DELAY,TICK
1,altrag,58,48,10,
2,梦想,58,48,10,
3,沈逍遥(Q群746497406),58,48,10,
4,Beesman,58,52,6,
5,1547938354,58,48,10,
6,Xilu,58,52,6,
7,c\_user,58,48,10,
8,BlockOG,58,52,6,
9,Nari,61,51,10,
10,UnsignedRobin,61,51,10,
11,CitrusMarmelade,61,51,10,
12,YukiYasai,61,51,10,
13,SunCat,61,51,10,
14,[CrAzY]WC,61,51,10,
15,Arnavion,61,51,10,
16,overcomplexification,61,51,10,
17,RealOfficialTurf,61,51,10,
18,GinjaNinja32,61,51,10,
19,Gelthor,61,51,10,
20,Mayge,61,51,10,
21,naitchal,61,51,10,
22,Zarchonia,61,49,12,
23,Nick2oo2,61,51,10,
24,HowToCantaloupe,61,51,10,
25,EPRORA,61,49,12,
26,yut23,61,51,10,
27,schadocalex,61,51,10,
28,G0rger,61,49,12,
29,alfabit,61,51,10,
30,Volatility,61,51,10,
31,Wanglemink Fannycourt,61,51,10,
32,Namseeb,61,51,10,
33,Diggsey,61,51,10,
34,babycakesmittens,61,51,10,
35,loganhodgson,61,51,10,
36,Välling,61,51,10,
37,hannah,61,49,12,
38,toke,61,49,12,
39,ranger\_e\_p,61,51,10,
40,LanzaJ,61,51,10,
41,tctianchi,61,51,10,
42,Jasper1749,61,51,10,
43,柴,61,49,12,
44,Braxbro,61,51,10,
45,HURGMCGURG,61,49,12,
46,kmcguffi,61,51,10,
47,Quantic Mage,61,51,10,
48,VeliTomaatti,61,51,10,
49,Oreo,61,51,10,
50,Nero,61,51,10,
51,カエル軍団,61,51,10,
52,Endershadow,62,50,12,
53,danielrab,62,50,12,
54,san_skylak,62,50,12,
55,banzif,62,50,12,
56,iota,62,50,12,
57,alexanderpas,62,50,12,
58,Rartrin,62,50,12,
59,Heistenberg99,62,50,12,
60,VaporGame,62,50,12,
61,Whisper,62,50,12,
62,bmerry,62,50,12,
63,thompsotd,62,50,12,
64,FireStorm,62,50,12,
65,Brawndo,62,50,12,
66,Moonj64,62,50,12,
67,Legy,62,50,12,
68,slowwalker,62,50,12,
69,brandon3055,62,50,12,
70,Mockingbird,62,50,12,
