RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,17,13,4,
2,G0rger,17,13,4,
3,Beesman,17,13,4,
4,Xilu,17,13,4,
5,BlockOG,17,13,4,
6,Endershadow,21,13,8,
7,Nari,21,13,8,
8,agrimes,21,13,8,
9,san_skylak,21,13,8,
10,Dermenslof,21,13,8,
11,PotatoLoRD,21,13,8,
12,ovonlogstarn,21,13,8,
13,ó ‡°,21,13,8,
14,danielrab,21,13,8,
15,Heistenberg99,21,13,8,
16,seconddifferential,21,13,8,
17,MegaIng,21,13,8,
18,alexanderpas,21,13,8,
19,Carl-ified,21,13,8,
20,altrag,21,13,8,
21,Pine,21,13,8,
22,CitrusMarmelade,21,13,8,
23,YukiYasai,21,13,8,
24,Itehnological,21,13,8,
25,Rartrin,21,13,8,
26,Awesomeness211i,21,13,8,
27,WhIrLwinD356,21,13,8,
28,Alter,21,13,8,
29,#TSwagg,21,13,8,
30,tyryi,21,13,8,
31,VaporGame,21,13,8,
32,SunCat,21,13,8,
33,al13n,21,13,8,
34,Whisper,21,13,8,
35,bmerry,21,13,8,
36,[CrAzY]WC,21,13,8,
37,Trixi,21,13,8,
38,Zargony,21,13,8,
39,Kargaros,21,13,8,
40,El Presidente,21,13,8,
41,thompsotd,21,13,8,
42,Silentsouls,21,13,8,
43,cerealandsandwiches,21,13,8,
44,CodeZ,21,13,8,
45,PythonPlusPlus,21,13,8,
46,Arnavion,21,13,8,
47,FireStorm,21,13,8,
48,Brawndo,21,13,8,
49,gary,21,13,8,
50,Dim_ov,21,13,8,
51,Skepfyr,21,13,8,
52,climb4life,21,13,8,
53,Vincent Cardley,21,13,8,
54,sleepprogger,21,13,8,
55,WicketTVCDj2,21,13,8,
56,Niet,21,13,8,
57,Sagoot,21,13,8,
58,Fri3dNstuff,21,13,8,
59,PoustouFlan,21,13,8,
60,slowwalker,21,13,8,
61,Hesulan,21,13,8,
62,Alex,21,13,8,
63,super_craft_alex,21,13,8,
64,almafa64,21,13,8,
65,Auto(Dada)Didact,21,13,8,
66,Jist,21,13,8,
67,Mockingbird,21,13,8,
68,RealOfficialTurf,21,13,8,
69,DarthOrdo,21,13,8,
70,pleegwat,21,13,8,
71,gigglingCaduceus,21,13,8,
72,Alphiries,21,13,8,
73,GinjaNinja32,21,13,8,
74,Alex,21,13,8,
75,Raptor-Eins-Null,21,13,8,
76,cswvna,21,13,8,
77,EloTime,21,13,8,
78,Gelthor,21,13,8,
79,Shim,21,13,8,
80,ZeroFarad,21,13,8,
81,Niels,21,13,8,
82,Kisse Mjolk,21,13,8,
83,Kedesiklem,21,13,8,
84,Arcus,21,13,8,
85,Shadow Spade,21,13,8,
86,SimpleGopnik,21,13,8,
87,Mayge,21,13,8,
88,reklrekl,21,13,8,
89,Nulano,21,13,8,
90,Nick2oo2,21,13,8,
91,Zaxabock,21,13,8,
92,ParacelsusPharmD,21,13,8,
93,Magnymbus,21,13,8,
94,vroonthib,21,13,8,
95,The Ass Kicker,21,13,8,
96,Moonj64,21,13,8,
97,Txoka,21,13,8,
98,Pannoni,21,13,8,
99,micha_i,21,13,8,
100,noam.tashma,21,13,8,
101,Zeltix,21,13,8,
102,zuev93,21,13,8,
103,McModknower,21,13,8,
104,梦想,21,13,8,
105,KAZ3US,21,13,8,
106,Yanni128,21,13,8,
107,mediosthenes,21,13,8,
108,HowToCantaloupe,21,13,8,
109,Teun2408,21,13,8,
110,EPRORA,21,13,8,
111,martyn1842,21,13,8,
112,yut23,21,13,8,
113,kiseru,21,13,8,
114,erinsc,21,13,8,
115,GasInfinity,21,13,8,
116,PhiliPdB,21,13,8,
117,ScorpionGreen,21,13,8,
118,dudfo0629,21,13,8,
119,OneOfTheChips,21,13,8,
120,Hinara,21,13,8,
121,Khorne Sanguine,21,13,8,
122,minekpo1,21,13,8,
123,LPKoyara,21,13,8,
124,mm,21,13,8,
125,garr890354839,21,13,8,
126,schadocalex,21,13,8,
127,Bllum,21,13,8,
128,BekfastStealer,21,13,8,
129,alfabit,21,13,8,
130,Krang,21,13,8,
131,Chrisfox,21,13,8,
132,lazarm,21,13,8,
133,krangelang,21,13,8,
134,Pakanaateisti,21,13,8,
135,Coded Oreo,21,13,8,
136,NicolaeHC,21,13,8,
137,Bronze,21,13,8,
138,benlingan,21,13,8,
139,Mominon,21,13,8,
140,jamatt0443,21,13,8,
141,RyuTurtle,21,13,8,
142,mootmoot,21,13,8,
143,Zaratul9,21,13,8,
144,mhkw,21,13,8,
145,Schadocnico,21,13,8,
146,bearb,21,13,8,
147,Moriibund,21,13,8,
148,Thism2,21,13,8,
149,Unmeinks,21,13,8,
150,沈逍遥(Q群746497406),21,13,8,
151,Wish,21,13,8,
152,egerke,21,13,8,
153,sanyueshier,21,13,8,
154,nathancrazy5,21,13,8,
155,DoomBoi,21,13,8,
156,鸡米花的花语是喷射,21,13,8,
157,0xmeow,21,13,8,
158,FoxSlyme,21,13,8,
159,artsuchiya,21,13,8,
160,danie59823,21,13,8,
161,tooro,21,13,8,
162,fishing sea,21,13,8,
163,zuiemimi,21,13,8,
164,KaloSeishin,21,13,8,
165,1547938354,21,13,8,
166,Mr Pebble,21,13,8,
167,LittleDemon2,21,13,8,
168,sewbacca,21,13,8,
169,coming,21,13,8,
