RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,7,5,2,
2,G0rger,7,5,2,
3,Beesman,7,5,2,
4,Xilu,7,5,2,
5,BlockOG,7,5,2,
6,Yunfeng,11,7,4,
7,Endershadow,13,7,6,
8,danielrab,13,7,6,
9,Nari,13,7,6,
10,FakeNeo,13,7,6,
11,agrimes,13,7,6,
12,Pinkii,13,7,6,
13,san_skylak,13,7,6,
14,Dermenslof,13,7,6,
15,UnsignedRobin,13,7,6,
16,PotatoLoRD,13,7,6,
17,ovonlogstarn,13,7,6,
18,ó ‡°,13,7,6,
19,Irea,13,7,6,
20,Heistenberg99,13,7,6,
21,Amrei,13,7,6,
22,iota,13,7,6,
23,seconddifferential,13,7,6,
24,botondmester,13,7,6,
25,Sicnus,13,7,6,
26,hb_wales,13,7,6,
27,banzif,13,7,6,
28,MegaIng,13,7,6,
29,HoelShare,13,7,6,
30,AtoM,13,7,6,
31,Carl-ified,13,7,6,
32,alexanderpas,13,7,6,
33,Vivlo,13,7,6,
34,metayrox,13,7,6,
35,Mettphysik,13,7,6,
36,tali713,13,7,6,
37,Ingo Montana,13,7,6,
38,Biscuits,13,7,6,
39,altrag,13,7,6,
40,Kuldrtorix,13,7,6,
41,Pine,13,7,6,
42,CitrusMarmelade,13,7,6,
43,arild.haugstad,13,7,6,
44,morebeat,13,7,6,
45,Itehnological,13,7,6,
46,YukiYasai,13,7,6,
47,fimasu,13,7,6,
48,Fudi,13,7,6,
49,Rartrin,13,7,6,
50,hungcat,13,7,6,
51,obstsalat8,13,7,6,
52,Awesomeness211i,13,7,6,
53,WhIrLwinD356,13,7,6,
54,RayRay26,13,7,6,
55,Alter,13,7,6,
56,Hedgehog,13,7,6,
57,#TSwagg,13,7,6,
58,Oshisaure,13,7,6,
59,tofu-online,13,7,6,
60,Zaxabock,13,7,6,
61,PMan,13,7,6,
62,butros10 games,13,7,6,
63,Rominos2,13,7,6,
64,ZKlack,13,7,6,
65,Mr. A,13,7,6,
66,Enigmatic,13,7,6,
67,SunCat,13,7,6,
68,VaporGame,13,7,6,
69,matt.thomson,13,7,6,
70,Whisper,13,7,6,
71,EwokPunter,13,7,6,
72,al13n,13,7,6,
73,DarthSack,13,7,6,
74,sunnyssk,13,7,6,
75,Stevi the Stain,13,7,6,
76,bmerry,13,7,6,
77,[CrAzY]WC,13,7,6,
78,Trixi,13,7,6,
79,naitchal,13,7,6,
80,chrisdubz,13,7,6,
81,Errs Anyway,13,7,6,
82,Henburger | BLY,13,7,6,
83,Tokin,13,7,6,
84,Zargony,13,7,6,
85,BierLiebHaber,13,7,6,
86,Wastlos,13,7,6,
87,wizards.ghost,13,7,6,
88,Kargaros,13,7,6,
89,Grnstdl,13,7,6,
90,Blackdevil,13,7,6,
91,I'm Helping,13,7,6,
92,Crunch,13,7,6,
93,hhl,13,7,6,
94,Radies,13,7,6,
95,Ballduin,13,7,6,
96,chrisi-12er,13,7,6,
97,WaffelWeib,13,7,6,
98,CodeZ,13,7,6,
99,Lil Sebastian,13,7,6,
100,å¥å…¨ãªã‚‹é­‚ã¯ã€ å¥å…¨ãª,13,7,6,
101,koalaman,13,7,6,
102,thompsotd,13,7,6,
103,Mountek,13,7,6,
104,Silentsouls,13,7,6,
105,MONSIEUR Porc,13,7,6,
106,Kyaran,13,7,6,
107,Starficz,13,7,6,
108,PythonPlusPlus,13,7,6,
109,Arnavion,13,7,6,
110,FireStorm,13,7,6,
111,Bealth,13,7,6,
112,stratege8,13,7,6,
113,Penetrator,13,7,6,
114,Nebur,13,7,6,
115,[1up]oppa05,13,7,6,
116,L.A.,13,7,6,
117,malte40,13,7,6,
118,iTod,13,7,6,
119,"Fernand{o,ez}",13,7,6,
120,"IA_BOT(""MainFastSolve.rom"")",13,7,6,
121,Paul,13,7,6,
122,MÃ¼hendis,13,7,6,
123,henryfleischer01,13,7,6,
124,owo-tan,13,7,6,
125,danny29087,13,7,6,
126,DillyWillyUWU,13,7,6,
127,Svenson,13,7,6,
128,Brawndo,13,7,6,
129,The Gamer,13,7,6,
130,gary,13,7,6,
131,BeepBoppity,13,7,6,
132,AidanMars,13,7,6,
133,Karzana,13,7,6,
134,HImcdonough,13,7,6,
135,DÃ¶,13,7,6,
136,JimDoesntCarry,13,7,6,
137,Harrison D.,13,7,6,
138,Highlife1911,13,7,6,
139,Beemer,13,7,6,
140,Jestah,13,7,6,
141,am7w406,13,7,6,
142,KnobY,13,7,6,
143,KaffeeKind,13,7,6,
144,xXTMNTXx,13,7,6,
145,Hr.Novu,13,7,6,
146,ç§‘æˆ¸ç€¬ã‚¯ãƒ¢,13,7,6,
147,Renji,13,7,6,
148,BodeSpezial,13,7,6,
149,Dorcas,13,7,6,
150,Khold,13,7,6,
151,Zly,13,7,6,
152,THORSTED,13,7,6,
153,hirni,13,7,6,
154,Skepfyr,13,7,6,
155,[SchÃ¼Pe] Maxximus,13,7,6,
156,FryZeit,13,7,6,
157,Lulu,13,7,6,
158,Schright Dwute,13,7,6,
159,Ethan,13,7,6,
160,strcat,13,7,6,
161,MMMJam,13,7,6,
162,climb4life,13,7,6,
163,NM Tung,13,7,6,
164,BanZai,13,7,6,
165,phillip_lynx,13,7,6,
166,loki_9112,13,7,6,
167,mayonnuse,13,7,6,
168,Zayden,13,7,6,
169,toiu7344,13,7,6,
170,coin,13,7,6,
171,Olwe519,13,7,6,
172,Vincent Cardley,13,7,6,
173,Brasselfradt,13,7,6,
174,Unr3quit3d,13,7,6,
175,Hakkodi,13,7,6,
176,sleepprogger,13,7,6,
177,Dickbutt,13,7,6,
178,Skull,13,7,6,
179,Chief117,13,7,6,
180,WicketTVCDj2,13,7,6,
181,timon.bentz,13,7,6,
182,monody507,13,7,6,
183,t.handirk,13,7,6,
184,CLaYTaXx,13,7,6,
185,â™‚300 bytesâ™‚,13,7,6,
186,Sahishar,13,7,6,
187,yaketake08,13,7,6,
188,Orio,13,7,6,
189,xxflyingdogxx,13,7,6,
190,Matcha Monaka,13,7,6,
191,BeamKids,13,7,6,
192,d3rfr3d,13,7,6,
193,MrOnosa,13,7,6,
194,wpow1991,13,7,6,
195,Entherus,13,7,6,
196,A_2003_McG,13,7,6,
197,Julian,13,7,6,
198,gernot.lillge,13,7,6,
199,Pearman,13,7,6,
200,[NcK]MasterShake|CM,13,7,6,
201,kimjeongyun2,13,7,6,
202,Sagoot,13,7,6,
203,Laroxsit,13,7,6,
204,$uicide,13,7,6,
205,The Almighty Pegasus Epsilon,13,7,6,
206,4x8rider,13,7,6,
207,|Sa|-Iron_Chef-[PRiSoN],13,7,6,
208,Indicareon,13,7,6,
209,hazred,13,7,6,
210,Peklarius,13,7,6,
211,Nickmaw223,13,7,6,
212,Alexandre,13,7,6,
213,Fri3dNstuff,13,7,6,
214,Elefantenkoenig,13,7,6,
215,PoustouFlan,13,7,6,
216,giofrr,13,7,6,
217,Aztec,13,7,6,
218,Legy,13,7,6,
219,slowwalker,13,7,6,
220,DaBenjle,13,7,6,
221,guillaume.diss,13,7,6,
222,Phoenix,13,7,6,
223,LePetomane,13,7,6,
224,Sinsys,13,7,6,
225,ElyKar,13,7,6,
226,flemmingvonessen,13,7,6,
227,KOTAH,13,7,6,
228,Blocko,13,7,6,
229,Apithia,13,7,6,
