RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,11,7,4,
2,G0rger,11,7,4,
3,沈逍遥(Q群746497406),11,7,4,
4,Beesman,11,7,4,
5,Xilu,11,7,4,
6,BlockOG,11,7,4,
7,Auto Lose,12,8,4,
8,Extrathestral,12,8,4,
9,dinoper,13,7,6,
10,alexanderpas,15,7,8,
11,stellartux,15,7,8,
12,tahgtahv,15,7,8,
13,Endershadow,15,7,8,
14,Nari,15,7,8,
15,agrimes,15,7,8,
16,san_skylak,15,7,8,
17,Dermenslof,15,7,8,
18,hirosem,15,7,8,
19,Samusbot,15,7,8,
20,UnsignedRobin,15,7,8,
21,The_Dark_Jumper,15,7,8,
22,PotatoLoRD,15,7,8,
23,ó ‡°,15,7,8,
24,danielrab,15,7,8,
25,seconddifferential,15,7,8,
26,Heistenberg99,15,7,8,
27,iota,15,7,8,
28,botondmester,15,7,8,
29,hb_wales,15,7,8,
30,banzif,15,7,8,
31,MegaIng,15,7,8,
32,Jay,15,7,8,
33,cringemaster420,15,7,8,
34,AbelianGrape,15,7,8,
35,Carl-ified,15,7,8,
36,tali713,15,7,8,
37,altrag,15,7,8,
38,flederohr,15,7,8,
39,Agent Maine,15,7,8,
40,Pine,15,7,8,
41,Itehnological,15,7,8,
42,YukiYasai,15,7,8,
43,fimasu,15,7,8,
44,CitrusMarmelade,15,7,8,
45,Rartrin,15,7,8,
46,Awesomeness211i,15,7,8,
47,RayRay26,15,7,8,
48,WhIrLwinD356,15,7,8,
49,"IA_BOT(""MainFastSolve.rom"")",15,7,8,
50,Alter,15,7,8,
51,#TSwagg,15,7,8,
52,Hyperlocke,15,7,8,
53,Zaxabock,15,7,8,
54,hungcat,15,7,8,
55,tyryi,15,7,8,
56,tofik,15,7,8,
57,VaporGame,15,7,8,
58,Whisper,15,7,8,
59,SirLestat,15,7,8,
60,SunCat,15,7,8,
61,al13n,15,7,8,
62,decesare,15,7,8,
63,cerealandsandwiches,15,7,8,
64,i3ym,15,7,8,
65,Oshisaure,15,7,8,
66,bmerry,15,7,8,
67,[CrAzY]WC,15,7,8,
68,10usb,15,7,8,
69,Trixi,15,7,8,
70,naitchal,15,7,8,
71,Errs Anyway,15,7,8,
72,Zargony,15,7,8,
73,BierLiebHaber,15,7,8,
74,Dennyout65,15,7,8,
75,Kargaros,15,7,8,
