RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,5,3,2,
2,G0rger,5,3,2,
3,沈逍遥(Q群746497406),5,3,2,
4,Beesman,5,3,2,
5,Xilu,5,3,2,
6,BlockOG,5,3,2,
7,żydus,5,3,2,
8,dinoper,5,3,2,
9,princessyemi,5,3,2,
10,steven0822,5,3,2,
11,alexanderpas,7,3,4,
12,tahgtahv,7,3,4,
13,banzif,7,3,4,
14,Endershadow,7,3,4,
15,danielrab,7,3,4,
16,Nari,7,3,4,
17,agrimes,7,3,4,
18,san_skylak,7,3,4,
19,Dermenslof,7,3,4,
20,Samusbot,7,3,4,
21,The_Dark_Jumper,7,3,4,
22,UnsignedRobin,7,3,4,
23,PotatoLoRD,7,3,4,
24,hirosem,7,3,4,
25,ó ‡°,7,3,4,
26,Heistenberg99,7,3,4,
27,seconddifferential,7,3,4,
28,iota,7,3,4,
29,AbelianGrape,7,3,4,
30,hb_wales,7,3,4,
31,MegaIng,7,3,4,
32,Jay,7,3,4,
33,cringemaster420,7,3,4,
34,Carl-ified,7,3,4,
35,tali713,7,3,4,
36,altrag,7,3,4,
37,Pine,7,3,4,
38,CitrusMarmelade,7,3,4,
39,ç™ºé›»æ©Ÿå›žã—ã¦ãã‚Œ,7,3,4,
40,Itehnological,7,3,4,
41,YukiYasai,7,3,4,
42,fimasu,7,3,4,
43,Rartrin,7,3,4,
44,Awesomeness211i,7,3,4,
45,WhIrLwinD356,7,3,4,
46,RayRay26,7,3,4,
47,"IA_BOT(""MainFastSolve.rom"")",7,3,4,
48,#TSwagg,7,3,4,
49,Oshisaure,7,3,4,
50,Hyperlocke,7,3,4,
51,Zaxabock,7,3,4,
52,hungcat,7,3,4,
53,tyryi,7,3,4,
54,VaporGame,7,3,4,
55,Whisper,7,3,4,
56,SunCat,7,3,4,
57,al13n,7,3,4,
58,decesare,7,3,4,
59,i3ym,7,3,4,
60,bmerry,7,3,4,
61,[CrAzY]WC,7,3,4,
62,10usb,7,3,4,
63,Trixi,7,3,4,
64,naitchal,7,3,4,
65,Errs Anyway,7,3,4,
66,Zargony,7,3,4,
67,BierLiebHaber,7,3,4,
68,Kargaros,7,3,4,
69,moronic1,7,3,4,
70,orangesnowfox,7,3,4,
71,CodeZ,7,3,4,
72,å¥å…¨ãªã‚‹é­‚ã¯ã€ å¥å…¨ãª,7,3,4,
73,huwahuwa,7,3,4,
74,keldor,7,3,4,
75,thompsotd,7,3,4,
76,Silentsouls,7,3,4,
77,cerealandsandwiches,7,3,4,
78,PythonPlusPlus,7,3,4,
79,Arnavion,7,3,4,
80,FireStorm,7,3,4,
81,wogget,7,3,4,
82,Bealth,7,3,4,
83,[1up]oppa05,7,3,4,
84,MÃ¼hendis,7,3,4,
85,ito.ryuma-2007.07.03,7,3,4,
86,Brawndo,7,3,4,
87,gary,7,3,4,
88,Gammabyte,7,3,4,
89,Beemer,7,3,4,
90,NeuralSimulation,7,3,4,
91,Dim_ov,7,3,4,
92,Dorcas,7,3,4,
93,Hr.Novu,7,3,4,
94,SamsonTheCat81,7,3,4,
95,Skepfyr,7,3,4,
96,climb4life,7,3,4,
97,sleepprogger,7,3,4,
98,ovonlogstarn,7,3,4,
99,WicketTVCDj2,7,3,4,
100,EmmaTheGiant,7,3,4,
101,Niet,7,3,4,
102,simonsays095,7,3,4,
103,Sagoot,7,3,4,
104,The Almighty Pegasus Epsilon,7,3,4,
105,ottar.moe,7,3,4,
106,flemmingvonessen,7,3,4,
107,Fri3dNstuff,7,3,4,
108,PoustouFlan,7,3,4,
109,Legy,7,3,4,
110,slowwalker,7,3,4,
111,Alien Valkyrie,7,3,4,
112,Hesulan,7,3,4,
113,Alex,7,3,4,
114,thanis80,7,3,4,
115,MTReis86,7,3,4,
116,UltraPeeks,7,3,4,
117,almafa64,7,3,4,
118,Stuffe,7,3,4,
119,super_craft_alex,7,3,4,
120,Auto(Dada)Didact,7,3,4,
121,Jist,7,3,4,
122,Mockingbird,7,3,4,
123,RealOfficialTurf,7,3,4,
124,BakY,7,3,4,
125,crow,7,3,4,
126,schadomi,7,3,4,
127,DarthOrdo,7,3,4,
128,Seinaru Tenshi,7,3,4,
129,Metricor,7,3,4,
130,Deadly Usagi,7,3,4,
131,pleegwat,7,3,4,
132,Vincent Cardley,7,3,4,
133,botondmester,7,3,4,
134,Greg0lord,7,3,4,
135,gigglingCaduceus,7,3,4,
136,Zeltix,7,3,4,
137,m_ornj,7,3,4,
138,Segal,7,3,4,
139,Alphiries,7,3,4,
140,Dave,7,3,4,
141,SuperFluffyGame,7,3,4,
142,GinjaNinja32,7,3,4,
143,CyberCat,7,3,4,
144,ArcticCopper,7,3,4,
145,F1sh,7,3,4,
146,Alex,7,3,4,
147,Raptor-Eins-Null,7,3,4,
148,cswvna,7,3,4,
149,ErefeWinter,7,3,4,
150,El Presidente,7,3,4,
151,Gelthor,7,3,4,
152,EloTime,7,3,4,
153,SimpleGopnik,7,3,4,
154,Shim,7,3,4,
155,LukaszBro,7,3,4,
156,ZeroFarad,7,3,4,
157,vanilkovy.puding *****,7,3,4,
158,Aylvaer,7,3,4,
159,Niels,7,3,4,
160,Nikke,7,3,4,
161,Kisse Mjolk,7,3,4,
162,Kedesiklem,7,3,4,
163,Arcus,7,3,4,
164,LeeFun,7,3,4,
165,zede,7,3,4,
166,Shadow Spade,7,3,4,
167,QopyKat,7,3,4,
168,Mellohi1,7,3,4,
169,TerraSpore,7,3,4,
170,Grollgor,7,3,4,
171,Flow Arg,7,3,4,
172,Mayge,7,3,4,
173,The Moon Itself,7,3,4,
174,Zarchonia,7,3,4,
175,EndGamer,7,3,4,
176,Tuxtax,7,3,4,
177,reklrekl,7,3,4,
178,Hblymer,7,3,4,
179,RoflCopter,7,3,4,
180,Nulano,7,3,4,
181,Nick2oo2,7,3,4,
182,ParacelsusPharmD,7,3,4,
183,Tapehmwadsu,7,3,4,
