RANK,USER,TOTAL,GATE,DELAY,TICK
1,cringemaster420,21,17,4,
2,stellartux,21,17,4,
3,Endershadow,21,17,4,
4,danielrab,21,17,4,
5,*****.com.trace,21,17,4,
6,Runac,21,17,4,
7,agrimes,21,17,4,
8,Pinkii,21,17,4,
9,Nari,21,17,4,
10,san_skylak,21,17,4,
11,Dermenslof,21,17,4,
12,senshi\_01,21,17,4,
13,Esrome the Strange,21,17,4,
14,noob7,21,17,4,
15,UnsignedRobin,21,17,4,
16,4294967296,21,17,4,
17,Mortalitor,21,17,4,
18,PotatoLoRD,21,17,4,
19,hirosem,21,17,4,
20,SomeGuy,21,17,4,
21,CurryField,21,17,4,
22,ó ‡°,21,17,4,
23,120x1n,21,17,4,
24,Prenzelberger,21,17,4,
25,Samusbot,21,17,4,
26,Amega,21,17,4,
27,koryngs,21,17,4,
28,ryuponn,21,17,4,
29,Freddy,21,17,4,
30,9punkt,21,17,4,
31,Heistenberg99,21,17,4,
32,Tsukina_7mochi,21,17,4,
33,Eterm,21,17,4,
34,Bram1999999,21,17,4,
35,iota,21,17,4,
36,seconddifferential,21,17,4,
37,Peppw_,21,17,4,
38,WaYnE #ulow,21,17,4,
39,Meraque,21,17,4,
40,Agent Maine,21,17,4,
41,hb_wales,21,17,4,
42,AbelianGrape,21,17,4,
43,banzif,21,17,4,
44,MegaIng,21,17,4,
45,Jay,21,17,4,
46,ocCa Setos78,21,17,4,
47,nichtmeineschulz,21,17,4,
48,fomenta.,21,17,4,
49,Foxie_Fox,21,17,4,
50,Generalfire,21,17,4,
51,Astoron,21,17,4,
52,US Marine Hyde,21,17,4,
53,nuko274,21,17,4,
54,expendablejim,21,17,4,
55,alexanderpas,21,17,4,
56,A13xund3r,21,17,4,
57,sailerboy98,21,17,4,
58,JackFou,21,17,4,
59,rasmuse00,21,17,4,
60,Feyd,21,17,4,
61,Vivlo,21,17,4,
62,NAMEhzj,21,17,4,
63,Biscuits,21,17,4,
64,altrag,21,17,4,
65,Gamerboy166,21,17,4,
66,White_Rabbit,21,17,4,
67,mpklink,21,17,4,
68,tahgtahv,21,17,4,
69,TheZouave,21,17,4,
70,CesiumHorizon,21,17,4,
71,Internet Explorer,21,17,4,
72,Kuldrtorix,21,17,4,
73,Pine,21,17,4,
74,Pigslyer,21,17,4,
75,Belias Phyre,21,17,4,
76,Epsilon,21,17,4,
77,khoyobegenn,21,17,4,
78,Levain,21,17,4,
79,Baschdi,21,17,4,
80,Chriiiis,21,17,4,
81,Carl-ified,21,17,4,
82,CitrusMarmelade,21,17,4,
83,Birgobert,21,17,4,
84,jemand2001,21,17,4,
85,BOT Paul,21,17,4,
86,litl snek,21,17,4,
87,arild.haugstad,21,17,4,
88,ç™ºé›»æ©Ÿå›žã—ã¦ãã‚Œ,21,17,4,
89,pascal.marcou,21,17,4,
90,Quizmate,21,17,4,
91,Alex_523,21,17,4,
92,Itehnological,21,17,4,
93,Neumiindehouse,21,17,4,
94,t8_now,21,17,4,
95,MrFlibble,21,17,4,
96,Elgareth,21,17,4,
97,YukiYasai,21,17,4,
98,lewingston,21,17,4,
99,reddog,21,17,4,
100,DaDaimon,21,17,4,
101,dr.lum,21,17,4,
102,fimasu,21,17,4,
103,Goldi2204,21,17,4,
104,Dinner93,21,17,4,
105,king-crash,21,17,4,
106,mikenyannyan128,21,17,4,
107,stem,21,17,4,
108,willpoll,21,17,4,
109,Vandar501,21,17,4,
110,Philipp,21,17,4,
111,Xioc84,21,17,4,
112,Vivi,21,17,4,
113,jowler,21,17,4,
114,Moh,21,17,4,
115,Rartrin,21,17,4,
116,AWOL,21,17,4,
117,Megacrafter127,21,17,4,
118,Cpt. Bread,21,17,4,
119,robotguy189,21,17,4,
120,morybu,21,17,4,
121,hungcat,21,17,4,
122,Mallthak,21,17,4,
123,ovonlogstarn,21,17,4,
124,flederohr,21,17,4,
125,Rundy,21,17,4,
126,S,21,17,4,
127,OngaTonga,21,17,4,
128,Gl0ckflÃ¶te,21,17,4,
129,Glymph,21,17,4,
130,Solomyr,21,17,4,
131,morebeat,21,17,4,
132,WhIrLwinD356,21,17,4,
133,dorianignee,21,17,4,
134,Hackepeter,21,17,4,
135,RayRay26,21,17,4,
136,Fuecy,21,17,4,
137,levii,21,17,4,
138,Naughty Naughty,21,17,4,
139,Mash,21,17,4,
140,Fudi,21,17,4,
141,"IA_BOT(""MainFastSolve.rom"")",21,17,4,
142,AffablePanda,21,17,4,
143,Pogge,21,17,4,
144,Shaluin,21,17,4,
145,Bettelmage,21,17,4,
146,FrostbittenKL,21,17,4,
147,lembcumn,21,17,4,
148,shnoogy,21,17,4,
149,Raiden-Powerâš¡,21,17,4,
150,Hedgehog,21,17,4,
151,linnet,21,17,4,
152,geekiskhan,21,17,4,
153,pinkertona,21,17,4,
154,isaac.wass (allegedly),21,17,4,
155,strawwedberries,21,17,4,
156,edggy,21,17,4,
157,#TSwagg,21,17,4,
158,sq5researcher,21,17,4,
159,Harmonis,21,17,4,
160,Rutir,21,17,4,
161,sylt_g,21,17,4,
162,Oshisaure,21,17,4,
163,Oshikuru,21,17,4,
164,jia,21,17,4,
165,VolaSyVy,21,17,4,
166,houzw2001,21,17,4,
167,Zly,21,17,4,
168,HappyDomba,21,17,4,
169,7~mon,21,17,4,
170,JMKain,21,17,4,
171,rainyday,21,17,4,
172,Hyperlocke,21,17,4,
173,yamadayuuki0818,21,17,4,
174,PrediGER,21,17,4,
175,thebigdebowski,21,17,4,
176,DarklinkFighter,21,17,4,
177,Hui Geng Hao,21,17,4,
