RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,6,4,2,
2,G0rger,6,4,2,
3,沈逍遥(Q群746497406),6,4,2,
4,Beesman,6,4,2,
5,BlockOG,6,4,2,
6,Endershadow,8,4,4,
7,san_skylak,8,4,4,
8,Nari,8,4,4,
9,Dermenslof,8,4,4,
10,seconddifferential,8,4,4,
11,Heistenberg99,8,4,4,
12,iota,8,4,4,
13,Jay,8,4,4,
14,tali713,8,4,4,
15,danielrab,8,4,4,
16,altrag,8,4,4,
17,Pine,8,4,4,
18,Itehnological,8,4,4,
19,CitrusMarmelade,8,4,4,
20,Rartrin,8,4,4,
21,YukiYasai,8,4,4,
22,RayRay26,8,4,4,
23,WhIrLwinD356,8,4,4,
24,#TSwagg,8,4,4,
25,agrimes,8,4,4,
26,alexanderpas,8,4,4,
27,Whisper,8,4,4,
28,VaporGame,8,4,4,
29,al13n,8,4,4,
30,MegaIng,8,4,4,
31,Oshisaure,8,4,4,
32,SunCat,8,4,4,
33,Brawndo,8,4,4,
34,[CrAzY]WC,8,4,4,
35,bmerry,8,4,4,
36,decesare,8,4,4,
37,thompsotd,8,4,4,
38,Arnavion,8,4,4,
39,FireStorm,8,4,4,
40,Carl-ified,8,4,4,
41,ovonlogstarn,8,4,4,
42,sleepprogger,8,4,4,
43,WicketTVCDj2,8,4,4,
44,Fri3dNstuff,8,4,4,
45,Legy,8,4,4,
46,Jist,8,4,4,
47,RealOfficialTurf,8,4,4,
48,DarthOrdo,8,4,4,
49,pleegwat,8,4,4,
50,gigglingCaduceus,8,4,4,
51,m_ornj,8,4,4,
52,GinjaNinja32,8,4,4,
53,BakY,8,4,4,
54,Raptor-Eins-Null,8,4,4,
55,Gelthor,8,4,4,
56,Yang,8,4,4,
57,Alex,8,4,4,
58,Kisse Mjolk,8,4,4,
59,Arcus,8,4,4,
60,Mayge,8,4,4,
61,The Moon Itself,8,4,4,
62,Zarchonia,8,4,4,
63,Moonj64,8,4,4,
64,Nick2oo2,8,4,4,
65,Nulano,8,4,4,
66,Wylentar,8,4,4,
67,Pannoni,8,4,4,
68,Txoka,8,4,4,
69,zuev93,8,4,4,
70,McModknower,8,4,4,
71,Yanni128,8,4,4,
72,almafa64,8,4,4,
73,HowToCantaloupe,8,4,4,
74,gaudi.tiba,8,4,4,
75,Strubbelkopp,8,4,4,
76,letitia.tiba,8,4,4,
77,OneOfTheChips,8,4,4,
78,EPRORA,8,4,4,
79,kiseru,8,4,4,
80,yut23,8,4,4,
81,erinsc,8,4,4,
82,GasInfinity,8,4,4,
83,NO_NAME,8,4,4,
84,PhiliPdB,8,4,4,
85,schadocalex,8,4,4,
86,Khorne Sanguine,8,4,4,
87,guy-732,8,4,4,
88,Bllum,8,4,4,
89,BekfastStealer,8,4,4,
90,Krang,8,4,4,
91,Pakanaateisti,8,4,4,
92,NicolaeHC,8,4,4,
93,reklrekl,8,4,4,
94,Yosh,8,4,4,
95,mootmoot,8,4,4,
96,mhkw,8,4,4,
97,xborg0,8,4,4,
98,Chrisfox,8,4,4,
99,bearb,8,4,4,
100,ネット・イメージ,8,4,4,
101,梦想,8,4,4,
102,Thism2,8,4,4,
103,Supersonic Pixel Junkie,8,4,4,
104,egerke,8,4,4,
105,Evyde,8,4,4,
106,鸡米花的花语是喷射,8,4,4,
107,Alexander,8,4,4,
108,FoxSlyme,8,4,4,
109,Moai\_mania,8,4,4,
110,tooro,8,4,4,
111,Schakal,8,4,4,
112,zousandazou,8,4,4,
113,1547938354,8,4,4,
114,Mr Pebble,8,4,4,
115,dragmine149,8,4,4,
116,Volatility,8,4,4,
117,c\_user,8,4,4,
118,Zarsatha,8,4,4,
119,tobotrieb,8,4,4,
120,PotatoInTheBox,8,4,4,
121,chloe,8,4,4,
122,politicalcat,8,4,4,
123,simonsays095,8,4,4,
124,Quent,8,4,4,
125,danie59823,8,4,4,
126,Weesplat,8,4,4,
127,Wanglemink Fannycourt,8,4,4,
128,Namseeb,8,4,4,
129,SchieDrauf,8,4,4,
130,AJ,8,4,4,
131,botondmester,8,4,4,
132,ButterSus,8,4,4,
133,Soso,8,4,4,
134,kubanvip,8,4,4,
135,taio,8,4,4,
136,2006gael,8,4,4,
137,Havenvik,8,4,4,
138,tietoitu,8,4,4,
139,Diggsey,8,4,4,
140,worstedmoon8,8,4,4,
141,Artsy E.,8,4,4,
142,loganhodgson,8,4,4,
143,Välling,8,4,4,
144,StarStuff,8,4,4,
145,DestinyHailstorm,8,4,4,
146,martin,8,4,4,
147,MicroBuilder,8,4,4,
148,Celforyon,8,4,4,
149,Space Monkey,8,4,4,
150,GusPwouet,8,4,4,
151,Ardour,8,4,4,
152,Nefarious Zhen,8,4,4,
153,autumn876,8,4,4,
154,white woman gaming,8,4,4,
155,StarDuster,8,4,4,
156,sadovnikovss,8,4,4,
157,Electrostats,8,4,4,
158,Fungi,8,4,4,
159,Jolly Fisher [Mode: Casual],8,4,4,
160,GiB,8,4,4,
161,Murzahg,8,4,4,
162,grkt125,8,4,4,
163,Yunfeng,8,4,4,
164,sammyhawk,8,4,4,
165,hannah,8,4,4,
166,petermax,8,4,4,
167,Martin,8,4,4,
168,Cygwin231,8,4,4,
169,ranger\_e\_p,8,4,4,
170,toke,8,4,4,
171,srjek,8,4,4,
172,kzotn,8,4,4,
173,MrFixxiT,8,4,4,
174,LanzaJ,8,4,4,
175,Soul,8,4,4,
176,tctianchi,8,4,4,
177,maedas,8,4,4,
178,SubCine,8,4,4,
179,kkumie,8,4,4,
180,Jasper1749,8,4,4,
181,没有用,8,4,4,
182,Sovde,8,4,4,
183,柴,8,4,4,
184,DevilVsLife,8,4,4,
185,skyhgzsh,8,4,4,
186,pichutarius,8,4,4,
187,moccam,8,4,4,
188,Braxbro,8,4,4,
189,HURGMCGURG,8,4,4,
190,kmcguffi,8,4,4,
191,Imperial Kishin,8,4,4,
192,Jao,8,4,4,
193,JSXDH,8,4,4,
194,崂山小妖怪,8,4,4,
195,4xel,8,4,4,
196,1Kick234,8,4,4,
197,wangperiagoge,8,4,4,
198,UwU,8,4,4,
199,Egginator,8,4,4,
200,ABIGplayer,8,4,4,
201,Arok,8,4,4,
202,macho,8,4,4,
203,Oreo,8,4,4,
204,通古斯的野猪皮fyd,8,4,4,
205,LeonidR,8,4,4,
206,IM&SD,8,4,4,
207,Carlo,8,4,4,
208,zagadka M,8,4,4,
209,Zhooka,8,4,4,
210,カエル軍団,8,4,4,
211,Stabhole,8,4,4,
212,鸽子,8,4,4,
213,rinzu,8,4,4,
214,Random\_Magus,8,4,4,
215,O2,8,4,4,
216,Ryan,8,4,4,
217,joachim,8,4,4,
218,ó ‡°,9,5,4,
219,banzif,9,5,4,
220,hungcat,9,5,4,
221,flemmingvonessen,9,5,4,
222,El Presidente,9,5,4,
223,orangesnowfox,9,5,4,
224,CodeZ,9,5,4,
225,BierLiebHaber,9,5,4,
226,Sagoot,9,5,4,
227,RedzGone,9,5,4,
228,cmdr,9,5,4,
229,arukehashire,9,5,4,
230,Alex,9,5,4,
231,Derpius,9,5,4,
232,datGuy,9,5,4,
233,PinkyWinky,9,5,4,
234,Seinaru Tenshi,9,5,4,
235,YurBurGer,9,5,4,
236,cswvna,9,5,4,
