RANK,USER,TOTAL,GATE,DELAY,TICK
1,Beesman,150,140,10,
2,Namseeb,153,141,12,
3,danielrab,156,148,8,
62,Moonj64,157,149,8,
67,ovonlogstarn,158,148,10,
135,FireStorm,159,149,10,
151,tali713,160,150,10,
302,asafonnikov,162,152,10,
312,Shaori Fell,162,150,12,
316,Itehnological,164,152,12,
320,Auto(Dada)Didact,164,154,10,
342,hb_wales,165,153,12,
373,NAMEhzj,166,154,12,
717,18211153991,166,152,14,
836,Pr0st,167,155,12,
839,RedefiningFail,167,153,14,
843,khoyobegenn,168,156,12,
874,Glovemage,168,154,14,
891,Espinin,169,155,14,
895,Hyperlocke,170,158,12,
902,debooster,170,156,14,
996,Tanis,171,157,14,
997,Martin,171,159,12,
