RANK,USER,TOTAL,GATE,DELAY,TICK
1,Beesman,150,140,10,
2,Namseeb,153,141,12,
3,danielrab,156,148,8,
4,Nari,156,148,8,
5,Dermenslof,156,148,8,
6,banzif,156,148,8,
7,tahgtahv,156,148,8,
8,altrag,156,148,8,
9,CitrusMarmelade,156,148,8,
10,Heistenberg99,156,148,8,
11,al13n,156,148,8,
12,SunCat,156,148,8,
13,bmerry,156,148,8,
14,Rartrin,156,148,8,
15,MegaIng,156,148,8,
16,naitchal,156,148,8,
17,YukiYasai,156,148,8,
18,thompsotd,156,148,8,
19,Errs Anyway,156,148,8,
20,Arnavion,156,148,8,
21,overcomplexification,156,148,8,
22,Whisper,156,148,8,
23,san_skylak,156,148,8,
24,iota,156,148,8,
25,almafa64,156,148,8,
26,Mockingbird,156,148,8,
27,DarthOrdo,156,148,8,
28,GinjaNinja32,156,148,8,
29,Gelthor,156,148,8,
30,Kedesiklem,156,148,8,
31,Mayge,156,148,8,
32,Nick2oo2,156,148,8,
33,Nulano,156,148,8,
34,zuev93,156,148,8,
35,HowToCantaloupe,156,148,8,
36,EPRORA,156,148,8,
37,kiseru,156,148,8,
38,yut23,156,148,8,
39,Spivee,156,148,8,
40,G0rger,156,148,8,
41,沈逍遥(Q群746497406),156,148,8,
42,梦想,156,148,8,
43,FoxSlyme,156,148,8,
44,1547938354,156,148,8,
45,Mr Pebble,156,148,8,
46,c\_user,156,148,8,
47,Wanglemink Fannycourt,156,148,8,
48,AJ,156,148,8,
49,babycakesmittens,156,148,8,
50,Diggsey,156,148,8,
51,BlockOG,156,148,8,
52,sammyhawk,156,148,8,
53,hannah,156,148,8,
54,toke,156,148,8,
55,kzotn,156,148,8,
56,LanzaJ,156,148,8,
57,ranger\_e\_p,156,148,8,
58,Sovde,156,148,8,
59,DevilVsLife,156,148,8,
60,Oreo,156,148,8,
61,カエル軍団,156,148,8,
62,Moonj64,157,149,8,
63,Pannoni,157,149,8,
64,Zaxabock,157,149,8,
65,chloe,157,149,8,
66,petermax,157,149,8,
67,ovonlogstarn,158,148,10,
68,WhIrLwinD356,158,148,10,
69,VaporGame,158,148,10,
70,[CrAzY]WC,158,148,10,
71,decesare,158,148,10,
72,Carl-ified,158,148,10,
73,Brawndo,158,148,10,
74,sleepprogger,158,148,10,
75,Fri3dNstuff,158,148,10,
76,Legy,158,148,10,
77,Endershadow,158,148,10,
78,Jay,158,148,10,
79,botondmester,158,148,10,
80,m_ornj,158,148,10,
81,agrimes,158,148,10,
82,CyberCat,158,148,10,
83,Alex,158,148,10,
84,Kisse Mjolk,158,148,10,
85,Zarchonia,158,148,10,
86,reklrekl,158,148,10,
87,Txoka,158,148,10,
88,Yanni128,158,148,10,
89,OneOfTheChips,158,148,10,
90,NO_NAME,158,148,10,
91,Khorne Sanguine,158,148,10,
92,Bllum,158,148,10,
93,Krang,158,148,10,
94,Chrisfox,158,148,10,
95,NicolaeHC,158,148,10,
96,mhkw,158,148,10,
97,Thism2,158,148,10,
98,Wish,158,148,10,
99,dragmine149,158,148,10,
100,Xilu,158,148,10,
101,Volatility,158,148,10,
102,Zarsatha,158,148,10,
103,Murwen,158,148,10,
104,ButterSus,158,148,10,
105,Soso,158,148,10,
106,taio,158,148,10,
107,Havenvik,158,148,10,
108,worstedmoon8,158,148,10,
109,Välling,158,148,10,
110,martin,158,148,10,
111,MicroBuilder,158,148,10,
112,white woman gaming,158,148,10,
113,grkt125,158,148,10,
114,Martin,158,148,10,
115,Yunfeng,158,148,10,
116,482.36,158,148,10,
117,Soul,158,148,10,
118,\_4Z\_,158,148,10,
119,SubCine,158,148,10,
120,hzxsncz,158,148,10,
121,没有用,158,148,10,
122,pichutarius,158,148,10,
123,Braxbro,158,148,10,
124,HURGMCGURG,158,148,10,
125,kmcguffi,158,148,10,
126,崂山小妖怪,158,148,10,
127,ABIGplayer,158,148,10,
128,VeliTomaatti,158,148,10,
129,macho,158,148,10,
130,457745149,158,148,10,
131,Stabhole,158,148,10,
132,Random\_Magus,158,148,10,
133,O2,158,148,10,
134,hengnix,158,148,10,
135,FireStorm,159,149,10,
136,Sagoot,159,149,10,
137,alexanderpas,159,149,10,
138,cswvna,159,149,10,
139,orangesnowfox,159,149,10,
140,Egoist,159,149,10,
141,mm,159,149,10,
142,Zaratul9,159,149,10,
143,tobotrieb,159,149,10,
144,SchieDrauf,159,149,10,
145,Connor Kenway,159,149,10,
146,xSwan,159,149,10,
147,toms11235,159,149,10,
148,ramuDotZip,159,149,10,
149,white-gandalf,159,149,10,
150,四维汉堡包,159,149,10,
151,tali713,160,150,10,
152,tyryi,160,150,10,
153,10usb,160,150,10,
154,Awesomeness211i,160,150,10,
155,cerealandsandwiches,160,150,10,
156,PythonPlusPlus,160,150,10,
157,Trixi,160,150,10,
158,Blockinator,160,150,10,
159,MrGeoTech,160,150,10,
160,Kargaros,160,150,10,
161,climb4life,160,150,10,
162,electrodon99,160,150,10,
163,EmmaTheGiant,160,150,10,
164,felixpreu,160,150,10,
165,RayRay26,160,150,10,
166,The Almighty Pegasus Epsilon,160,150,10,
167,nicholas.sommer,160,150,10,
168,JereTheJuggler,160,150,10,
169,UnsignedRobin,160,150,10,
170,Oreo_Fritzey,160,150,10,
171,Metricor,160,150,10,
172,Segal,160,150,10,
173,Raptor-Eins-Null,160,150,10,
174,iwikal,160,150,10,
175,ZeroFarad,160,150,10,
176,Arcus,160,150,10,
177,SamsonTheCat81,160,150,10,
178,ninjabob0,160,150,10,
179,hlynurj,160,150,10,
180,Wylentar,160,150,10,
181,MJE10,160,150,10,
182,micha_i,160,150,10,
183,ProtiJay,160,150,10,
184,Eutian,160,150,10,
185,Zeltix,160,150,10,
186,DemiurgE,160,150,10,
187,PotatoLoRD,160,150,10,
188,scrapninja,160,150,10,
189,ryani,160,150,10,
190,Strubbelkopp,160,150,10,
191,LPKoyara,160,150,10,
192,joflo,160,150,10,
193,dratini0,160,150,10,
194,erinsc,160,150,10,
195,Hinara,160,150,10,
196,Gâvur,160,150,10,
197,manuelmarques_pt,160,150,10,
198,seconddifferential,160,150,10,
199,(2^5)*41,160,150,10,
200,roowco,160,150,10,
201,leemez,160,150,10,
202,ben.miller,160,150,10,
203,BekfastStealer,160,150,10,
204,まか,160,150,10,
205,mrangryface0876,160,150,10,
206,zamadatix,160,150,10,
207,Pale Ale Cat,160,150,10,
208,Mystereo,160,150,10,
209,MGArz,160,150,10,
210,ShiftySnowWolf,160,150,10,
211,mynameisjeff31052,160,150,10,
212,Chuck,160,150,10,
213,Moriibund,160,150,10,
214,Pine,160,150,10,
215,OnlyW,160,150,10,
216,Alter,160,150,10,
217,Carzum,160,150,10,
218,Piotr Batko,160,150,10,
219,Eureka,160,150,10,
220,V A P E Jr.,160,150,10,
221,Yorugo,160,150,10,
222,Don't,160,150,10,
223,ax\_pokl,160,150,10,
224,Regnm0ln1,160,150,10,
225,Jumpy Rat,160,150,10,
226,*****,160,150,10,
227,Tanner07,160,150,10,
228,ebdbeb,160,150,10,
229,2700221814,160,150,10,
230,FROAG,160,150,10,
231,Apanson,160,150,10,
232,Nevyk,160,150,10,
233,MasterJason9637,160,150,10,
234,sewbacca,160,150,10,
235,xris,160,150,10,
236,Zenoxide,160,150,10,
237,Quent,160,150,10,
238,kasuminoshi,160,150,10,
239,apin4l,160,150,10,
240,450250317,160,150,10,
241,JohnnyBrambori,160,150,10,
242,zoickx,160,150,10,
243,BendingCaesar0,160,150,10,
244,astralaquaria,160,150,10,
245,nex.h,160,150,10,
246,Tomnar,160,150,10,
247,Marqho,160,150,10,
248,SecurityCheeseHostage,160,150,10,
249,JakeVH,160,150,10,
250,Celforyon,160,150,10,
251,system1016,160,150,10,
252,Space Monkey,160,150,10,
253,Nefarious Zhen,160,150,10,
254,Glen Runciter,160,150,10,
255,DarthSack,160,150,10,
256,BeaVer,160,150,10,
257,Mascote DDOS,160,150,10,
258,DoremySwee,160,150,10,
259,Swan,160,150,10,
260,blackthorn,160,150,10,
261,comrad\_stalin,160,150,10,
262,MetallicEye,160,150,10,
263,Cygwin231,160,150,10,
264,余厌✨,160,150,10,
265,Ericloewe,160,150,10,
266,iDesolate,160,150,10,
267,The\_Prime,160,150,10,
268,sivoh1,160,150,10,
269,Thaui,160,150,10,
270,Menumorutul,160,150,10,
271,L.ptt,160,150,10,
272,cramdark,160,150,10,
273,Robthehood,160,150,10,
274,Leek Amadeus,160,150,10,
275,ุุุุุุุุ,160,150,10,
276,AppleManzana,160,150,10,
277,落影岑觞,160,150,10,
278,Levko,160,150,10,
279,凶猫不太凶,160,150,10,
280,S0/\/0faM0therD|_|c|,160,150,10,
281,wangperiagoge,160,150,10,
282,guru\_meditation\_05,160,150,10,
283,GodlyNoodle,160,150,10,
284,Tarzy,160,150,10,
285,Zincfox,160,150,10,
286,オタク君,160,150,10,
287,Mario1884,160,150,10,
288,SMQ,160,150,10,
289,JahU,160,150,10,
290,ShannonSHANG,160,150,10,
291,ServedDinner,160,150,10,
292,xiehaitao1202,160,150,10,
293,thomas,160,150,10,
294,Raviloli,160,150,10,
