RANK,USER,TOTAL,GATE,DELAY,TICK
1,G0rger,58,52,6,
3,seconddifferential,59,53,6,
72,Nari,65,57,8,
115,Dermenslof,66,58,8,
192,agrimes,67,57,10,
204,sleepprogger,68,60,8,
205,prdwong,68,58,10,
213,tscomf,69,61,8,
214,greyfade,69,59,10,
233,tali713,70,58,12,
310,pawkw,70,60,10,
374,Cycle_io,71,61,10,
377,34279072,71,59,12,
382,Epsilon,72,62,10,
383,MadWookiee,72,60,12,
393,a.shapiro.shapiro,73,61,12,
397,NoPlayer,73,63,10,
430,Matschach,73,65,8,
448,Legy,74,68,6,
449,Crash Dynamite,74,62,12,
451,Ehrennehmer Jimmy [ABU-AL-05],74,64,10,
452,DAShoe,74,66,8,
501,CodeZ,75,69,6,
502,Enkidu,75,63,12,
504,pleegwat,75,65,10,
564,senshi\_01,76,70,6,
705,Huggz,76,66,10,
727,Gigamonster,76,64,12,
857,mkooiman,76,60,16,
