RANK,USER,TOTAL,GATE,DELAY,TICK
1,G0rger,58,52,6,
2,Xilu,58,52,6,
3,seconddifferential,59,53,6,
4,Endershadow,59,53,6,
5,UnsignedRobin,59,53,6,
6,alexanderpas,59,53,6,
7,danielrab,59,53,6,
8,altrag,59,53,6,
9,YukiYasai,59,53,6,
10,MegaIng,59,53,6,
11,SunCat,59,53,6,
12,Brawndo,59,53,6,
13,[CrAzY]WC,59,53,6,
14,bmerry,59,53,6,
15,thompsotd,59,53,6,
16,Arnavion,59,53,6,
17,Carl-ified,59,53,6,
18,overcomplexification,59,53,6,
19,simonsays095,59,53,6,
20,GinjaNinja32,59,53,6,
21,Gelthor,59,53,6,
22,Zarchonia,59,53,6,
23,Nick2oo2,59,53,6,
24,Mayge,59,53,6,
25,OneOfTheChips,59,53,6,
26,EPRORA,59,53,6,
27,kiseru,59,53,6,
28,yut23,59,53,6,
29,erinsc,59,53,6,
30,HowToCantaloupe,59,53,6,
31,schadocalex,59,53,6,
32,alfabit,59,53,6,
33,梦想,59,53,6,
34,沈逍遥(Q群746497406),59,53,6,
35,egerke,59,53,6,
36,FoxSlyme,59,53,6,
37,Beesman,59,53,6,
38,tooro,59,53,6,
39,Mr Pebble,59,53,6,
40,1547938354,59,53,6,
41,Volatility,59,53,6,
42,c\_user,59,53,6,
43,Zarsatha,59,53,6,
44,Quent,59,53,6,
45,Weesplat,59,53,6,
46,Wanglemink Fannycourt,59,53,6,
47,Namseeb,59,53,6,
48,AJ,59,53,6,
49,Soso,59,53,6,
50,babycakesmittens,59,53,6,
51,Diggsey,59,53,6,
52,worstedmoon8,59,53,6,
53,BlockOG,59,53,6,
54,StarDuster,59,53,6,
55,Fungi,59,53,6,
56,Yunfeng,59,53,6,
57,sammyhawk,59,53,6,
58,hannah,59,53,6,
59,toke,59,53,6,
60,ranger\_e\_p,59,53,6,
61,kzotn,59,53,6,
62,tctianchi,59,53,6,
63,Sovde,59,53,6,
64,柴,59,53,6,
65,Braxbro,59,53,6,
66,kmcguffi,59,53,6,
67,4xel,59,53,6,
68,wangperiagoge,59,53,6,
69,UwU,59,53,6,
70,Arok,59,53,6,
71,Oreo,59,53,6,
72,Nari,65,57,8,
73,iota,65,57,8,
74,Jay,65,57,8,
75,cringemaster420,65,57,8,
76,Pine,65,57,8,
77,Rartrin,65,57,8,
78,Heistenberg99,65,57,8,
79,RayRay26,65,57,8,
80,WhIrLwinD356,65,57,8,
81,VaporGame,65,57,8,
82,al13n,65,57,8,
83,orangesnowfox,65,57,8,
84,Auto(Dada)Didact,65,57,8,
85,RealOfficialTurf,65,57,8,
86,m_ornj,65,57,8,
87,ZeroFarad,65,57,8,
88,Kisse Mjolk,65,57,8,
89,Kedesiklem,65,57,8,
90,Nulano,65,57,8,
91,Moonj64,65,57,8,
92,Pannoni,65,57,8,
93,micha_i,65,57,8,
94,almafa64,65,57,8,
95,Khorne Sanguine,65,57,8,
96,Spivee,65,57,8,
97,ScorpionGreen,65,57,8,
98,garr890354839,65,57,8,
99,Krang,65,57,8,
100,reklrekl,65,57,8,
101,mhkw,65,57,8,
102,Boomshroom,65,57,8,
103,Thism2,65,57,8,
104,Steved,65,57,8,
105,ButterSus,65,57,8,
106,Havenvik,65,57,8,
107,Välling,65,57,8,
108,martin,65,57,8,
109,MicroBuilder,65,57,8,
110,Nefarious Zhen,65,57,8,
111,Jolly Fisher [Mode: Casual],65,57,8,
112,grkt125,65,57,8,
113,petermax,65,57,8,
114,pichutarius,65,57,8,
115,Dermenslof,66,58,8,
116,san_skylak,66,58,8,
117,CitrusMarmelade,66,58,8,
118,pinkertona,66,58,8,
119,Itehnological,66,58,8,
120,PythonPlusPlus,66,58,8,
121,Oralapostel,66,58,8,
122,Dminik,66,58,8,
123,MTReis86,66,58,8,
124,DarthOrdo,66,58,8,
125,Metricor,66,58,8,
126,Vincent Cardley,66,58,8,
127,Segal,66,58,8,
128,iwikal,66,58,8,
129,yayo256,66,58,8,
130,Alex,66,58,8,
131,SamsonTheCat81,66,58,8,
132,zoomah,66,58,8,
133,zuev93,66,58,8,
134,McModknower,66,58,8,
135,thePalindrome,66,58,8,
136,LPKoyara,66,58,8,
137,NashBlaster,66,58,8,
138,yuukimasir0,66,58,8,
139,Bronze,66,58,8,
140,Kemis,66,58,8,
141,jamatt0443,66,58,8,
142,gbuathier,66,58,8,
143,mootmoot,66,58,8,
144,sneaky.ruds,66,58,8,
145,Wish,66,58,8,
146,★,66,58,8,
147,Qubic,66,58,8,
148,*****,66,58,8,
149,Pathetic One,66,58,8,
150,Sodalite,66,58,8,
151,8udugjoy,66,58,8,
152,MasterJason9637,66,58,8,
153,SharpSee,66,58,8,
154,MaurolepisDreki,66,58,8,
155,WooHooSenapi,66,58,8,
156,pahlke,66,58,8,
157,Tomnar,66,58,8,
158,Aart Bluestoke,66,58,8,
159,DeathDoge0,66,58,8,
160,theduck,66,58,8,
161,cool110,66,58,8,
162,General,66,58,8,
163,Kelhoon,66,58,8,
164,Kertox662,66,58,8,
165,ardeej,66,58,8,
166,Ryan,66,58,8,
167,Fififionek,66,58,8,
168,Swan,66,58,8,
169,Martin,66,58,8,
170,SnowII,66,58,8,
171,Dunc,66,58,8,
172,MrFixxiT,66,58,8,
173,天境回廊,66,58,8,
174,hau.si,66,58,8,
175,달래,66,58,8,
176,PatitoPatozo,66,58,8,
177,HURGMCGURG,66,58,8,
178,Gemgames,66,58,8,
179,yunyi2525,66,58,8,
180,Shroush,66,58,8,
181,white-gandalf,66,58,8,
182,Miczu,66,58,8,
183,NNN1590,66,58,8,
184,D,66,58,8,
185,Dolg,66,58,8,
186,rinzu,66,58,8,
187,bill.ruddock,66,58,8,
188,Random\_Magus,66,58,8,
189,O2,66,58,8,
190,pekoniimutteri,66,58,8,
191,mst\_type-zero,66,58,8,
192,agrimes,67,57,10,
193,decesare,67,57,10,
194,thanis80,67,57,10,
195,Wylentar,67,57,10,
196,Yanni128,67,57,10,
197,Teun2408,67,57,10,
198,Connor Kenway,67,57,10,
199,Nottingphile,67,57,10,
200,GusPwouet,67,57,10,
201,Reyquiem,67,57,10,
202,1Kick234,67,57,10,
203,Sticke,67,57,10,
204,sleepprogger,68,60,8,
205,prdwong,68,58,10,
206,Juke,68,58,10,
207,loyikting,68,58,10,
208,iRaS 4 fun,68,58,10,
209,DNAString,68,58,10,
210,RedsPower,68,58,10,
211,Dronezilla,68,60,8,
212,Stabhole,68,60,8,
213,tscomf,69,61,8,
214,greyfade,69,59,10,
215,Cherry Soup,69,61,8,
216,stev7901,69,61,8,
217,neighborhoodalchemist,69,61,8,
218,Isglassen,69,61,8,
219,MrRoyalSpade,69,61,8,
220,Carry out,69,61,8,
221,Godking,69,61,8,
222,yunalesqua,69,61,8,
223,delic,69,61,8,
224,Jayfrow,69,61,8,
225,firster,69,61,8,
226,SubCine,69,61,8,
227,Redstonerblast,69,61,8,
228,Schatten2020,69,59,10,
229,Geoff,69,61,8,
230,queuehuo,69,59,10,
231,gerritvanroekel,69,61,8,
232,smartmodulo,69,61,8,
233,tali713,70,58,12,
234,Pigslyer,70,58,12,
235,hungcat,70,58,12,
236,MarkGamed7794,70,58,12,
237,tyryi,70,58,12,
238,Oshisaure,70,58,12,
239,condor2048,70,58,12,
240,XenonBox,70,58,12,
241,Zoeypi314,70,58,12,
242,Arctic,70,58,12,
243,HImcdonough,70,58,12,
244,FireStorm,70,58,12,
245,DqwertyC,70,58,12,
246,AiK,70,58,12,
247,caeasarus,70,58,12,
248,Hypatia R,70,58,12,
249,Naranjo,70,58,12,
250,Orio,70,58,12,
251,arild.haugstad,70,58,12,
252,Sagoot,70,58,12,
253,Emyiss,70,58,12,
254,Offertoire,70,58,12,
255,Impulsvektor,70,58,12,
256,Dottn,70,58,12,
257,alcarithemad,70,58,12,
258,Dragor,70,58,12,
259,4hm4d,70,58,12,
260,Mr. Applejuice,70,58,12,
261,kael362,70,58,12,
262,madlep,70,58,12,
263,CreSerty,70,58,12,
264,RamboBones,70,58,12,
265,Onyx!,70,58,12,
266,avery307,70,58,12,
267,himatchi,70,58,12,
268,rhlee1121,70,58,12,
269,Dave,70,58,12,
270,Ender,70,58,12,
271,Raptor-Eins-Null,70,58,12,
272,CrimsonClover,70,58,12,
273,TeamDoodz,70,58,12,
274,Mike,70,58,12,
275,Anariston,70,58,12,
276,vanilkovy.puding *****,70,58,12,
277,Tyren,70,58,12,
278,GDwales211,70,58,12,
279,zede,70,58,12,
280,Seubmarine,70,58,12,
281,NesiAvali,70,58,12,
282,nerdlord,70,58,12,
283,Cowabunghole,70,58,12,
284,trimute2,70,58,12,
285,DemiurgE,70,58,12,
286,Quickeye,70,58,12,
287,mattrichnzl,70,58,12,
288,Sami2EaCOS,70,58,12,
289,Kalin Magus,70,58,12,
290,JonasS,70,58,12,
291,Hinara,70,58,12,
292,(2^5)*41,70,58,12,
293,S.A. Inc.,70,58,12,
294,Pakanaateisti,70,58,12,
295,Eringi\_Shimeji,70,58,12,
296,Mattintosh,70,58,12,
297,Lusting_Asmodeus,70,58,12,
298,anthladd44,70,58,12,
299,ghaiklor,70,58,12,
300,BobLikePython,70,58,12,
301,PepsiMax,70,58,12,
302,Nouser757,70,58,12,
303,1470270765,70,58,12,
304,萌系小妹纸わ,70,58,12,
305,Shadow Spade,70,58,12,
306,RoterBaron01,70,58,12,
307,Slicc._.cc03,70,58,12,
308,Bilin,70,58,12,
309,zdhallock,70,58,12,
310,pawkw,70,60,10,
311,后来的事情你都知道了,70,60,10,
312,dalpus,70,58,12,
313,AfteRain,70,58,12,
314,_truemastermine_,70,58,12,
315,LUOXUE,70,58,12,
316,DUD_LITE,70,58,12,
317,Mr. Cheddar Cheese,70,58,12,
318,ppz,70,58,12,
319,adee,70,60,10,
320,tookieboy03,70,58,12,
321,Firedwaffles,70,58,12,
322,Mizar,70,58,12,
323,paul\_2398,70,58,12,
324,i.am,70,58,12,
325,Kepler-51d,70,58,12,
326,TheDrunkMonkShow,70,58,12,
327,Sees,70,58,12,
328,Vanilla Gorilla,70,58,12,
329,FuriousFingers,70,58,12,
330,Codegen42,70,58,12,
331,Ajadaz,70,58,12,
332,Oouja,70,58,12,
333,GlitchyGreen21,70,58,12,
334,monorail,70,58,12,
335,Murzahg,70,58,12,
336,M4thG33k,70,58,12,
337,Mogwump,70,58,12,
338,Odin,70,58,12,
339,awilliamboyer,70,58,12,
340,Diocletian,70,58,12,
341,Technomunk,70,58,12,
342,[CNH]Wmdht,70,58,12,
343,Mr.YellowFish,70,58,12,
344,ramuDotZip,70,58,12,
345,Tobi,70,58,12,
346,TJT01,70,58,12,
347,t̴h̷e̴ ̸l̴o̵s̸t̶ ̸o̷ne,70,58,12,
348,piroot7,70,58,12,
349,tomson78,70,58,12,
350,dtphith,70,58,12,
351,ReluctantKing,70,58,12,
352,抱走萝莉,70,58,12,
353,不朽的蚊子,70,58,12,
354,evee冥,70,58,12,
355,1622602218,70,58,12,
356,soldier69420,70,58,12,
357,Shadow\_Fury,70,58,12,
358,青山ブルーマウンテン,70,58,12,
359,coderbill,70,58,12,
360,LeonidR,70,58,12,
361,chaolu,70,58,12,
362,carsten.schridde,70,58,12,
363,WingWing,70,58,12,
364,BallisticWolf1,70,58,12,
365,shironatakizaki,70,58,12,
366,Dysprosium,70,58,12,
367,qq11123334,70,58,12,
368,AmateurMUL,70,58,12,
369,yuf,70,58,12,
370,Tamut31,70,58,12,
371,tampibuisson,70,58,12,
372,scvhoon,70,58,12,
373,IcheChang,70,58,12,
374,Cycle_io,71,61,10,
375,Salty_Sea,71,61,10,
376,freybrl,71,61,10,
377,34279072,71,59,12,
378,alexbay218,71,61,10,
379,Hyngvi,71,61,10,
380,卸磨的驴,71,59,12,
381,Mushroom Panda,71,61,10,
382,Epsilon,72,62,10,
383,MadWookiee,72,60,12,
384,scroph,72,62,10,
385,"Alt   F""Fio""",72,62,10,
386,Oxy,72,62,10,
387,\_The\_Mastermind\_,72,62,10,
388,Steado,72,62,10,
389,Greebo,72,62,10,
390,Rhor,72,62,10,
391,Soulful TNT Man,72,62,10,
392,txc,72,62,10,
393,a.shapiro.shapiro,73,61,12,
394,Polle,73,61,12,
395,Dave2626,73,61,12,
396,Demolitron,73,61,12,
397,NoPlayer,73,63,10,
398,MoronMan,73,61,12,
399,ETG,73,61,12,
400,HervÃ©,73,61,12,
401,MetaMarty,73,63,10,
402,mischka88,73,61,12,
403,Atlas,73,61,12,
404,wolfbear,73,61,12,
405,Idix,73,61,12,
406,Lyssaodr,73,61,12,
407,sfabien,73,61,12,
408,T22,73,61,12,
409,Funwayguy,73,61,12,
410,lor_louis,73,61,12,
411,Photography Raptor,73,61,12,
412,贝尔赛布布,73,61,12,
413,aripot007,73,61,12,
414,Stelfish,73,61,12,
415,Pnick0509,73,61,12,
416,Carl0011,73,61,12,
417,1759724193,73,61,12,
418,Exxcelius,73,61,12,
419,scncgz,73,61,12,
420,1227325752,73,63,10,
421,Invane,73,63,10,
422,theAmazingJunkman,73,61,12,
423,ocdammo,73,61,12,
424,th8678,73,61,12,
425,Aphadion,73,61,12,
426,herasae25,73,61,12,
427,Alaann,73,61,12,
428,xfacthd,73,61,12,
429,yasi.e72,73,63,10,
430,Matschach,73,65,8,
431,Kaden,73,63,10,
432,Chills,73,61,12,
433,Froster\_,73,61,12,
434,kkumie,73,61,12,
435,F=xk,73,61,12,
436,BZM | N!tzsche,73,61,12,
437,Peaky,73,61,12,
438,jukocommon,73,63,10,
439,Caselaykilo,73,61,12,
440,Shambles,73,63,10,
441,Sasquatch,73,61,12,
442,Xon,73,63,10,
443,czn,73,63,10,
444,NeNeit,73,61,12,
445,PolymorphiK,73,61,12,
446,LiOn,73,61,12,
447,morian\_gates,73,61,12,
448,Legy,74,68,6,
449,Crash Dynamite,74,62,12,
450,jontra,74,62,12,
451,Ehrennehmer Jimmy [ABU-AL-05],74,64,10,
452,DAShoe,74,66,8,
453,JuniperFox,74,62,12,
454,m40,74,62,12,
455,Arcus,74,68,6,
456,Lightning35,74,62,12,
457,OwenTheOddie,74,62,12,
458,The Moon Itself,74,68,6,
459,Strubbelkopp,74,68,6,
460,jmjonathanmcmanus,74,62,12,
461,knknknkn,74,62,12,
462,Chrisfox,74,68,6,
463,NicolaeHC,74,68,6,
464,Sir Rhynus,74,62,12,
465,bearb,74,68,6,
466,鸡米花的花语是喷射,74,68,6,
467,Moai\_mania,74,68,6,
468,SeppahBaws,74,66,8,
469,tobotrieb,74,68,6,
470,PotatoInTheBox,74,68,6,
471,Murwen,74,68,6,
472,2006gael,74,68,6,
473,Dimon,74,62,12,
474,frickolas,74,62,12,
475,taio,74,64,10,
476,Kalmier,74,62,12,
477,Azerata,74,62,12,
478,white woman gaming,74,68,6,
479,Luthics,74,62,12,
480,Gah,74,62,12,
481,Cygwin231,74,68,6,
482,Y\_Corp,74,62,12,
483,somdudewilson,74,62,12,
484,没有用,74,68,6,
485,skyhgzsh,74,68,6,
486,锈庚,74,68,6,
487,jacobjosephhartt,74,62,12,
488,ABIGplayer,74,68,6,
489,ajinori,74,66,8,
490,Alpi,74,64,10,
491,macho,74,68,6,
492,sheres0129,74,62,12,
493,blhaze,74,62,12,
494,kiekiemaster,74,62,12,
495,Zhooka,74,68,6,
496,カエル軍団,74,68,6,
497,happy\_AD,74,62,12,
498,Harambes Little Bro,74,62,12,
499,AJ,74,62,12,
500,joachim,74,68,6,
501,CodeZ,75,69,6,
502,Enkidu,75,63,12,
503,Miner66,75,63,12,
504,pleegwat,75,65,10,
505,anthonyvdg,75,63,12,
506,arithmeticulous,75,63,12,
507,aius,75,63,12,
508,marek.kovac,75,63,12,
509,BeFries,75,63,12,
510,LichOubliette,75,63,12,
511,DFroze,75,63,12,
512,zamadatix,75,69,6,
513,3.5mm Jack,75,69,6,
514,2742756195,75,63,12,
515,asdfghjkppp,75,63,12,
516,jlntlln7,75,69,6,
517,ranmi6869727,75,63,12,
518,jey,75,63,12,
519,Mezitable,75,69,6,
520,afyber,75,69,6,
521,Gingybert,75,69,6,
522,翻滚的大白菜,75,69,6,
523,zhj,75,69,6,
524,lunaticjun,75,69,6,
525,chloe,75,69,6,
526,SniperLinux,75,63,12,
527,Segaman,75,69,6,
528,wmgriffith,75,63,12,
529,dn6049949,75,69,6,
530,White Boi,75,63,12,
531,Celforyon,75,69,6,
532,Aneugene,75,69,6,
533,fmorsoletto,75,63,12,
534,kipsora,75,69,6,
535,CENSORED,75,63,12,
536,Anson0906,75,63,12,
537,drakeerv,75,69,6,
538,svervick2011,75,63,12,
539,Halfworld,75,63,12,
540,ben,75,63,12,
541,HIR,75,69,6,
542,1026019004,75,69,6,
543,PGForest,75,69,6,
544,Koru-san,75,63,12,
545,Neo,75,69,6,
546,2082439206,75,69,6,
547,Mu2333,75,63,12,
548,Ninja Of Physics,75,63,12,
549,holden\_85,75,69,6,
550,Mini\_Sammich,75,69,6,
551,wolf117,75,69,6,
552,hardanders,75,69,6,
553,Microwave,75,63,12,
554,sheep,75,63,12,
555,疯狂甘蔗,75,69,6,
556,Ego,75,69,6,
557,Hyerf,75,69,6,
558,fort,75,69,6,
559,abc13753636829,75,63,12,
560,gfgn1,75,69,6,
561,nathanmcjohns,75,63,12,
562,Persez,75,69,6,
563,dbxl,75,69,6,
564,senshi\_01,76,70,6,
565,luzia.cosi,76,70,6,
566,White_Rabbit,76,70,6,
567,surebet15,76,70,6,
568,Honkler,76,70,6,
569,litl snek,76,70,6,
570,Giygas,76,70,6,
571,robotguy189,76,70,6,
572,hansolo,76,70,6,
573,AWOL,76,70,6,
574,Birgobert,76,70,6,
575,Trixi,76,70,6,
576,1958018143,76,70,6,
577,p×˜G×¡,76,70,6,
578,gÃ–kU#3374,76,70,6,
579,Tartar Sauce,76,70,6,
580,Jedicavebros,76,70,6,
581,Owgla,76,70,6,
582,Annileinchen,76,70,6,
583,DrFabio,76,70,6,
584,Fine AWP,76,70,6,
585,Manu,76,70,6,
586,maxifeld,76,70,6,
587,Peter [Zwegat],76,70,6,
588,The Warden Unit,76,70,6,
589,Tzeval,76,70,6,
590,Deimos,76,70,6,
591,huwahuwa,76,70,6,
592,pascal.marcou,76,70,6,
593,Reikling,76,70,6,
594,Crunch,76,70,6,
595,Greene,76,70,6,
596,MykillZ,76,70,6,
597,Gaia,76,70,6,
598,Tox,76,70,6,
599,Mathismatik,76,70,6,
600,liglu,76,70,6,
601,Memenim,76,70,6,
602,Admiral,76,70,6,
603,Lil Sebastian,76,70,6,
604,kilroth100,76,70,6,
605,é‘¢å£«éƒŽ,76,70,6,
606,G'dÃ¤rm,76,70,6,
607,[KK] Capt. Jack Ahab,76,70,6,
608,[Senaky]paschep,76,70,6,
609,buck3t360,76,70,6,
610,-=DawN=- hero93,76,70,6,
611,Klausmitmaus,76,70,6,
612,Binaryclock03,76,70,6,
613,bang,76,70,6,
614,GuyWithLag,76,70,6,
615,Derwall,76,70,6,
616,mov-taurec,76,70,6,
617,izckl,76,70,6,
618,PrediGER,76,70,6,
619,Nex,76,70,6,
620,tl,76,70,6,
621,[1up]oppa05,76,70,6,
622,Maveth,76,70,6,
623,Zeitun,76,70,6,
624,zigtin35,76,70,6,
625,MalevolentSquid,76,70,6,
626,AgentK6599 JoinAnytime,76,70,6,
627,DPhantom,76,70,6,
628,mcbestington,76,70,6,
629,cfgCarl,76,70,6,
630,SiameseCookie,76,70,6,
631,Dorcas,76,70,6,
632,Excel,76,70,6,
633,Taygon,76,70,6,
634,THORSTED,76,70,6,
635,GyeongBin,76,70,6,
636,Iâ–ºRevanâ—„I,76,70,6,
637,Chokkmann,76,70,6,
638,Prisoner 1667,76,70,6,
639,bennej,76,70,6,
640,xDerEdx,76,70,6,
641,Nevermore6,76,70,6,
642,numbbaby,76,70,6,
643,TheFearPie,76,70,6,
644,monody507,76,70,6,
645,Sebastian-X,76,70,6,
646,JunCI,76,70,6,
647,thejoker_p53,76,70,6,
648,Weezor,76,70,6,
649,generaladams98,76,70,6,
650,ApeMachine,76,70,6,
651,FoamerDiggit,76,70,6,
652,Matcha Monaka,76,70,6,
653,(102)AcHill3s(TECHSIN)ãƒªã‚¤ã¨ãƒŠãƒŸ  Æ¸ÓÆ·,76,70,6,
654,parapixel,76,70,6,
655,Inade,76,70,6,
656,Frutilla,76,70,6,
657,jjagged,76,70,6,
658,tomfii,76,70,6,
659,stefanmuehlenbeck,76,70,6,
660,MonsterMatcher,76,70,6,
661,Mortfichet,76,70,6,
662,danikk04,76,70,6,
663,BÃ¶rdflÃ¤ck,76,70,6,
664,Justax,76,70,6,
665,Tost1l{,76,70,6,
666,LPGamerAlex,76,70,6,
667,wolfman2000,76,70,6,
668,Daniel,76,70,6,
669,DisAsDer,76,70,6,
670,Flooper,76,70,6,
671,tapiotrozer,76,70,6,
672,Lemmi,76,70,6,
673,Pr0st,76,70,6,
674,calebrobson299,76,70,6,
675,Sinuy,76,70,6,
676,Full Sip,76,70,6,
677,zirus,76,70,6,
678,patrickbessel,76,70,6,
679,sharena,76,70,6,
680,interspatz,76,70,6,
681,doktor,76,70,6,
682,chad bro chill 17,76,70,6,
683,torlivar,76,70,6,
684,Fredrik,76,70,6,
685,Freya,76,70,6,
686,Mattpenguin,76,70,6,
687,Flintheart,76,70,6,
688,Klinge Sinnlos,76,70,6,
689,Comrade Vorgon,76,70,6,
690,Subutex,76,70,6,
691,Visible\_Confusion,76,70,6,
692,kracherle,76,70,6,
693,uiofgh,76,70,6,
694,Margul,76,70,6,
695,gruvsei,76,70,6,
696,Dermidor,76,70,6,
697,DUCKFACE,76,70,6,
698,H4ris (◕_◕),76,70,6,
699,Mr BIGLO,76,70,6,
700,byto1393,76,70,6,
701,( Ë˜ Â³Ë˜)â™¥,76,70,6,
702,TerraFormer,76,70,6,
703,erinarbleizez,76,70,6,
704,spyrhino,76,70,6,
705,Huggz,76,66,10,
706,DaddyThor,76,70,6,
707,TheEarthIsFlat,76,70,6,
708,S3raf4n,76,70,6,
709,Spuncer,76,70,6,
