RANK,USER,TOTAL,GATE,DELAY,TICK
1,Ori the Kitty,3,1,2,
2,BEX2294,3,1,2,
3,illegalhex,3,1,2,
4,Epsilon,3,1,2,
5,stellartux,3,1,2,
6,noob7,3,1,2,
7,Medic,3,1,2,
8,kentex8484,3,1,2,
9,banzif,3,1,2,
10,sharkmaycry,3,1,2,
11,Endershadow,3,1,2,
12,Wolfheartrising,3,1,2,
13,danielrab,3,1,2,
14,[Vas Corp Por]Syntax,3,1,2,
15,Runac,3,1,2,
16,Cookies369,3,1,2,
17,Nari,3,1,2,
18,Whisper,3,1,2,
19,Grampy,3,1,2,
20,Cripper,3,1,2,
21,FakeNeo,3,1,2,
22,Esrome the Strange,3,1,2,
23,agrimes,3,1,2,
24,Pinkii,3,1,2,
25,PDInkRain,3,1,2,
26,Samusbot,3,1,2,
27,san_skylak,3,1,2,
28,Dermenslof,3,1,2,
29,senshi\_01,3,1,2,
30,CesiumHorizon,3,1,2,
31,tahgtahv,3,1,2,
32,The_Dark_Jumper,3,1,2,
33,UnsignedRobin,3,1,2,
34,Mortalitor,3,1,2,
35,PotatoLoRD,3,1,2,
36,SomeGuy,3,1,2,
37,hirosem,3,1,2,
38,Eldolfin,3,1,2,
39,ovonlogstarn,3,1,2,
40,shift,3,1,2,
41,phil,3,1,2,
42,General QT,3,1,2,
43,CurryField,3,1,2,
44,Ry'ion,3,1,2,
45,120x1n,3,1,2,
46,plato,3,1,2,
47,ó ‡°,3,1,2,
48,Turrex0100,3,1,2,
49,koryngs,3,1,2,
50,Limeray,3,1,2,
51,Irea,3,1,2,
52,Peppy Hare,3,1,2,
53,Tobaka,3,1,2,
54,Sarah,3,1,2,
55,DasWird,3,1,2,
56,Pogge,3,1,2,
57,erik.ertler,3,1,2,
58,Thunderbolt1029,3,1,2,
59,nichtmeineschulz,3,1,2,
60,Captain Planet,3,1,2,
61,morybu,3,1,2,
62,maxifeld,3,1,2,
63,Coach Schulze,3,1,2,
64,blDraX,3,1,2,
65,ocCa Setos78,3,1,2,
66,Birgobert,3,1,2,
67,SendU2Hell,3,1,2,
68,thomas,3,1,2,
69,yannik.kayser,3,1,2,
70,ELEKTRIKER-GERMANY98,3,1,2,
71,BOT Paul,3,1,2,
72,Takumi,3,1,2,
73,Freddy,3,1,2,
74,Moh,3,1,2,
75,oGEN,3,1,2,
76,Amrei,3,1,2,
77,iota,3,1,2,
78,Heistenberg99,3,1,2,
79,Tsukina_7mochi,3,1,2,
80,Onkel_Boo,3,1,2,
81,Solomyr,3,1,2,
82,Bram1999999,3,1,2,
83,Eterm,3,1,2,
84,Wastlos,3,1,2,
85,seconddifferential,3,1,2,
86,baijii,3,1,2,
87,botondmester,3,1,2,
88,DoctorFrog,3,1,2,
89,BrinksNo1,3,1,2,
90,Blade,3,1,2,
91,Arkadiusz XIII,3,1,2,
92,Lebster,3,1,2,
93,FrostbittenKL,3,1,2,
94,Sicnus,3,1,2,
95,luzia.cosi,3,1,2,
96,The Warden Unit,3,1,2,
97,Schmaendo,3,1,2,
98,ArsMoriendi,3,1,2,
99,_Bacca,3,1,2,
100,Clepto,3,1,2,
101,Hemeroc,3,1,2,
102,Lufia,3,1,2,
103,nuko274,3,1,2,
104,Pigslyer,3,1,2,
105,Goldgeckoguy,3,1,2,
106,louis,3,1,2,
107,Elgareth,3,1,2,
108,mcmari,3,1,2,
109,Carni111,3,1,2,
110,Mash,3,1,2,
111,Bl4ckW0lf3,3,1,2,
112,Meraque,3,1,2,
113,Mallthak,3,1,2,
114,Foxie_Fox,3,1,2,
115,litl snek,3,1,2,
116,reh,3,1,2,
117,carmoa,3,1,2,
118,sebingel,3,1,2,
119,Jumbor,3,1,2,
120,AbelianGrape,3,1,2,
121,YukiYasai,3,1,2,
122,minoru,3,1,2,
123,Generalfire,3,1,2,
124,KnockaHomer,3,1,2,
125,ZizZl,3,1,2,
126,sailerboy98,3,1,2,
127,hb_wales,3,1,2,
128,ArchiDevil,3,1,2,
129,fomenta.,3,1,2,
130,takaro,3,1,2,
131,oukdouk,3,1,2,
132,Mirutz,3,1,2,
133,anonymus,3,1,2,
134,Lenny,3,1,2,
135,fabiancoke13,3,1,2,
136,MegaIng,3,1,2,
137,Goldi2204,3,1,2,
138,Jay,3,1,2,
139,Phi,3,1,2,
140,General Imaginaer,3,1,2,
141,^2Chillinhovic,3,1,2,
142,Baschdi,3,1,2,
143,wearin1,3,1,2,
144,cringemaster420,3,1,2,
145,JackFou,3,1,2,
146,fugsii,3,1,2,
147,HoelShare,3,1,2,
148,yuandong.li,3,1,2,
149,ToastyJoJo,3,1,2,
150,US Marine Hyde,3,1,2,
151,Sraidaaaa,3,1,2,
152,AmpliFire,3,1,2,
153,MoinMeister,3,1,2,
154,AtoM,3,1,2,
155,mehmet19,3,1,2,
156,luap-sommer,3,1,2,
157,pascal.marcou,3,1,2,
158,Mikey Danger Roberts,3,1,2,
159,Kerax,3,1,2,
160,Carl-ified,3,1,2,
161,Daniel,3,1,2,
162,theKSK,3,1,2,
163,Aravir,3,1,2,
164,JKDaemon,3,1,2,
165,obi.knobi,3,1,2,
166,lewingston,3,1,2,
167,snke,3,1,2,
168,BinAktivDuPassiv,3,1,2,
169,Beazzt,3,1,2,
170,ierdna100,3,1,2,
171,xXBananscho_GeneralXx,3,1,2,
172,Vivlo,3,1,2,
173,alexanderpas,3,1,2,
174,metayrox,3,1,2,
175,DarklinkFighter,3,1,2,
176,Mettphysik,3,1,2,
177,Otoma,3,1,2,
178,TheFox,3,1,2,
179,A13xund3r,3,1,2,
180,Pavlo,3,1,2,
181,Maks,3,1,2,
182,segelohren,3,1,2,
183,StiÃ±os,3,1,2,
184,KajÃ¼ten-Klausi,3,1,2,
185,Kabaltobo,3,1,2,
186,Tura94,3,1,2,
187,NAMEhzj,3,1,2,
188,NuclearPhoenix,3,1,2,
189,dennis.barth,3,1,2,
190,TheB,3,1,2,
191,AllyRoman,3,1,2,
192,cjdabeast,3,1,2,
193,flederohr,3,1,2,
194,rasmuse00,3,1,2,
195,Ingo Montana,3,1,2,
196,Kirre,3,1,2,
197,tali713,3,1,2,
198,K\_JockeR\_S,3,1,2,
199,laughing07,3,1,2,
200,Biscuits,3,1,2,
201,SparkKVRA',3,1,2,
202,altrag,3,1,2,
203,Gamerboy166,3,1,2,
204,Kali,3,1,2,
205,Internet Explorer,3,1,2,
206,Reikling,3,1,2,
207,mgaag,3,1,2,
208,mpklink,3,1,2,
209,n.nakatake,3,1,2,
210,OttoBlotto,3,1,2,
211,TheZouave,3,1,2,
212,x Soul L3gend,3,1,2,
213,Rotten_Lynx,3,1,2,
214,Nova,3,1,2,
215,Jonas,3,1,2,
216,AlexF (Master of the Rice Field),3,1,2,
217,caillet.christian.mq,3,1,2,
218,Kuldrtorix,3,1,2,
219,Pine,3,1,2,
220,Gort,3,1,2,
221,Belias Phyre,3,1,2,
222,Labergurke,3,1,2,
223,Stuffe,3,1,2,
224,Oshikuru,3,1,2,
225,HertzDevil,3,1,2,
226,DorAnalExplorer,3,1,2,
227,Bloody,3,1,2,
228,.FaibleTropFaible,3,1,2,
229,josh,3,1,2,
230,Beson,3,1,2,
231,Neumiindehouse,3,1,2,
232,Pheema,3,1,2,
233,Chriiiis,3,1,2,
234,Honkler,3,1,2,
235,jochen.stoerzer,3,1,2,
