RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,10,6,4,
2,G0rger,10,6,4,
3,Beesman,10,6,4,
4,Xilu,10,6,4,
5,BlockOG,10,6,4,
6,Yunfeng,10,6,4,
7,dinoper,10,6,4,
8,沈逍遥(Q群746497406),14,8,6,
9,seconddifferential,17,9,8,
10,stellartux,17,9,8,
11,tahgtahv,17,9,8,
12,cringemaster420,17,9,8,
13,banzif,17,9,8,
14,Endershadow,17,9,8,
15,danielrab,17,9,8,
16,Runac,17,9,8,
17,Nari,17,9,8,
18,agrimes,17,9,8,
19,Pinkii,17,9,8,
20,san_skylak,17,9,8,
21,Dermenslof,17,9,8,
22,senshi\_01,17,9,8,
23,Samusbot,17,9,8,
24,UnsignedRobin,17,9,8,
25,Mortalitor,17,9,8,
26,PotatoLoRD,17,9,8,
27,SomeGuy,17,9,8,
28,hirosem,17,9,8,
29,ovonlogstarn,17,9,8,
30,shift,17,9,8,
31,CurryField,17,9,8,
32,120x1n,17,9,8,
33,ó ‡°,17,9,8,
34,Hakagin,17,9,8,
35,Limeray,17,9,8,
36,koryngs,17,9,8,
37,Thunderbolt1029,17,9,8,
38,DasWird,17,9,8,
39,Irea,17,9,8,
40,nichtmeineschulz,17,9,8,
41,Freddy,17,9,8,
42,Coach Schulze,17,9,8,
43,morybu,17,9,8,
44,Heistenberg99,17,9,8,
45,Tsukina_7mochi,17,9,8,
46,Amrei,17,9,8,
47,Bram1999999,17,9,8,
48,iota,17,9,8,
49,botondmester,17,9,8,
50,Solomyr,17,9,8,
51,Lebster,17,9,8,
52,The Warden Unit,17,9,8,
53,luzia.cosi,17,9,8,
54,Pigslyer,17,9,8,
55,nuko274,17,9,8,
56,fimasu,17,9,8,
57,litl snek,17,9,8,
58,AbelianGrape,17,9,8,
59,hb_wales,17,9,8,
60,Foxie_Fox,17,9,8,
61,MegaIng,17,9,8,
62,sailerboy98,17,9,8,
63,Jay,17,9,8,
64,Peppy Hare,17,9,8,
65,Baschdi,17,9,8,
66,Carni111,17,9,8,
67,HoelShare,17,9,8,
68,AtoM,17,9,8,
69,expendablejim,17,9,8,
70,Carl-ified,17,9,8,
71,alexanderpas,17,9,8,
72,pascal.marcou,17,9,8,
73,obi.knobi,17,9,8,
74,Moh,17,9,8,
75,Mettphysik,17,9,8,
76,NAMEhzj,17,9,8,
77,rasmuse00,17,9,8,
78,tali713,17,9,8,
79,flederohr,17,9,8,
80,altrag,17,9,8,
81,Kirre,17,9,8,
82,Gamerboy166,17,9,8,
83,mpklink,17,9,8,
84,KeiLo,17,9,8,
85,Internet Explorer,17,9,8,
86,Reikling,17,9,8,
87,Agent Maine,17,9,8,
88,Kuldrtorix,17,9,8,
89,Pine,17,9,8,
90,Goldi2204,17,9,8,
91,takaro,17,9,8,
92,josh,17,9,8,
93,Chriiiis,17,9,8,
94,Honkler,17,9,8,
95,Neumiindehouse,17,9,8,
96,CitrusMarmelade,17,9,8,
97,Captain Planet,17,9,8,
98,kentex8484,17,9,8,
99,jemand2001,17,9,8,
100,Luigi,17,9,8,
101,ImpedingGroom,17,9,8,
102,ç™ºé›»æ©Ÿå›žã—ã¦ãã‚Œ,17,9,8,
103,rainyday,17,9,8,
104,DaDaimon,17,9,8,
105,oGEN,17,9,8,
106,[DE] ChristianA,17,9,8,
107,morebeat,17,9,8,
108,Benedict Rubwa Noff,17,9,8,
109,jia,17,9,8,
110,SeaDDeaD,17,9,8,
111,Uwe,17,9,8,
112,Goldgeckoguy,17,9,8,
113,Itehnological,17,9,8,
114,Alex_523,17,9,8,
115,Bademeister,17,9,8,
116,snke,17,9,8,
117,reddog,17,9,8,
118,YukiYasai,17,9,8,
119,BurntBeard,17,9,8,
120,Acze,17,9,8,
121,TheLoudNinjaz,17,9,8,
122,Aokama,17,9,8,
123,Megacrafter127,17,9,8,
124,robotguy189,17,9,8,
125,Rartrin,17,9,8,
126,Cpt. Bread,17,9,8,
127,flemmingvonessen,17,9,8,
128,secondshadow,17,9,8,
129,Banzify,17,9,8,
130,K\_JockeR\_S,17,9,8,
131,Meaty Manlet,17,9,8,
132,winnie.ma.12,17,9,8,
133,fizdev,17,9,8,
134,michi-windsurfing,17,9,8,
135,WhIrLwinD356,17,9,8,
136,RayRay26,17,9,8,
137,Rofgar,17,9,8,
138,Hedgehog,17,9,8,
139,Alter,17,9,8,
140,nfgrawker,17,9,8,
141,"IA_BOT(""MainFastSolve.rom"")",17,9,8,
142,Naughty Naughty,17,9,8,
143,Blockinator,17,9,8,
144,Bettelmage,17,9,8,
145,papercrane,17,9,8,
146,Y e v v i.,17,9,8,
147,updog,17,9,8,
148,jabba,17,9,8,
149,linnet,17,9,8,
150,pinkertona,17,9,8,
151,ShadF0x,17,9,8,
152,jacques.bicker,17,9,8,
153,isaac.wass (allegedly),17,9,8,
154,Hui Geng Hao,17,9,8,
155,strawwedberries,17,9,8,
156,#TSwagg,17,9,8,
157,hungcat,17,9,8,
158,sq5researcher,17,9,8,
159,diamond_flesh,17,9,8,
160,dgftio,17,9,8,
161,VolaSyVy,17,9,8,
162,houzw2001,17,9,8,
163,Bloody,17,9,8,
164,Tartar Sauce,17,9,8,
165,xXBananscho_GeneralXx,17,9,8,
166,HappyDomba,17,9,8,
167,Asthmatiker,17,9,8,
168,CrusaderDeleters,17,9,8,
169,prphet,17,9,8,
170,Hyperlocke,17,9,8,
171,The_real_Trolf,17,9,8,
172,tofu-online,17,9,8,
173,zogga007,17,9,8,
174,Zaxabock,17,9,8,
175,ludechris,17,9,8,
176,PMan,17,9,8,
177,ESPFITLA,17,9,8,
178,butros10 games,17,9,8,
179,Rominos2,17,9,8,
180,D0ttySc0tty,17,9,8,
181,KeDouJia,17,9,8,
182,zirus,17,9,8,
183,Quixx,17,9,8,
184,rolexa2010,17,9,8,
185,ZKlack,17,9,8,
186,Nex,17,9,8,
