RANK,USER,TOTAL,GATE,DELAY,TICK
1,stellartux,4,2,2,
2,tahgtahv,4,2,2,
3,cringemaster420,4,2,2,
4,san_skylak,4,2,2,
5,I am gravemind,4,2,2,
6,Endershadow,4,2,2,
7,*****.com.trace,4,2,2,
8,danielrab,4,2,2,
9,Runac,4,2,2,
10,Cookies369,4,2,2,
11,Nari,4,2,2,
12,FakeNeo,4,2,2,
13,agrimes,4,2,2,
14,Esrome the Strange,4,2,2,
15,noob7,4,2,2,
16,Dermenslof,4,2,2,
17,senshi\_01,4,2,2,
18,Samusbot,4,2,2,
19,The_Dark_Jumper,4,2,2,
20,UnsignedRobin,4,2,2,
21,WingedWhite,4,2,2,
22,Mortalitor,4,2,2,
23,PotatoLoRD,4,2,2,
24,CesiumHorizon,4,2,2,
25,hirosem,4,2,2,
26,jardvanderwelle5,4,2,2,
27,SomeGuy,4,2,2,
28,Eldolfin,4,2,2,
29,CurryField,4,2,2,
30,General QT,4,2,2,
31,120x1n,4,2,2,
32,ó ‡°,4,2,2,
33,Limeray,4,2,2,
34,Thunderbolt1029,4,2,2,
35,Xioc84,4,2,2,
36,Turrex0100,4,2,2,
37,Tobaka,4,2,2,
38,DasWird,4,2,2,
39,erwan574,4,2,2,
40,nichtmeineschulz,4,2,2,
41,Freddy,4,2,2,
42,Tsukina_7mochi,4,2,2,
43,iota,4,2,2,
44,Bram1999999,4,2,2,
45,seconddifferential,4,2,2,
46,Sarah,4,2,2,
47,Solomyr,4,2,2,
48,ocCa Setos78,4,2,2,
49,SendU2Hell,4,2,2,
50,Lebster,4,2,2,
51,Pigslyer,4,2,2,
52,louis,4,2,2,
53,The Warden Unit,4,2,2,
54,reh,4,2,2,
55,AbelianGrape,4,2,2,
56,hb_wales,4,2,2,
57,litl snek,4,2,2,
58,banzif,4,2,2,
59,MegaIng,4,2,2,
60,Jay,4,2,2,
61,Goldi2204,4,2,2,
62,fomenta.,4,2,2,
63,sailerboy98,4,2,2,
64,Baschdi,4,2,2,
65,valthonis,4,2,2,
66,nya,4,2,2,
67,US Marine Hyde,4,2,2,
68,Mikey Danger Roberts,4,2,2,
69,Carni111,4,2,2,
70,Carl-ified,4,2,2,
71,AmpliFire,4,2,2,
72,expendablejim,4,2,2,
73,Irea,4,2,2,
74,monKey_DizZle,4,2,2,
75,Beazzt,4,2,2,
76,alexanderpas,4,2,2,
77,Arkadiusz XIII,4,2,2,
78,A13xund3r,4,2,2,
79,Mettphysik,4,2,2,
80,Takeyan,4,2,2,
81,Moh,4,2,2,
82,NAMEhzj,4,2,2,
83,NuclearPhoenix,4,2,2,
84,Otoma,4,2,2,
85,Vivlo,4,2,2,
86,CitrusPunk,4,2,2,
87,tali713,4,2,2,
88,morybu,4,2,2,
89,Biscuits,4,2,2,
90,flederohr,4,2,2,
91,altrag,4,2,2,
92,Gamerboy166,4,2,2,
93,Internet Explorer,4,2,2,
94,mpklink,4,2,2,
95,TheZouave,4,2,2,
96,Agent Maine,4,2,2,
97,Lufia,4,2,2,
98,Kuldrtorix,4,2,2,
99,Reikling,4,2,2,
100,Pine,4,2,2,
101,Belias Phyre,4,2,2,
102,.FaibleTropFaible,4,2,2,
103,takaro,4,2,2,
104,Gort,4,2,2,
105,Chriiiis,4,2,2,
106,Honkler,4,2,2,
107,arild.haugstad,4,2,2,
108,Neumiindehouse,4,2,2,
109,svenwald,4,2,2,
110,Captain Planet,4,2,2,
111,ç™ºé›»æ©Ÿå›žã—ã¦ãã‚Œ,4,2,2,
112,JMKain,4,2,2,
113,Benedict Rubwa Noff,4,2,2,
114,t8_now,4,2,2,
115,DaDaimon,4,2,2,
116,[DE] ChristianA,4,2,2,
117,Beson,4,2,2,
118,Vandar501,4,2,2,
119,Itehnological,4,2,2,
120,Elgareth,4,2,2,
121,Alex_523,4,2,2,
122,mikenyannyan128,4,2,2,
123,Oshikuru,4,2,2,
124,jemand2001,4,2,2,
125,king-crash,4,2,2,
126,YukiYasai,4,2,2,
127,PeriBooty (Shad),4,2,2,
128,Vivi,4,2,2,
129,CitrusMarmelade,4,2,2,
130,-=DawN=- hero93,4,2,2,
131,BurntBeard,4,2,2,
132,Acze,4,2,2,
133,LucaWoro,4,2,2,
134,morebeat,4,2,2,
135,Uwe,4,2,2,
136,Megacrafter127,4,2,2,
137,jowler,4,2,2,
138,Cpt. Bread,4,2,2,
139,robotguy189,4,2,2,
140,Rartrin,4,2,2,
141,Fudi,4,2,2,
142,maxifeld,4,2,2,
143,Heistenberg99,4,2,2,
144,hungcat,4,2,2,
145,the protagonist.,4,2,2,
146,Labergurke,4,2,2,
147,Hackepeter,4,2,2,
148,obstsalat8,4,2,2,
149,levii,4,2,2,
150,dorianignee,4,2,2,
151,WhIrLwinD356,4,2,2,
152,Xydion,4,2,2,
153,RayRay26,4,2,2,
154,"IA_BOT(""MainFastSolve.rom"")",4,2,2,
155,Blockinator,4,2,2,
156,Naughty Naughty,4,2,2,
157,Bettelmage,4,2,2,
158,Groodion,4,2,2,
159,Alter,4,2,2,
160,Rotten_Lynx,4,2,2,
161,StiÃ±os,4,2,2,
162,nichtwitzig228,4,2,2,
163,jabba,4,2,2,
164,geekiskhan,4,2,2,
165,updog,4,2,2,
166,pinkertona,4,2,2,
167,isaac.wass (allegedly),4,2,2,
168,linnet,4,2,2,
169,oGEN,4,2,2,
170,Medic,4,2,2,
171,hindenburg120583,4,2,2,
172,strawwedberries,4,2,2,
173,#TSwagg,4,2,2,
174,sq5researcher,4,2,2,
175,Rutir,4,2,2,
176,diamond_flesh,4,2,2,
177,Ï€,4,2,2,
178,michi-windsurfing,4,2,2,
179,VolaSyVy,4,2,2,
180,Hui Geng Hao,4,2,2,
181,rainyday,4,2,2,
182,HappyDomba,4,2,2,
183,dgftio,4,2,2,
184,Hyperlocke,4,2,2,
185,Der mediterane Pfirsichmann,4,2,2,
186,Abra Kadabraham,4,2,2,
187,prphet,4,2,2,
188,fimasu,4,2,2,
189,YJSNPI114514,4,2,2,
190,mvs.Mazzader,4,2,2,
191,pepe,4,2,2,
192,RasaRasa,4,2,2,
193,Byzantine General Store,4,2,2,
194,theuberspy,4,2,2,
195,hering,4,2,2,
196,YungSimon,4,2,2,
197,Rominos2,4,2,2,
198,ShadF0x,4,2,2,
199,BaronWurst,4,2,2,
200,Quixx,4,2,2,
201,Dalmali,4,2,2,
202,khallep2001,4,2,2,
203,you,4,2,2,
204,tyryi,4,2,2,
205,KajÃ¼ten-Klausi,4,2,2,
206,KeDouJia,4,2,2,
207,JerryPlayz,4,2,2,
208,mmloki,4,2,2,
209,LMD|Cavy,4,2,2,
210,Remi,4,2,2,
211,Foxxen,4,2,2,
212,MonkeysRCool,4,2,2,
213,ZKlack,4,2,2,
214,abandoned,4,2,2,
215,Comm,4,2,2,
216,VaporGame,4,2,2,
217,SunCat,4,2,2,
218,Quadruplay,4,2,2,
219,Karamba,4,2,2,
220,Whisper,4,2,2,
221,Kargaros,4,2,2,
222,7003484,4,2,2,
223,matt.thomson,4,2,2,
224,Puppy Puncher,4,2,2,
225,asdf56,4,2,2,
226,edggy,4,2,2,
227,evik,4,2,2,
228,pppolly,4,2,2,
229,EwokPunter,4,2,2,
230,cadaei,4,2,2,
231,Ali_der_Weise,4,2,2,
232,al13n,4,2,2,
233,Cheese,4,2,2,
234,Thunder,4,2,2,
235,lavavrik,4,2,2,
236,Notch,4,2,2,
237,Hashtax,4,2,2,
238,kai_190,4,2,2,
239,The Solar Admiral,4,2,2,
240,Re4lSlow,4,2,2,
241,Omnipact,4,2,2,
242,MertyPants,4,2,2,
243,jaalte,4,2,2,
244,bambooin8,4,2,2,
245,Psychotic_DAN,4,2,2,
246,Benjo11,4,2,2,
247,decesare,4,2,2,
248,Swek,4,2,2,
249,ggg1psyyy,4,2,2,
250,speedreaper0,4,2,2,
251,Postrophilas,4,2,2,
252,Marveck,4,2,2,
253,i3ym,4,2,2,
254,NeoVICT,4,2,2,
255,Amber,4,2,2,
256,Deadwire,4,2,2,
257,lasmite,4,2,2,
258,Oshisaure,4,2,2,
259,ESPFITLA,4,2,2,
260,prj\_st\_xxx,4,2,2,
261,Vortex83,4,2,2,
262,Klausmitmaus,4,2,2,
263,Stevi the Stain,4,2,2,
264,leon_stue,4,2,2,
265,joshua.pgordon,4,2,2,
266,tudtianus,4,2,2,
267,Kuro,4,2,2,
268,imagar,4,2,2,
269,bmerry,4,2,2,
270,Sanchez,4,2,2,
271,Gunslinger,4,2,2,
272,Daniel,4,2,2,
273,[CrAzY]WC,4,2,2,
274,Ivan,4,2,2,
275,Prof. Dr. Krampus,4,2,2,
276,Soda,4,2,2,
277,10usb,4,2,2,
278,WolfmanJack,4,2,2,
279,Asharas,4,2,2,
280,Spawn,4,2,2,
281,Trixi,4,2,2,
282,NM,4,2,2,
283,Turtwig107,4,2,2,
284,naitchal,4,2,2,
285,Sahishar,4,2,2,
286,drsmile_1001,4,2,2,
287,DarthKarnage,4,2,2,
288,_Bacca,4,2,2,
289,arar,4,2,2,
290,mikehorowitz83,4,2,2,
291,sbtaku11,4,2,2,
292,mwChase,4,2,2,
293,TheLoudNinjaz,4,2,2,
294,seiji.toda,4,2,2,
295,Benignant,4,2,2,
296,Zaperox,4,2,2,
297,Errs Anyway,4,2,2,
298,greb_cmd,4,2,2,
299,knupper,4,2,2,
300,timmydoza,4,2,2,
301,jsutterfield,4,2,2,
302,RummyThePanda,4,2,2,
303,dewillma1,4,2,2,
304,krokofant,4,2,2,
305,Varg,4,2,2,
306,Henburger | BLY,4,2,2,
307,nebulaeandstars,4,2,2,
