RANK,USER,TOTAL,GATE,DELAY,TICK
1,danielrab,37,33,4,
2,Nari,37,33,4,
3,Dermenslof,37,33,4,
4,PotatoLoRD,37,33,4,
5,Samusbot,37,33,4,
6,Heistenberg99,37,33,4,
7,Tsukina_7mochi,37,33,4,
8,hb_wales,37,33,4,
9,banzif,37,33,4,
10,MegaIng,37,33,4,
11,tali713,37,33,4,
12,tahgtahv,37,33,4,
13,CitrusMarmelade,37,33,4,
14,Carl-ified,37,33,4,
15,Itehnological,37,33,4,
16,Cpt. Bread,37,33,4,
17,#TSwagg,37,33,4,
18,WhIrLwinD356,37,33,4,
19,Hyperlocke,37,33,4,
20,tyryi,37,33,4,
21,VaporGame,37,33,4,
22,Notch,37,33,4,
23,al13n,37,33,4,
24,decesare,37,33,4,
25,Oshisaure,37,33,4,
26,YukiYasai,37,33,4,
27,SunCat,37,33,4,
28,10usb,37,33,4,
29,Trixi,37,33,4,
30,[CrAzY]WC,37,33,4,
31,Errs Anyway,37,33,4,
32,Zargony,37,33,4,
33,BierLiebHaber,37,33,4,
34,bmerry,37,33,4,
35,Blockinator,37,33,4,
36,Mindful_Master,37,33,4,
37,Rartrin,37,33,4,
38,naitchal,37,33,4,
39,Kargaros,37,33,4,
40,Awesomeness211i,37,33,4,
41,Whisper,37,33,4,
42,CodeZ,37,33,4,
43,keldor,37,33,4,
44,thompsotd,37,33,4,
45,hungcat,37,33,4,
46,Silentsouls,37,33,4,
47,Thunderblade73,37,33,4,
48,khoyobegenn,37,33,4,
49,Arctic,37,33,4,
50,Jumpy,37,33,4,
51,PythonPlusPlus,37,33,4,
52,Arnavion,37,33,4,
53,FireStorm,37,33,4,
54,Nandschgi,37,33,4,
55,"IA_BOT(""MainFastSolve.rom"")",37,33,4,
56,Paul,37,33,4,
57,MrGeoTech,37,33,4,
58,Redhead,37,33,4,
59,overcomplexification,37,33,4,
60,Brawndo,37,33,4,
61,gary,37,33,4,
62,NathenMat,37,33,4,
63,caeasarus,37,33,4,
64,cerealandsandwiches,37,33,4,
65,Renji,37,33,4,
66,SamsonTheCat81,37,33,4,
67,climb4life,37,33,4,
68,electrodon99,37,33,4,
69,Don Joe,37,33,4,
70,debooster,37,33,4,
71,Tedzomank,37,33,4,
72,Yoann,37,33,4,
73,nico.zottino,37,33,4,
74,sleepprogger,37,33,4,
75,WicketTVCDj2,37,33,4,
76,ovonlogstarn,37,33,4,
77,EmmaTheGiant,37,33,4,
78,Peppw_,37,33,4,
79,felixpreu,37,33,4,
80,js5342,37,33,4,
81,RayRay26,37,33,4,
82,Sagoot,37,33,4,
83,The Almighty Pegasus Epsilon,37,33,4,
84,nicholas.sommer,37,33,4,
85,Fri3dNstuff,37,33,4,
86,Legy,37,33,4,
87,slowwalker,37,33,4,
88,Alien Valkyrie,37,33,4,
89,AuneTheMan,37,33,4,
90,Hesulan,37,33,4,
91,Alex,37,33,4,
92,JereTheJuggler,37,33,4,
93,thanis80,37,33,4,
94,alcarithemad,37,33,4,
95,MTReis86,37,33,4,
96,UltraPeeks,37,33,4,
97,brandon3055,37,33,4,
98,Pr0st,37,33,4,
99,Endershadow,37,33,4,
100,san_skylak,37,33,4,
101,iota,37,33,4,
102,altrag,37,33,4,
103,cringemaster420,37,33,4,
104,UnsignedRobin,37,33,4,
105,Oreo_Fritzey,37,33,4,
106,Auto(Dada)Didact,37,33,4,
107,RealOfficialTurf,37,33,4,
108,tobias.bodewig,37,33,4,
109,Jay,37,33,4,
110,PinkyWinky,37,33,4,
111,almafa64,37,33,4,
112,TheChosenLnE,37,33,4,
113,Mockingbird,37,33,4,
114,DarthOrdo,37,33,4,
115,schadomi,37,33,4,
116,Metricor,37,33,4,
117,alexanderpas,37,33,4,
118,simonsays095,37,33,4,
119,Vincent Cardley,37,33,4,
120,botondmester,37,33,4,
121,Bram1999999,37,33,4,
122,uiofgh,37,33,4,
123,pleegwat,37,33,4,
124,AbelianGrape,37,33,4,
125,gigglingCaduceus,37,33,4,
126,Mr BIGLO,37,33,4,
127,Segal,37,33,4,
128,m_ornj,37,33,4,
129,Statique,37,33,4,
130,agrimes,37,33,4,
131,GinjaNinja32,37,33,4,
132,Alphiries,37,33,4,
133,CyberCat,37,33,4,
134,ArcticCopper,37,33,4,
135,Ender,37,33,4,
136,Revenantus,37,33,4,
137,Vetinari,37,33,4,
138,Raptor-Eins-Null,37,33,4,
139,iwikal,37,33,4,
140,KayToki,37,33,4,
141,SuperFluffyGame,37,33,4,
142,BioCycle,37,33,4,
