RANK,USER,TOTAL,GATE,DELAY,TICK
1,Endershadow,8,4,4,
2,danielrab,8,4,4,
3,agrimes,8,4,4,
4,san_skylak,8,4,4,
5,UnsignedRobin,8,4,4,
6,Mortalitor,8,4,4,
7,PotatoLoRD,8,4,4,
8,hirosem,8,4,4,
9,ó ‡°,8,4,4,
10,koryngs,8,4,4,
11,iota,8,4,4,
12,seconddifferential,8,4,4,
13,Solomyr,8,4,4,
14,Pigslyer,8,4,4,
15,louis,8,4,4,
16,banzif,8,4,4,
17,Agent Maine,8,4,4,
18,ocCa Setos78,8,4,4,
19,MegaIng,8,4,4,
20,Jay,8,4,4,
21,sailerboy98,8,4,4,
22,ierdna100,8,4,4,
23,expendablejim,8,4,4,
24,alexanderpas,8,4,4,
25,A13xund3r,8,4,4,
26,Carl-ified,8,4,4,
27,rasmuse00,8,4,4,
28,tali713,8,4,4,
29,altrag,8,4,4,
30,Pine,8,4,4,
31,Baschdi,8,4,4,
32,Chriiiis,8,4,4,
33,CitrusMarmelade,8,4,4,
34,arild.haugstad,8,4,4,
35,litl snek,8,4,4,
36,jemand2001,8,4,4,
37,YukiYasai,8,4,4,
38,Vandar501,8,4,4,
39,Itehnological,8,4,4,
40,Moh,8,4,4,
41,Megacrafter127,8,4,4,
42,Rartrin,8,4,4,
43,morebeat,8,4,4,
44,the protagonist.,8,4,4,
45,Alter,8,4,4,
46,nichtwitzig228,8,4,4,
47,#TSwagg,8,4,4,
48,Harmonis,8,4,4,
49,Rutir,8,4,4,
50,Uwe,8,4,4,
51,rainyday,8,4,4,
52,Captain Planet,8,4,4,
53,lukeplechaty,8,4,4,
54,RasaRasa,8,4,4,
55,Zaxabock,8,4,4,
56,ShadF0x,8,4,4,
57,tyryi,8,4,4,
58,Gugorrex,8,4,4,
59,Der mediterane Pfirsichmann,8,4,4,
60,ZKlack,8,4,4,
61,EnerGMrSmith,8,4,4,
62,VaporGame,8,4,4,
63,Comm,8,4,4,
64,SunCat,8,4,4,
65,Quadruplay,8,4,4,
66,matt.thomson,8,4,4,
67,asdf56,8,4,4,
68,edggy,8,4,4,
69,al13n,8,4,4,
70,EwokPunter,8,4,4,
71,lavavrik,8,4,4,
72,bambooin8,8,4,4,
73,sunnyssk,8,4,4,
74,dgftio,8,4,4,
75,Jeff,8,4,4,
76,Deadwire,8,4,4,
77,ELEKTRIKER-GERMANY98,8,4,4,
78,leon_stue,8,4,4,
79,joshua.pgordon,8,4,4,
80,Gunslinger,8,4,4,
81,[CrAzY]WC,8,4,4,
82,Trixi,8,4,4,
83,arar,8,4,4,
84,nebulaeandstars,8,4,4,
85,porg57,8,4,4,
86,Zargony,8,4,4,
87,Tokin,8,4,4,
88,Owgla,8,4,4,
89,Mindful_Master,8,4,4,
90,Sarah,8,4,4,
91,sbtaku11,8,4,4,
92,Fenrir,8,4,4,
93,DATA_CORRUPTED,8,4,4,
94,icechair,8,4,4,
95,GlÃ¼ckspirat`,8,4,4,
96,Timburr,8,4,4,
97,Watergrasswfud,8,4,4,
98,Awesomeness211i,8,4,4,
99,orangesnowfox,8,4,4,
100,Craicy,8,4,4,
101,Peter [Zwegat],8,4,4,
102,juho.saarikko,8,4,4,
103,Wurstwasser,8,4,4,
104,The Warden Unit,8,4,4,
105,memeturtles,8,4,4,
106,elratero,8,4,4,
107,Fengshen,8,4,4,
108,Zebadiah,8,4,4,
109,revilum1,8,4,4,
110,Thejuuldog,8,4,4,
111,buetowbc,8,4,4,
112,Spodermeister3000,8,4,4,
113,Fantus,8,4,4,
114,john99.herter,8,4,4,
115,ryanhofmann37,8,4,4,
116,Licer,8,4,4,
117,Dharok,8,4,4,
118,Interdimensional Cheesecake,8,4,4,
119,Greene,8,4,4,
120,Schwounn,8,4,4,
121,tl,8,4,4,
122,winufepon,8,4,4,
123,CerealZ,8,4,4,
124,Thompson,8,4,4,
125,Justin von Hartz IV.,8,4,4,
126,Skar,8,4,4,
127,shells,8,4,4,
128,Arctic,8,4,4,
129,Jumpy,8,4,4,
130,Alcarcalimo,8,4,4,
131,prj\_st\_xxx,8,4,4,
132,Rawsome,8,4,4,
133,Arnavion,8,4,4,
134,Pro G Rammer,8,4,4,
135,dimlight1998,8,4,4,
136,djsketch,8,4,4,
137,a1ph4,8,4,4,
138,Skorpi,8,4,4,
139,Binaryclock03,8,4,4,
140,michael.seanluc,8,4,4,
141,Tetrahelix,8,4,4,
142,Nerago,8,4,4,
143,Claudiu,8,4,4,
144,kyasuhira,8,4,4,
145,Rubbish,8,4,4,
146,Zeitun,8,4,4,
147,Freywar Ulvnaudgari,8,4,4,
148,zigtin35,8,4,4,
149,"Fernand{o,ez}",8,4,4,
150,ElderHam,8,4,4,
151,overcomplexification,8,4,4,
152,SiriusHD,8,4,4,
153,kiniro,8,4,4,
154,shadowrunner,8,4,4,
155,Klepmeister,8,4,4,
156,Jokkael,8,4,4,
157,maltebeckmann,8,4,4,
158,Cloudforce,8,4,4,
159,schwump schwump schwump schwump,8,4,4,
160,samflav,8,4,4,
161,jtknutti,8,4,4,
162,Cheranor,8,4,4,
163,raghauge,8,4,4,
164,Brawndo,8,4,4,
165,Fridiot,8,4,4,
166,jj15,8,4,4,
167,kisyuu186,8,4,4,
168,gary,8,4,4,
169,Freehand,8,4,4,
170,The Gamer,8,4,4,
171,xyzzy,8,4,4,
172,Frozen,8,4,4,
173,Yoann,8,4,4,
174,lÃ¥dan,8,4,4,
175,mendret,8,4,4,
