RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,4,2,2,
2,G0rger,4,2,2,
3,沈逍遥(Q群746497406),4,2,2,
4,Beesman,4,2,2,
5,Xilu,4,2,2,
6,BlockOG,4,2,2,
7,Yunfeng,4,2,2,
8,PwnBroker,6,2,4,
9,Ori the Kitty,6,2,4,
10,Banzify,6,2,4,
11,Epsilon,6,2,4,
12,stellartux,6,2,4,
13,noob7,6,2,4,
14,blackj,6,2,4,
15,cringemaster420,6,2,4,
16,kentex8484,6,2,4,
17,I am gravemind,6,2,4,
18,Endershadow,6,2,4,
19,Wolfheartrising,6,2,4,
20,danielrab,6,2,4,
21,Runac,6,2,4,
22,Cookies369,6,2,4,
23,Nari,6,2,4,
24,andrey.turkin,6,2,4,
25,[Vas Corp Por]Syntax,6,2,4,
26,FakeNeo,6,2,4,
27,agrimes,6,2,4,
28,Esrome the Strange,6,2,4,
29,Pinkii,6,2,4,
30,Samusbot,6,2,4,
31,Dermenslof,6,2,4,
32,san_skylak,6,2,4,
33,senshi\_01,6,2,4,
34,tahgtahv,6,2,4,
35,The_Dark_Jumper,6,2,4,
36,UnsignedRobin,6,2,4,
37,Mortalitor,6,2,4,
38,PotatoLoRD,6,2,4,
39,SomeGuy,6,2,4,
40,hirosem,6,2,4,
41,Eldolfin,6,2,4,
42,shift,6,2,4,
43,phil,6,2,4,
44,greb_cmd,6,2,4,
45,CurryField,6,2,4,
46,120x1n,6,2,4,
47,Ry'ion,6,2,4,
48,ó ‡°,6,2,4,
49,Limeray,6,2,4,
50,koryngs,6,2,4,
51,Irea,6,2,4,
52,Turrex0100,6,2,4,
53,Tobaka,6,2,4,
54,Sarah,6,2,4,
55,Thunderbolt1029,6,2,4,
56,Pogge,6,2,4,
57,nichtmeineschulz,6,2,4,
58,erik.ertler,6,2,4,
59,morybu,6,2,4,
60,Captain Planet,6,2,4,
61,blDraX,6,2,4,
62,erwan574,6,2,4,
63,ocCa Setos78,6,2,4,
64,Birgobert,6,2,4,
65,maxifeld,6,2,4,
66,Freddy,6,2,4,
67,SendU2Hell,6,2,4,
68,thomas,6,2,4,
69,yannik.kayser,6,2,4,
70,ELEKTRIKER-GERMANY98,6,2,4,
71,Amrei,6,2,4,
72,Heistenberg99,6,2,4,
73,Tsukina_7mochi,6,2,4,
74,iota,6,2,4,
75,Solomyr,6,2,4,
76,Eterm,6,2,4,
77,Bram1999999,6,2,4,
78,seconddifferential,6,2,4,
79,baijii,6,2,4,
80,Onkel_Boo,6,2,4,
81,BrinksNo1,6,2,4,
82,Lebster,6,2,4,
83,Sicnus,6,2,4,
84,FrostbittenKL,6,2,4,
85,luzia.cosi,6,2,4,
86,Blade,6,2,4,
87,The Warden Unit,6,2,4,
88,ArsMoriendi,6,2,4,
89,Schmaendo,6,2,4,
90,Hemeroc,6,2,4,
91,Lufia,6,2,4,
92,_Bacca,6,2,4,
93,Pigslyer,6,2,4,
94,nuko274,6,2,4,
95,louis,6,2,4,
96,Medic,6,2,4,
97,mcmari,6,2,4,
98,Mash,6,2,4,
99,Elgareth,6,2,4,
100,Mallthak,6,2,4,
101,Carni111,6,2,4,
102,fimasu,6,2,4,
103,litl snek,6,2,4,
104,AbelianGrape,6,2,4,
105,Generalfire,6,2,4,
106,Foxie_Fox,6,2,4,
107,sebingel,6,2,4,
108,ZizZl,6,2,4,
109,hb_wales,6,2,4,
110,fomenta.,6,2,4,
111,banzif,6,2,4,
112,Mirutz,6,2,4,
113,sailerboy98,6,2,4,
114,anonymus,6,2,4,
115,Lenny,6,2,4,
116,takaro,6,2,4,
117,MegaIng,6,2,4,
118,Jay,6,2,4,
119,Goldi2204,6,2,4,
120,minoru,6,2,4,
121,Baschdi,6,2,4,
122,^2Chillinhovic,6,2,4,
123,General Imaginaer,6,2,4,
124,HoelShare,6,2,4,
125,US Marine Hyde,6,2,4,
126,ToastyJoJo,6,2,4,
127,AtoM,6,2,4,
128,ThunderSpeed,6,2,4,
129,AmpliFire,6,2,4,
130,expendablejim,6,2,4,
131,Mikey Danger Roberts,6,2,4,
132,Carl-ified,6,2,4,
133,luap-sommer,6,2,4,
134,carmoa,6,2,4,
135,JKDaemon,6,2,4,
136,Aravir,6,2,4,
137,snke,6,2,4,
138,lewingston,6,2,4,
139,pascal.marcou,6,2,4,
140,BinAktivDuPassiv,6,2,4,
141,Takeyan,6,2,4,
142,obi.knobi,6,2,4,
143,Beazzt,6,2,4,
144,alexanderpas,6,2,4,
145,xXBananscho_GeneralXx,6,2,4,
146,metayrox,6,2,4,
147,Vivlo,6,2,4,
148,Mettphysik,6,2,4,
149,dr.lum,6,2,4,
150,A13xund3r,6,2,4,
151,Otoma,6,2,4,
152,Moh,6,2,4,
153,NAMEhzj,6,2,4,
154,sharkmaycry,6,2,4,
155,Tura94,6,2,4,
156,NuclearPhoenix,6,2,4,
157,TheB,6,2,4,
158,segelohren,6,2,4,
159,AllyRoman,6,2,4,
160,cjdabeast,6,2,4,
161,rasmuse00,6,2,4,
162,flederohr,6,2,4,
163,Ingo Montana,6,2,4,
164,peterward71,6,2,4,
165,tali713,6,2,4,
166,K\_JockeR\_S,6,2,4,
167,Biscuits,6,2,4,
168,Levain,6,2,4,
169,ion1000,6,2,4,
170,altrag,6,2,4,
171,Gamerboy166,6,2,4,
172,Kali,6,2,4,
173,Internet Explorer,6,2,4,
174,mpklink,6,2,4,
175,HImcdonough,6,2,4,
176,mgaag,6,2,4,
177,TheZouave,6,2,4,
178,x Soul L3gend,6,2,4,
179,Agent Maine,6,2,4,
180,surebet15,6,2,4,
181,Rotten_Lynx,6,2,4,
182,juadri,6,2,4,
183,AlexF (Master of the Rice Field),6,2,4,
184,Nova,6,2,4,
185,Kuldrtorix,6,2,4,
186,Pine,6,2,4,
187,Gort,6,2,4,
188,Belias Phyre,6,2,4,
189,khoyobegenn,6,2,4,
190,Labergurke,6,2,4,
191,DorAnalExplorer,6,2,4,
192,Stuffe,6,2,4,
193,.FaibleTropFaible,6,2,4,
194,josh,6,2,4,
195,Der lachende Mann,6,2,4,
196,Bloody,6,2,4,
197,Beson,6,2,4,
198,Chriiiis,6,2,4,
199,Honkler,6,2,4,
200,Pheema,6,2,4,
201,jochen.stoerzer,6,2,4,
202,7~mon,6,2,4,
203,Phoenix,6,2,4,
204,Dano90,6,2,4,
205,aggressiveCAMPER,6,2,4,
206,DarkiiiS,6,2,4,
207,CitrusMarmelade,6,2,4,
208,JMKain,6,2,4,
209,arild.haugstad,6,2,4,
210,Lutor767,6,2,4,
211,killingfield,6,2,4,
212,jemand2001,6,2,4,
213,ImpedingGroom,6,2,4,
214,morebeat,6,2,4,
215,nussvogel,6,2,4,
216,Vandar501,6,2,4,
217,rainyday,6,2,4,
218,ç™ºé›»æ©Ÿå›žã—ã¦ãã‚Œ,6,2,4,
219,DaDaimon,6,2,4,
220,Dendrog,6,2,4,
221,Benedict Rubwa Noff,6,2,4,
222,t8_now,6,2,4,
223,[DE] ChristianA,6,2,4,
224,jia,6,2,4,
225,Uwe,6,2,4,
226,Bademeister,6,2,4,
227,SeaDDeaD,6,2,4,
228,rolo_,6,2,4,
229,kkap1,6,2,4,
230,Itehnological,6,2,4,
231,Hetorus NL,6,2,4,
232,Alex_523,6,2,4,
233,Silentsouls,6,2,4,
234,n.nakatake,6,2,4,
235,-=DawN=- hero93,6,2,4,
236,Patricia,6,2,4,
237,Dinner93,6,2,4,
238,mikenyannyan128,6,2,4,
239,Vylybb,6,2,4,
240,PrediGER,6,2,4,
241,Vivi,6,2,4,
242,reddog,6,2,4,
243,Busterblader,6,2,4,
