RANK,USER,TOTAL,GATE,DELAY,TICK
1,overcomplexification,5,3,2,
2,G0rger,5,3,2,
3,Beesman,5,3,2,
4,Xilu,5,3,2,
5,BlockOG,5,3,2,
6,Yunfeng,5,3,2,
7,alexanderpas,7,3,4,
8,stellartux,7,3,4,
9,noob7,7,3,4,
10,tahgtahv,7,3,4,
11,Dermenslof,7,3,4,
12,Endershadow,7,3,4,
13,danielrab,7,3,4,
14,Nari,7,3,4,
15,FakeNeo,7,3,4,
16,agrimes,7,3,4,
17,Pinkii,7,3,4,
18,san_skylak,7,3,4,
19,Samusbot,7,3,4,
20,The_Dark_Jumper,7,3,4,
21,UnsignedRobin,7,3,4,
22,PotatoLoRD,7,3,4,
23,SomeGuy,7,3,4,
24,hirosem,7,3,4,
25,CurryField,7,3,4,
26,ó ‡°,7,3,4,
27,koryngs,7,3,4,
28,Pogge,7,3,4,
29,Irea,7,3,4,
30,Emixeras,7,3,4,
31,Freddy,7,3,4,
32,Heistenberg99,7,3,4,
33,Tsukina_7mochi,7,3,4,
34,iota,7,3,4,
35,Bram1999999,7,3,4,
36,seconddifferential,7,3,4,
37,Lebster,7,3,4,
38,Pigslyer,7,3,4,
39,AbelianGrape,7,3,4,
40,hb_wales,7,3,4,
41,Foxie_Fox,7,3,4,
42,banzif,7,3,4,
43,MegaIng,7,3,4,
44,Jay,7,3,4,
45,cringemaster420,7,3,4,
46,ToastyJoJo,7,3,4,
47,expendablejim,7,3,4,
48,Carl-ified,7,3,4,
49,rasmuse00,7,3,4,
50,flederohr,7,3,4,
51,tali713,7,3,4,
52,Biscuits,7,3,4,
53,altrag,7,3,4,
54,Gamerboy166,7,3,4,
55,x Soul L3gend,7,3,4,
56,Agent Maine,7,3,4,
57,Pine,7,3,4,
58,khoyobegenn,7,3,4,
59,josh,7,3,4,
60,Honkler,7,3,4,
61,Chriiiis,7,3,4,
62,Captain Planet,7,3,4,
63,CitrusMarmelade,7,3,4,
64,jemand2001,7,3,4,
65,jia,7,3,4,
66,kkap1,7,3,4,
67,Itehnological,7,3,4,
68,reddog,7,3,4,
69,YukiYasai,7,3,4,
70,fimasu,7,3,4,
71,Aokama,7,3,4,
72,glocker,7,3,4,
73,robotguy189,7,3,4,
74,Rartrin,7,3,4,
75,Cpt. Bread,7,3,4,
76,hungcat,7,3,4,
77,Red Penguin,7,3,4,
78,flemmingvonessen,7,3,4,
79,winnie.ma.12,7,3,4,
80,WhIrLwinD356,7,3,4,
81,RayRay26,7,3,4,
82,Alter,7,3,4,
83,"IA_BOT(""MainFastSolve.rom"")",7,3,4,
84,Blockinator,7,3,4,
85,Y e v v i.,7,3,4,
86,pinkertona,7,3,4,
87,isaac.wass (allegedly),7,3,4,
88,Kryoclasm,7,3,4,
89,#TSwagg,7,3,4,
90,Rutir,7,3,4,
91,sq5researcher,7,3,4,
92,Kargaros,7,3,4,
93,Hyperlocke,7,3,4,
94,Xenogenesis,7,3,4,
95,CrusaderDeleters,7,3,4,
96,prphet,7,3,4,
97,The_real_Trolf,7,3,4,
98,murahiro77,7,3,4,
99,zogga007,7,3,4,
100,Zaxabock,7,3,4,
101,Benjo11,7,3,4,
102,ESPFITLA,7,3,4,
103,Rominos2,7,3,4,
104,ZKlack,7,3,4,
105,tyryi,7,3,4,
106,LMD|Cavy,7,3,4,
107,Donut,7,3,4,
108,boyjerrykuo,7,3,4,
109,VaporGame,7,3,4,
110,tofik,7,3,4,
111,SunCat,7,3,4,
112,Quadruplay,7,3,4,
113,Whisper,7,3,4,
114,SirLestat,7,3,4,
115,lasmite,7,3,4,
116,al13n,7,3,4,
117,Notch,7,3,4,
118,bambooin8,7,3,4,
119,DarthSack,7,3,4,
120,decesare,7,3,4,
121,Swek,7,3,4,
122,sunnyssk,7,3,4,
123,krokofant,7,3,4,
124,Oshisaure,7,3,4,
125,imagar,7,3,4,
126,Dubbe,7,3,4,
127,bmerry,7,3,4,
128,[CrAzY]WC,7,3,4,
129,alexei2511,7,3,4,
130,10usb,7,3,4,
131,knupper,7,3,4,
132,Trixi,7,3,4,
133,naitchal,7,3,4,
134,Sahishar,7,3,4,
135,c0zzmo,7,3,4,
136,Errs Anyway,7,3,4,
137,[CIR]EbÃ¨to,7,3,4,
138,datGuy,7,3,4,
139,ATREJU,7,3,4,
140,Zargony,7,3,4,
141,BierLiebHaber,7,3,4,
142,ecko2109,7,3,4,
143,Tura94,7,3,4,
144,Theras,7,3,4,
145,lubomir,7,3,4,
146,haubenente,7,3,4,
147,DK,7,3,4,
148,Schwulibert Geilhuber,7,3,4,
149,potato,7,3,4,
150,ElPaso,7,3,4,
151,adoring_onion,7,3,4,
152,t.tselekoglou,7,3,4,
153,Hinnerksen,7,3,4,
154,icechair,7,3,4,
155,Timburr,7,3,4,
156,Horschtele,7,3,4,
157,Pyke,7,3,4,
158,koaler,7,3,4,
159,jschell42,7,3,4,
160,OMGitsJan,7,3,4,
161,Megacrafter127,7,3,4,
162,Peter [Zwegat],7,3,4,
163,Awesomeness211i,7,3,4,
164,moronic1,7,3,4,
165,Atre,7,3,4,
166,f_beckmann,7,3,4,
167,Wurstwasser,7,3,4,
168,Flying:Boat,7,3,4,
169,Alexwinger,7,3,4,
170,Ballduin,7,3,4,
171,chrisi-12er,7,3,4,
172,matinnate,7,3,4,
173,CodeZ,7,3,4,
174,succcubbus,7,3,4,
175,å¥å…¨ãªã‚‹é­‚ã¯ã€ å¥å…¨ãª,7,3,4,
176,huwahuwa,7,3,4,
177,keldor,7,3,4,
178,koalaman,7,3,4,
179,madlep,7,3,4,
180,thompsotd,7,3,4,
181,Kafir Pride,7,3,4,
182,Chikara San,7,3,4,
183,Interdimensional Cheesecake,7,3,4,
184,BeniBanks,7,3,4,
185,Burning,7,3,4,
186,å˜æˆé“²å­æ¢†æ¢†æ•²å¤´,7,3,4,
187,Glumongo,7,3,4,
188,Silentsouls,7,3,4,
