RANK,USER,TOTAL,GATE,DELAY,TICK
1,Xilu,4,2,2,
2,Yunfeng,4,2,2,
3,dinoper,4,2,2,
4,BlockOG,5,3,2,
5,alexanderpas,7,3,4,
6,stellartux,7,3,4,
7,noob7,7,3,4,
8,kentex8484,7,3,4,
9,Endershadow,7,3,4,
10,danielrab,7,3,4,
11,arar,7,3,4,
12,Runac,7,3,4,
13,houzw2001,7,3,4,
14,Nari,7,3,4,
15,agrimes,7,3,4,
16,Pinkii,7,3,4,
17,Samusbot,7,3,4,
18,san_skylak,7,3,4,
19,Dermenslof,7,3,4,
20,senshi\_01,7,3,4,
21,tahgtahv,7,3,4,
22,The_Dark_Jumper,7,3,4,
23,UnsignedRobin,7,3,4,
24,Mortalitor,7,3,4,
25,PotatoLoRD,7,3,4,
26,SomeGuy,7,3,4,
27,hirosem,7,3,4,
28,shift,7,3,4,
29,CurryField,7,3,4,
30,General QT,7,3,4,
31,120x1n,7,3,4,
32,Bounours,7,3,4,
33,ç™ºé›»æ©Ÿå›žã—ã¦ãã‚Œ,7,3,4,
34,ó ‡°,7,3,4,
35,Limeray,7,3,4,
36,koryngs,7,3,4,
37,Irea,7,3,4,
38,Turrex0100,7,3,4,
39,Thunderbolt1029,7,3,4,
40,DasWird,7,3,4,
41,nichtmeineschulz,7,3,4,
42,morybu,7,3,4,
43,erik.ertler,7,3,4,
44,Coach Schulze,7,3,4,
45,Freddy,7,3,4,
46,Heistenberg99,7,3,4,
47,Tsukina_7mochi,7,3,4,
48,iota,7,3,4,
49,Amrei,7,3,4,
50,Solomyr,7,3,4,
51,Bram1999999,7,3,4,
52,seconddifferential,7,3,4,
53,Eterm,7,3,4,
54,botondmester,7,3,4,
55,oGEN,7,3,4,
56,Lebster,7,3,4,
57,luzia.cosi,7,3,4,
58,The Warden Unit,7,3,4,
59,Pigslyer,7,3,4,
60,nuko274,7,3,4,
61,litl snek,7,3,4,
62,AbelianGrape,7,3,4,
63,Foxie_Fox,7,3,4,
64,hb_wales,7,3,4,
65,jesterfool,7,3,4,
66,banzif,7,3,4,
67,sailerboy98,7,3,4,
68,takaro,7,3,4,
69,Peppy Hare,7,3,4,
70,MegaIng,7,3,4,
71,Jay,7,3,4,
72,Goldi2204,7,3,4,
73,Goldgeckoguy,7,3,4,
74,Baschdi,7,3,4,
75,Greg0lord,7,3,4,
76,cringemaster420,7,3,4,
77,Carni111,7,3,4,
78,HoelShare,7,3,4,
79,AtoM,7,3,4,
80,expendablejim,7,3,4,
81,Carl-ified,7,3,4,
82,Daniel,7,3,4,
83,snke,7,3,4,
84,pascal.marcou,7,3,4,
85,Arkadiusz XIII,7,3,4,
86,Beazzt,7,3,4,
87,obi.knobi,7,3,4,
88,Mettphysik,7,3,4,
89,Moh,7,3,4,
90,NAMEhzj,7,3,4,
91,Pavlo,7,3,4,
92,Tura94,7,3,4,
93,cjdabeast,7,3,4,
94,rasmuse00,7,3,4,
95,flederohr,7,3,4,
96,tali713,7,3,4,
97,K\_JockeR\_S,7,3,4,
98,Kirre,7,3,4,
99,Levain,7,3,4,
100,altrag,7,3,4,
101,Gamerboy166,7,3,4,
102,Internet Explorer,7,3,4,
103,mpklink,7,3,4,
104,Reikling,7,3,4,
105,Agent Maine,7,3,4,
106,AlexF (Master of the Rice Field),7,3,4,
107,Kuldrtorix,7,3,4,
108,Pine,7,3,4,
109,Nova,7,3,4,
110,khoyobegenn,7,3,4,
